Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ai	ai	AI	abvd	WATER	abvd_122_water_2
akiaki-	akiaki	AKIAKI	abvd	RIGHT	abvd_3_right_72
ako-	ako	AKO	abvd	TOOTH	abvd_31_tooth_42
aku-	aku	AKU	abvd	BACK	abvd_13_back_12
aleale	aleale	ALEALE	abvd	WALK	abvd_5_towalk_10
aniani	aniani	ANIANI	abvd	EAT	abvd_37_toeat_1
apapa-na	apapana	APAPANA	abvd	WING	abvd_100_wing_1
ara	ara	ARA	abvd	RED	abvd_149_red_53
ariβi	arii	ARII	abvd	RAT	abvd_102_rat_18
asi	asi	ASI	abvd	ROPE	abvd_65_rope_58
asu-	asu	ASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
asu-na	asuna	ASUNA	abvd	DUST	abvd_11_dust_41
ati	ati	ATI	abvd	SHARP	abvd_81_sharp_14
atia	atia	ATIA	abvd	BITE	abvd_41_tobite_1
awipota	awipota	AWIPOTA	abvd	ASH	-
ekia	ekia	EKIA	abvd	SQUEEZE	-
elia	elia	ELIA	abvd	DIG	abvd_90_todig_1
ese	ese	ESE	abvd	ONE	abvd_197_one_1
etˢa	eta	ETA	abvd	GREEN	abvd_151_green_8
etˢe-	ete	ETE	abvd	NAME	abvd_63_name_1
eβia	eia	EIA	abvd	COUNT	abvd_196_tocount_70
farsisi	farsisi	PARSISI	abvd	BLOW (OF WIND)	abvd_137_toblow_60
i sei	isei	ISEI	abvd	WHO	abvd_189_who_1
ima	ima	IMA	abvd	HOUSE	abvd_61_house_1
imia	imia	IMIA	abvd	SUCK	abvd_42_tosuck_51
inga	inga	INGA	abvd	WE	-
inge	inge	INGE	abvd	WE	abvd_185_we_46
ingo	ingo	INGO	abvd	THOU	abvd_183_thou_1
inia	inia	INIA	abvd	HE OR SHE	abvd_184_heshe_1
inkomiu	inkomiu	INKOMIU	abvd	YOU	abvd_186_you_1
ira	ira	IRA	abvd	THEY	abvd_187_they_1
kae-	kae	KAE	abvd	BLOOD	abvd_23_blood_1
kaia	kaia	KAIA	abvd	HOLD	abvd_89_tohold_3
kana	kana	KANA	abvd	ROTTEN	abvd_112_rotten_97
karu	karu	KARU	abvd	SWIM	abvd_9_toswim_5
karukarumia	karukarumia	KARUKARUMIA	abvd	SCRATCH	abvd_77_toscratch_59
koko	koko	KOKO	abvd	CLOUD	abvd_131_cloud_90
komi-	komi	KOMI	abvd	NECK	abvd_25_neck_82
komikomia	komikomia	KOMIKOMIA	abvd	THINK	abvd_21_tothink_61
korei	korei	KOREI	abvd	LIE DOWN	abvd_49_toliedown_74
koru	koru	KORU	abvd	DRY	abvd_140_dry_29
kuni	kuni	KUNI	abvd	GOOD	-
lani	lani	LANI	abvd	WIND	abvd_136_wind_1
lapolopo	lapolopo	LAPOLOPO	abvd	FOG	abvd_132_fog_65
lepa	lepa	LEPA	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
lesia	lesia	LESIA	abvd	SEE	abvd_46_tosee_14
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
lima-	lima	LIMA	abvd	HAND	abvd_1_hand_1
lima-raβe	limarae	LIMARAE	abvd	SIX	abvd_202_six_35
losu-mateia	losumateia	LOSUMATEIA	abvd	KILL	abvd_74_tokill_59
loto	loto	LOTO	abvd	SPIT	abvd_36_tospit_37
lua	lua	LUA	abvd	VOMIT	abvd_35_tovomit_8
makiki	makiki	MAKIKI	abvd	COLD	-
mana	mana	MANA	abvd	LAUGH	abvd_33_tolaugh_51
mape-	mape	MAPE	abvd	LIVER	abvd_17_liver_7
marau-	marau	MARAU	abvd	LEFT	abvd_2_left_2
mas paraβu	masparau	MASPARAU	abvd	SNAKE	abvd_106_snake_12
masumasunia	masumasunia	MASUMASUNIA	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_80
mata-	mata	MATA	abvd	EYE	abvd_45_eye_1
mataimamara	mataimamara	MATAIMAMARA	abvd	FIRE	-
matatau	matatau	MATATAU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
mate	mate	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
matˢa	mata	MATA	abvd	STICK	abvd_79_stickwood_24
matˢi	mati	MATI	abvd	BIRD	abvd_97_bird_24
matˢina	matina	MATINA	abvd	YELLOW	abvd_150_yellow_71
matˢoi	matoi	MATOI	abvd	STAR	abvd_130_star_13
mekimekina	mekimekina	MEKIMEKINA	abvd	WET	abvd_141_wet_35
meme-	meme	MEME	abvd	TONGUE	abvd_32_tongue_7
mui	mui	MUI	abvd	MOSQUITO	abvd_109_mosquito_1
nama-na	namana	NAMANA	abvd	FRUIT	abvd_117_fruit_34
nasu-	nasu	NASU	abvd	NOSE	abvd_27_nose_1
natu-	natu	NATU	abvd	CHILD	abvd_56_child_5
nau	nau	NAU	abvd	I	abvd_182_i_1
neβea	neea	NEEA	abvd	WHERE	abvd_181_where_3
nopu	nopu	NOPU	abvd	LAKE	abvd_126_lake_49
nora	nora	NORA	abvd	BREATHE	abvd_28_tobreathe_74
palis	palis	PALIS	abvd	GRASS	abvd_118_grass_1
pane-	pane	PANE	abvd	BELLY	abvd_14_belly_76
paraβu	parau	PARAU	abvd	LONG	abvd_155_long_16
paroparo	paroparo	PAROPARO	abvd	NEW	abvd_163_new_1
patu-	patu	PATU	abvd	HEAD	abvd_24_head_9
pesia	pesia	PESIA	abvd	FASTEN	abvd_66_totieupfasten_32
pili-	pili	PILI	abvd	SHOULDER	abvd_19_shoulder_38
pirin	pirin	PIRIN	abvd	THUNDER	abvd_134_thunder_80
pisisia	pisisia	PISISIA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_5
pita	pita	PITA	abvd	FEMALE PERSON	abvd_55_womanfemale_77
pon	pon	PON	abvd	NIGHT	abvd_167_night_1
poro-	poro	PORO	abvd	EAR	abvd_43_ear_16
pueti	pueti	PUETI	abvd	HEAVY	abvd_142_heavy_73
pulaia	pulaia	PULAIA	abvd	THROW	abvd_94_tothrow_86
ra-pati	rapati	RAPATI	abvd	NINE	abvd_205_nine_20
ra-tolu	ratolu	RATOLU	abvd	EIGHT	abvd_204_eight_5
ran	ran	RAN	abvd	DAY (NOT NIGHT)	abvd_168_day_6
rau-	rau	RAU	abvd	LEAF	abvd_114_leaf_1
raβua	raua	RAUA	abvd	SEVEN	abvd_203_seven_13
riri	riri	RIRI	abvd	SMALL	abvd_152_small_66
riβnasia	rinasia	RINASIA	abvd	TURN	abvd_8_toturn_119
ronoa	ronoa	RONOA	abvd	HEAR	abvd_44_tohear_1
rua	rua	RUA	abvd	TWO	abvd_198_two_1
rui-	rui	RUI	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_44
sakele	sakele	SAKELE	abvd	SIT	abvd_51_tosit_118
sala	sala	SALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
salakalai	salakalai	SALAKALAI	abvd	SPLIT	abvd_80_tosplit_83
sale	sale	SALE	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_31
sanaβulu	sanaulu	SANAULU	abvd	TEN	abvd_206_ten_5
sari-	sari	SARI	abvd	FOOT OR LEG	abvd_4_legfoot_73
saβa	saa	SAA	abvd	WHAT	abvd_188_what_1
sereni	sereni	SERENI	abvd	FISH	-
sile-	sile	SILE	abvd	EGG	abvd_98_egg_56
sui-	sui	SUI	abvd	BONE	abvd_15_bone_52
sule	sule	SULE	abvd	STONE	abvd_120_stone_19
sulia	sulia	SULIA	abvd	BURN	abvd_144_toburn_4
sumai	sumai	SUMAI	abvd	COME	abvd_7_tocome_1
susu-	susu	SUSU	abvd	BREAST	abvd_18_breast_1
suβusi	suusi	SUUSI	abvd	SAND	abvd_121_sand_77
taia	taia	TAIA	abvd	CUT OR HACK	abvd_78_tocuthack_1
takuni	takuni	TAKUNI	abvd	MALE PERSON	abvd_54_manmale_95
tali-	tali	TALI	abvd	INTESTINES	abvd_16_intestines_76
tama-	tama	TAMA	abvd	FATHER	abvd_60_father_1
tani	tani	TANI	abvd	CRY	abvd_34_tocry_1
tanpon	tanpon	TANPON	abvd	WHEN	-
taon	taon	TAON	abvd	YEAR	abvd_169_year_1
tasi	tasi	TASI	abvd	SEA	abvd_124_sea_1
