Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-akai	akai	AKAI	abvd	ROOT	abvd_115_root_2
-faraŋoina	faraoina	PARAOINA	abvd	KNOW (SOMETHING)	-
-fua	fua	PUA	abvd	FRUIT	abvd_117_fruit_1
-gafuru	gafuru	GAPURU	abvd	TEN	abvd_206_ten_5
-ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
-iroa	iroa	IROA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_13
-koe	koe	KOE	abvd	THOU	abvd_183_thou_1
-ra	ra	RA	abvd	BRANCH	abvd_113_branch_1
-rau	rau	RAU	abvd	LEAF	abvd_114_leaf_1
-se	se	SE	abvd	FLOWER	abvd_116_flower_9
afeifakua	afeifakua	APEIPAKUA	abvd	HOW	abvd_194_how_11
afi	afi	API	abvd	FIRE	abvd_143_fire_1
afia	afia	APIA	abvd	WHEN	abvd_170_when_5
aha	aha	AHA	abvd	WHAT	abvd_188_what_1
aia	aia	AIA	abvd	HE OR SHE	abvd_184_heshe_1
aka	aka	AKA	abvd	ROOT	abvd_115_root_2
akai	akai	AKAI	abvd	WHO	abvd_189_who_1
akimaua	akimaua	AKIMAUA	abvd	WE	abvd_185_we_2
akime	akime	AKIME	abvd	WE	abvd_185_we_2
akimea	akimea	AKIMEA	abvd	WE	abvd_185_we_2
akirea	akirea	AKIREA	abvd	THEY	-
akitatou	akitatou	AKITATOU	abvd	WE	abvd_185_we_1
akitaua	akitaua	AKITAUA	abvd	WE	abvd_185_we_1
akitea	akitea	AKITEA	abvd	WE	abvd_185_we_1
akoa	akoa	AKOA	abvd	YOU	-
akoe	akoe	AKOE	abvd	THOU	abvd_183_thou_1
akoua	akoua	AKOUA	abvd	YOU	-
alo	alo	ALO	abvd	BELLY	abvd_14_belly_10
ao	ao	AO	abvd	DAY (NOT NIGHT)	abvd_168_day_1
arajia	arajia	ARAYIA	abvd	SCRATCH	abvd_77_toscratch_10
arashia	arashia	ARASHIA	abvd	SCRATCH	abvd_77_toscratch_10
arašia	arašia	ARAIA	abvd	SCRATCH	abvd_77_toscratch_10
