Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ⁿda	da	DA	abvd	THIS	abvd_177_this_80
b. ci:k	bcik	BKIK	abvd	LOUSE	-
cac	cac	KAK	abvd	SHARP	-
cawek	cawek	KAWEK	abvd	DOG	abvd_96_dog_45
cawek ka kaɲ	cawekkakaɲ	KAWEKKAKAN	abvd	DOG	abvd_96_dog_43
caᵐbi	cabi	KABI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_117
ci:	ci	KI	abvd	SKIN	abvd_12_skin_1
ci:ᵐbwi	cibwi	KIBWI	abvd	RAT	abvd_102_rat_3
cim	cim	KIM	abvd	GROW	-
cimwi	cimwi	KIMWI	abvd	HOLD	abvd_89_tohold_1
ciᵐbi	cibi	KIBI	abvd	RAT	abvd_102_rat_3
eβe	ee	EE	abvd	WHERE	abvd_181_where_3
foe	foe	POE	abvd	MOON	abvd_129_moon_52
foβec	foec	POEK	abvd	FOUR	-
fũ:	fũ	P	abvd	FLOWER	abvd_116_flower_1
fwãne	fwne	PWNE	abvd	IF	-
fwẽ	fw	PW	abvd	MOON	-
fũɲ	fɲ	PN	abvd	GREEN	-
ga kaʝa	gakaʝa	GAKAGA	abvd	NEW	abvd_163_new_53
ga n	gan	GAN	abvd	HEAD	abvd_24_head_9
gan kare ’i n	gankarein	GANKAREIN	abvd	HAND	abvd_1_hand_11
gan kare ’o n	gankareon	GANKAREON	abvd	FOOT OR LEG	-
gen	gen	GEN	abvd	NIGHT	abvd_167_night_1
guc	guc	GUK	abvd	EARTH (SOIL)	abvd_119_earthsoil_70
haok	haok	HAOK	abvd	CHILD	-
he-me	heme	HEME	abvd	COME	abvd_7_tocome_1
he: kahok	hekahok	HEKAHOK	abvd	TWENTY	-
he:c	hec	HEK	abvd	ONE	-
heluk	heluk	HELUK	abvd	TWO	-
hemen foβac	hemenfoac	HEMENPOAK	abvd	NINE	-
hemen he:c	hemenhec	HEMENHEK	abvd	SIX	-
hemen heluk	hemenheluk	HEMENHELUK	abvd	SEVEN	-
hemen heʝen	hemenheʝen	HEMENHEGEN	abvd	EIGHT	-
het	het	HET	abvd	BURN	-
heyen	heyen	HEUEN	abvd	THREE	-
hi	hi	HI	abvd	HAND	abvd_1_hand_10
hi-n ce:k	hincek	HINKEK	abvd	BRANCH	-
hi-n manik	hinmanik	HINMANIK	abvd	WING	-
hina	hina	HINA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_116
hiⁿguk	higuk	HIGUK	abvd	SWELL	-
hmaβe-	hmae	HMAE	abvd	FLESH OR MEAT	-
hmu	hmu	HMU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
hmu:n-ⁿguc	hmunguc	HMUNGUK	abvd	DUST	abvd_11_dust_1
hnaβi	hnai	HNAI	abvd	HIT	-
hno:e	hnoe	HNOE	abvd	WIFE	-
hno:k	hnok	HNOK	abvd	PERSON	-
ho	ho	HO	abvd	FOOT OR LEG	abvd_4_legfoot_88
ho:k	hok	HOK	abvd	LIE DOWN	-
ho:rhẽ	horhẽ	HORH	abvd	INTESTINES	-
ho:t	hot	HOT	abvd	FAR	-
hoᵐbe:	hobe	HOBE	abvd	HOW	-
huli	huli	HULI	abvd	SUCK	-
hulo	hulo	HULO	abvd	WHITE	-
humwa	humwa	HUMWA	abvd	SHORT	-
hun	hun	HUN	abvd	BIG	-
hwa	hwa	HWA	abvd	MOUTH	abvd_30_mouth_36
hwai	hwai	HWAI	abvd	CHEW	-
hwãⁿdi	hwãdi	HWDI	abvd	NOSE	abvd_27_nose_14
hwene	hwene	HWENE	abvd	SEE	-
hwi-aman	hwiaman	HWIAMAN	abvd	EAT	abvd_37_toeat_1
hwi:	hwi	HWI	abvd	BITE	abvd_41_tobite_57
hɲat	hɲat	HNAT	abvd	ROTTEN	abvd_112_rotten_118
hɲonim	hɲonim	HNONIM	abvd	LIGHTNING	abvd_135_lightning_95
hʝa pe:i	hʝapei	HGAPEI	abvd	NO OR NOT	-
hʝahʝo:k	hʝahʝok	HGAHGOK	abvd	SPIDER	-
hʝai	hʝai	HGAI	abvd	DIG	-
hʝan	hʝan	HGAN	abvd	NO OR NOT	-
hʝathok	hʝathok	HGATHOK	abvd	WALK	-
hʝaβi	hʝai	HGAI	abvd	DIG	-
hʝe	hʝe	HGE	abvd	CRY	abvd_34_tocry_80
hʝo:m	hʝom	HGOM	abvd	SWIM	abvd_9_toswim_97
i	i	I	abvd	WE	-
iare ŋa	iarea	IAREA	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
jene n	jenen	YENEN	abvd	EAR	abvd_43_ear_1
jie n	jien	YIEN	abvd	BELLY	abvd_14_belly_1
ka ’ok	kaok	KAOK	abvd	MALE PERSON	abvd_54_manmale_22
ka-hwo:ŋ	kahwo	KAHWO	abvd	SHY OR ASHAMED	-
ka-tholaβi pula:k	katholaipulak	KATHOLAIPULAK	abvd	SNAKE	-
ka:i	kai	KAI	abvd	HIT	-
kahok	kahok	KAHOK	abvd	PERSON	-
kalaβa	kalaa	KALAA	abvd	WIDE	-
kalo:	kalo	KALO	abvd	HUSBAND	-
kalon	kalon	KALON	abvd	HUSBAND	abvd_57_husband_2
kari	kari	KARI	abvd	YELLOW	abvd_150_yellow_14
kaʝa	kaʝa	KAGA	abvd	NEW	-
ka’at̪ ɲek	kaat̪ɲek	KAATNEK	abvd	PERSON	abvd_53_personhumanbeing_4
kec	kec	KEK	abvd	LIVER	abvd_17_liver_1
kei n	kein	KEIN	abvd	LIVER	abvd_17_liver_1
kelieke	kelieke	KELIEKE	abvd	HIT	abvd_72_tohit_112
khim	khim	KHIM	abvd	COLD	-
khiut	khiut	KHIUT	abvd	WARM	-
khõule:ŋ	khõule	KHULE	abvd	SLEEP	-
khũⁿdi	khũdi	KHDI	abvd	DRINK	abvd_40_todrink_6
khũⁿduk	khũduk	KHDUK	abvd	DRINK	abvd_40_todrink_6
kohʝa	kohʝa	KOHGA	abvd	GOOD	abvd_164_good_1
koi	koi	KOI	abvd	NO OR NOT	abvd_195_nonot_45
kon	kon	KON	abvd	SAND	abvd_121_sand_1
koʰʝa	koʝa	KOGA	abvd	GOOD	abvd_164_good_1
kuc	kuc	KUK	abvd	FOREST	abvd_127_woodsforest_7
kuehma	kuehma	KUEHMA	abvd	TONGUE	-
kura	kura	KURA	abvd	BLOOD	abvd_23_blood_1
kura n	kuran	KURAN	abvd	BLOOD	abvd_23_blood_45
kut	kut	KUT	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
kut̪	kut̪	KUT	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
kuvema n	kuveman	KUBEMAN	abvd	TONGUE	abvd_32_tongue_14
kuⁿduk	kuduk	KUDUK	abvd	DRINK	abvd_40_todrink_6
le	le	LE	abvd	THEY	abvd_187_they_1
m	m	M	abvd	THOU	abvd_183_thou_27
ma	ma	MA	abvd	AND	abvd_192_and_2
mac	mac	MAK	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
magat̪	magat̪	MAGAT	abvd	RED	abvd_149_red_1
mala	mala	MALA	abvd	DAY (NOT NIGHT)	abvd_168_day_1
man	man	MAN	abvd	DRY	-
manik	manik	MANIK	abvd	BIRD	abvd_97_bird_1
marip	marip	MARIP	abvd	BE ALIVE	-
maɲen cek	maɲencek	MANENKEK	abvd	STICK	abvd_79_stickwood_46
maʝuk	maʝuk	MAGUK	abvd	DRY	-
maⁿgat	magat	MAGAT	abvd	RED	-
mi	mi	MI	abvd	WE	-
mo	mo	MO	abvd	LEFT	abvd_2_left_1
moguk	moguk	MOGUK	abvd	WET	abvd_141_wet_115
moⁿguk	moguk	MOGUK	abvd	WET	-
mwaɲ	mwaɲ	MWAN	abvd	SMALL	-
n	n	N	abvd	HE OR SHE	abvd_184_heshe_1
na:ⁿguk	naguk	NAGUK	abvd	MOSQUITO	-
naguk	naguk	NAGUK	abvd	MOSQUITO	abvd_109_mosquito_1
nain	nain	NAIN	abvd	CHILD	abvd_56_child_5
ne	ne	NE	abvd	AT	abvd_173_at_18
ne:ɲ	neɲ	NEN	abvd	CLOUD	abvd_131_cloud_3
nehʝa	nehʝa	NEHGA	abvd	GOOD	-
nem	nem	NEM	abvd	SWIM	-
nep	nep	NEP	abvd	DREAM (SOMETHING)	abvd_50_todream_1
neŋ	ne	NE	abvd	CLOUD	abvd_131_cloud_3
neɲ	neɲ	NEN	abvd	BLUNT	abvd_82_dullblunt_34
neᵐbu	nebu	NEBU	abvd	WE	-
neⁿdu	nedu	NEDU	abvd	WE	-
ni-ᵐboβec	niboec	NIBOEK	abvd	NINE	-
ni-ᵐbwe:c	nibwec	NIBWEK	abvd	SIX	-
ni-ᵐbweluk	nibweluk	NIBWELUK	abvd	SEVEN	-
ni-ᵐbweʝen	nibweʝen	NIBWEGEN	abvd	EIGHT	-
nim	nim	NIM	abvd	FIVE	abvd_201_five_1
nim kahok	nimkahok	NIMKAHOK	abvd	HUNDRED	-
nim ka’ok	nimkaok	NIMKAOK	abvd	HUNDRED	-
niuk	niuk	NIUK	abvd	THUNDER	abvd_134_thunder_43
niᵐbovec	nibovec	NIBOBEK	abvd	NINE	-
niᵐbo’ec	niboec	NIBOEK	abvd	SIX	-
niᵐbo’eluk	niboeluk	NIBOELUK	abvd	SEVEN	-
niᵐbo’eʝen	niboeʝen	NIBOEGEN	abvd	EIGHT	-
no n	non	NON	abvd	NECK	abvd_25_neck_18
no:	no	NO	abvd	NECK	abvd_25_neck_18
noma	noma	NOMA	abvd	THINK	abvd_21_tothink_28
nook	nook	NOOK	abvd	FEMALE PERSON	abvd_55_womanfemale_123
nuk	nuk	NUK	abvd	FISH	abvd_111_fish_9
numwa	numwa	NUMWA	abvd	FEAR (BE AFRAID)	-
ohaem	ohaem	OHAEM	abvd	YAWN	-
omo:n	omon	OMON	abvd	LEFT	abvd_2_left_1
