Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'ada	ada	ADA	abvd	STAR	abvd_130_star_10
'alas	alas	ALAS	abvd	FOREST	abvd_127_woodsforest_1
'aman	aman	AMAN	abvd	WIFE	abvd_58_wife_2
'anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
'anin	anin	ANIN	abvd	WIND	abvd_136_wind_1
'apur	apur	APUR	abvd	BELLY	abvd_14_belly_2
'asu	asu	ASU	abvd	DOG	abvd_96_dog_1
'ater	ater	ATER	abvd	LIVER	abvd_17_liver_1
'dahar	dahar	DAHAR	abvd	HEAR	abvd_44_tohear_67
'er	er	ER	abvd	FOOT OR LEG	abvd_4_legfoot_1
'gamai	gamai	GAMAI	abvd	WHERE	abvd_181_where_6
'gami	gami	GAMI	abvd	WE	abvd_185_we_2
'gaʔu	gaʔu	GAHU	abvd	I	abvd_182_i_1
'gita	gita	GITA	abvd	WE	abvd_185_we_1
'go	go	GO	abvd	YOU	abvd_186_you_15
'gose	gose	GOSE	abvd	WHO	abvd_189_who_1?
'hahar	hahar	HAHAR	abvd	MOUTH	abvd_30_mouth_1
'hatu	hatu	HATU	abvd	STONE	abvd_120_stone_1
'henin	henin	HENIN	abvd	NIGHT	abvd_167_night_1
'hoheu	hoheu	HOHEU	abvd	NEW	abvd_163_new_1?
'hon	hon	HON	abvd	ROTTEN	abvd_112_rotten_10
'hulan	hulan	HULAN	abvd	MOON	abvd_129_moon_1
'inan	inan	INAN	abvd	MOTHER	abvd_59_mother_1
'inur	inur	INUR	abvd	NOSE	abvd_27_nose_1
'irua	irua	IRUA	abvd	TWO	abvd_198_two_1
'isin	isin	ISIN	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
'iʔan	iʔan	IHAN	abvd	FISH	abvd_111_fish_1
'iʔun	iʔun	IHUN	abvd	TAIL	abvd_105_tail_1
'kli	kli	KLI	abvd	GRASS	-
'la	la	LA	abvd	WHAT	abvd_188_what_7
'lalan	lalan	LALAN	abvd	GOOD	-
'laŋit	lait	LAIT	abvd	SKY	abvd_128_sky_1
'laʔit	laʔit	LAHIT	abvd	OLD	abvd_162_old_7
'limar	limar	LIMAR	abvd	HAND	abvd_1_hand_1
'lor	lor	LOR	abvd	SEA	abvd_124_sea_6
'madei	madei	MADEI	abvd	SIT	abvd_51_tosit_146
'mai	mai	MAI	abvd	COME	abvd_7_tocome_1
'mali	mali	MALI	abvd	LAUGH	abvd_33_tolaugh_3
'manu	manu	MANU	abvd	BIRD	abvd_97_bird_1
'mara	mara	MARA	abvd	YELLOW	abvd_150_yellow_6
'masin	masin	MASIN	abvd	SALT	abvd_125_salt_3
'matar	matar	MATAR	abvd	EYE	abvd_45_eye_1
'mati	mati	MATI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
'mea	mea	MEA	abvd	RED	abvd_149_red_1
'metan	metan	METAN	abvd	BLACK	abvd_147_black_1
'meʔar	meʔar	MEHAR	abvd	DRY	abvd_140_dry_4
'mis	mis	MIS	abvd	THIN	abvd_156_thin_1
'moso	moso	MOSO	abvd	GREEN	abvd_151_green_7
'nadin	nadin	NADIN	abvd	COLD	abvd_139_cold_1?
'namu	namu	NAMU	abvd	MOSQUITO	abvd_109_mosquito_1
'nani	nani	NANI	abvd	SWIM	abvd_9_toswim_1
'napri	napri	NAPRI	abvd	STAND	abvd_52_tostand_4
'naran	naran	NARAN	abvd	NAME	abvd_63_name_1
'naru	naru	NARU	abvd	LONG	abvd_155_long_1?
'natas	natas	NATAS	abvd	CLOUD	abvd_131_cloud_10
'nehe	nehe	NEHE	abvd	ONE	abvd_197_one_1
