Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	THAT	abvd_178_that_1
aku	aku	AKU	abvd	I	abvd_182_i_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
asap	asap	ASAP	abvd	SMOKE (EXHAUST)	abvd_145_smoke_49
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
atu	atu	ATU	abvd	STONE	abvd_120_stone_1
até	at	AT	abvd	LIVER	abvd_17_liver_1
awah	awah	AWAH	abvd	MOUTH	abvd_30_mouth_36
ayu	ayu	AUU	abvd	NEW	abvd_163_new_1
banan	banan	BANAN	abvd	FEMALE PERSON	-
basah	basah	BASAH	abvd	WET	abvd_141_wet_1
bik	bik	BIK	abvd	GOOD	-
bintaŋ	binta	BINTA	abvd	STAR	abvd_130_star_1
buruk	buruk	BURUK	abvd	ROTTEN	abvd_112_rotten_1
buŋə	buə	BUE	abvd	FLOWER	abvd_116_flower_1
bén	bn	BN	abvd	ALL	-
bəbuət	bəbuət	BEBUET	abvd	WORK (ACTIVITY)	-
bəcərak	bəcərak	BEKERAK	abvd	SAY	-
bəi	bəi	BEI	abvd	HUSBAND	-
bəkəsah	bəkəsah	BEKESAH	abvd	BREATHE	-
bən	bən	BEN	abvd	NEW	-
bənar	bənar	BENAR	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1
bəpikir	bəpikir	BEPIKIR	abvd	THINK	abvd_21_tothink_22?
bərat	bərat	BERAT	abvd	HEAVY	abvd_142_heavy_1
bərəmus	bərəmus	BEREMUS	abvd	BLOW (OF WIND)	abvd_137_toblow_30
bətih	bətih	BETIH	abvd	KNOW (SOMETHING)	-
bətul	bətul	BETUL	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_23
bəŋi	bəi	BEI	abvd	COLD	-
cabaŋ	caba	KABA	abvd	BRANCH	abvd_113_branch_9
dul	dul	DUL	abvd	DUST	-
dun	dun	DUN	abvd	LEAF	abvd_114_leaf_1
duə	duə	DUE	abvd	TWO	abvd_198_two_1
déh	dh	DH	abvd	COME	-
délah	dlah	DLAH	abvd	TONGUE	abvd_32_tongue_4
də nè	dən	DEN	abvd	PATH OR ROAD	abvd_6_roadpath_1?
dəkat	dəkat	DEKAT	abvd	NEAR	abvd_179_near_28
dəŋkɪ	dəkɪ	DEKI	abvd	FLESH OR MEAT	abvd_103_meatflesh_26
gip	gip	GIP	abvd	FAR	-
gulé	gul	GUL	abvd	FISH	-
gəgur	gəgur	GEGUR	abvd	THUNDER	abvd_134_thunder_1
gəral	gəral	GERAL	abvd	NAME	abvd_63_name_10
gərə	gərə	GERE	abvd	NO OR NOT	-
i	i	I	abvd	AT	abvd_173_at_1
i atan	iatan	IATAN	abvd	ABOVE	abvd_175_above_1
i atas	iatas	IATAS	abvd	ABOVE	abvd_175_above_1
i si	isi	ISI	abvd	WHERE	-
i sih	isih	ISIH	abvd	WHERE	-
i tuyuh	ituyuh	ITUUUH	abvd	BELOW OR UNDER	-
ijo	ijo	IYO	abvd	GREEN	abvd_151_green_25
ikən	ikən	IKEN	abvd	FISH	abvd_111_fish_1
ilaŋ	ila	ILA	abvd	RED	-
ini	ini	INI	abvd	THIS	abvd_177_this_1
inə	inə	INE	abvd	MOTHER	abvd_59_mother_1
ipɔn	ipɔn	IPON	abvd	TOOTH	abvd_31_tooth_1
itəm	itəm	ITEM	abvd	BLACK	abvd_147_black_1
iuŋ	iu	IU	abvd	NOSE	abvd_27_nose_1
i|kə	ikə	IKE	abvd	IF	abvd_193_if_1
jahat	jahat	YAHAT	abvd	BAD OR EVIL	abvd_165_badevil_1
jarak	jarak	YARAK	abvd	FAR	-
jarum	jarum	YARUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
jaŋut	jaut	YAUT	abvd	FEATHER	-
jəma	jəma	YEMA	abvd	PERSON	abvd_53_personhumanbeing_16
jənyɔŋ	jənyɔ	YENUO	abvd	STAND	abvd_52_tostand_19
jərɔh	jərɔh	YEROH	abvd	GOOD	-
kam	kam	KAM	abvd	THOU	abvd_183_thou_10?
kam béwénné	kambwnn	KAMBWNN	abvd	YOU	abvd_186_you_1
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kidiŋ	kidi	KIDI	abvd	FOOT OR LEG	-
kilət	kilət	KILET	abvd	LIGHTNING	abvd_135_lightning_1
kiri	kiri	KIRI	abvd	LEFT	abvd_2_left_1
kisər	kisər	KISER	abvd	TURN	-
kitə	kitə	KITE	abvd	WE	abvd_185_we_1
klam	klam	KLAM	abvd	NIGHT	abvd_167_night_20?
kucak	kucak	KUKAK	abvd	SMALL	abvd_152_small_27
kuduk	kuduk	KUDUK	abvd	BACK	-
kul	kul	KUL	abvd	BIG	-
kulit	kulit	KULIT	abvd	SKIN	abvd_12_skin_1
kuniŋ	kuni	KUNI	abvd	YELLOW	abvd_150_yellow_1
kunul	kunul	KUNUL	abvd	SIT	-
kunə	kunə	KUNE	abvd	HOW	-
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kuwən	kuwən	KUWEN	abvd	RIGHT	abvd_3_right_1
kuyu	kuyu	KUUU	abvd	WIND	-
kétɔl	ktɔl	KTOL	abvd	WORM	-
kɔ	kɔ	KO	abvd	THOU	abvd_183_thou_1
kɔlak	kɔlak	KOLAK	abvd	WIDE	-
kɔnɔt	kɔnɔt	KONOT	abvd	SHORT	-
kɔték	kɔtk	KOTK	abvd	DIRTY	abvd_10_dirty_31?
kədik	kədik	KEDIK	abvd	LAUGH	abvd_33_tolaugh_30
kədut	kədut	KEDUT	abvd	FOG	-
kəmiriŋ	kəmiri	KEMIRI	abvd	EAR	-
kəmél	kəml	KEML	abvd	SHY OR ASHAMED	-
kəpék	kəpk	KEPK	abvd	WING	abvd_100_wing_1
kəriŋ	kəri	KERI	abvd	DRY	abvd_140_dry_22
kərlaŋ	kərla	KERLA	abvd	SHOULDER	-
kərpé	kərp	KERP	abvd	GRASS	-
laŋit	lait	LAIT	abvd	SKY	abvd_128_sky_1
lime	lime	LIME	abvd	FIVE	abvd_201_five_1
lipé	lip	LIP	abvd	SNAKE	abvd_106_snake_1?
lo	lo	LO	abvd	DAY (NOT NIGHT)	-
lut kucak	lutkucak	LUTKUKAK	abvd	LAKE	-
lut kɔlak	lutkɔlak	LUTKOLAK	abvd	SEA	-
lén	ln	LN	abvd	OTHER	abvd_190_other_2
lɔlawah	lɔlawah	LOLAWAH	abvd	SPIDER	abvd_110_spider_1
ləmak	ləmak	LEMAK	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_24
ləmis	ləmis	LEMIS	abvd	MOSQUITO	abvd_109_mosquito_1?
malaŋ	mala	MALA	abvd	LIE DOWN	-
manuk	manuk	MANUK	abvd	BIRD	abvd_97_bird_1
map	map	MAP	abvd	YAWN	abvd_47_toyawn_19
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
matɪ	matɪ	MATI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
maŋan	maan	MAAN	abvd	EAT	abvd_37_toeat_1
maŋayo	maayo	MAAUO	abvd	SCRATCH	abvd_77_toscratch_1
minum	minum	MINUM	abvd	DRINK	abvd_40_todrink_1
mubəlah	mubəlah	MUBELAH	abvd	SPLIT	abvd_80_tosplit_1
mubəli	mubəli	MUBELI	abvd	BUY	abvd_91_tobuy_1
mubəŋkak	mubəkak	MUBEKAK	abvd	SWELL	abvd_87_toswell_19
mudərə	mudərə	MUDERE	abvd	HIT	-
mugarut	mugarut	MUGARUT	abvd	SCRATCH	abvd_77_toscratch_44
mugəraluŋən	mugəraluən	MUGERALUEN	abvd	THROW	-
mujaril	mujaril	MUYARIL	abvd	FLOW	-
mujit	mujit	MUYIT	abvd	SEW	abvd_67_tosew_2
mujəraŋ	mujəra	MUYERA	abvd	COOK (SOMETHING)	abvd_39_tocook_2
muliŋ	muli	MULI	abvd	SAY	-
mumilih	mumilih	MUMILIH	abvd	CHOOSE	abvd_85_tochoose_1
mumərah	mumərah	MUMERAH	abvd	SQUEEZE	abvd_88_tosqueeze_1
muməŋé	mumə	MUME	abvd	HEAR	-
mun	mun	MUN	abvd	CLOUD	-
munamat	munamat	MUNAMAT	abvd	HOLD	-
munanɔm	munanɔm	MUNANOM	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
munawé	munaw	MUNAW	abvd	SWIM	-
munikɔt	munikɔt	MUNIKOT	abvd	FASTEN	abvd_66_totieupfasten_1
munilih	munilih	MUNILIH	abvd	SPIT	-
munimak	munimak	MUNIMAK	abvd	SHOOT	abvd_70_toshoot_49
munipi	munipi	MUNIPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
munukə	munukə	MUNUKE	abvd	OPEN	abvd_92_toopenuncover_1
mununuh	mununuh	MUNUNUH	abvd	KILL	abvd_74_tokill_1
munusuh	munusuh	MUNUSUH	abvd	STEAL	-
munutu	munutu	MUNUTU	abvd	POUND	abvd_93_topoundbeat_20
munyiluk	munyiluk	MUNUILUK	abvd	SUCK	abvd_42_tosuck_70
munyiut	munyiut	MUNUIUT	abvd	BURN	-
munyum	munyum	MUNUUM	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_20
munyuən	munyuən	MUNUUEN	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
munérah	munrah	MUNRAH	abvd	SEE	-
munétɔŋ	muntɔ	MUNTO	abvd	COUNT	abvd_196_tocount_31
munéŋɔn	munɔn	MUNON	abvd	SEE	-
munənik	munənik	MUNENIK	abvd	STAB	abvd_71_tostabpierce_25?
muralan	muralan	MURALAN	abvd	WALK	abvd_5_towalk_21?
murip	murip	MURIP	abvd	BE ALIVE	abvd_76_tolivebealive_1
mutuh	mutuh	MUTUH	abvd	FALL	-
muŋaro	muaro	MUARO	abvd	HUNT	-
muŋuruk	muuruk	MUURUK	abvd	DIG	-
muŋét	mut	MUT	abvd	BITE	-
muŋənal	muənal	MUENAL	abvd	CHEW	-
muŋərat	muərat	MUERAT	abvd	CUT OR HACK	abvd_78_tocuthack_139
mɔŋɔt	mɔɔt	MOOT	abvd	CRY	abvd_34_tocry_1?
naru	naru	NARU	abvd	LONG	abvd_155_long_1
nik	nik	NIK	abvd	CLIMB	abvd_172_toclimb_1
nilih	nilih	NILIH	abvd	SPIT	-
nipis	nipis	NIPIS	abvd	THIN	abvd_156_thin_1
nomé	nom	NOM	abvd	SLEEP	-
pakéa	paka	PAKA	abvd	THEY	-
pasir	pasir	PASIR	abvd	SAND	abvd_121_sand_18
paŋkiŋ	paki	PAKI	abvd	BACK	abvd_13_back_42
pumu	pumu	PUMU	abvd	HAND	-
putih	putih	PUTIH	abvd	WHITE	abvd_148_white_1
pédét	pdt	PDT	abvd	NARROW	-
pɔa	pɔa	POA	abvd	SALT	-
pɔrak	pɔrak	PORAK	abvd	WARM	-
pəlɔah	pəlɔah	PELOAH	abvd	VOMIT	-
rara	rara	RARA	abvd	FIRE	-
rawan	rawan	RAWAN	abvd	MALE PERSON	-
rayɔh	rayɔh	RAUOH	abvd	BLOOD	abvd_23_blood_1
rɔa	rɔa	ROA	abvd	TWO	abvd_198_two_1
rɔŋɔk	rɔɔk	ROOK	abvd	NECK	-
sa	sa	SA	abvd	WHO	abvd_189_who_1?
sah	sah	SAH	abvd	WHO	abvd_189_who_1?
sahɔn	sahɔn	SAHON	abvd	WHO	abvd_189_who_1?
sakit	sakit	SAKIT	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
sal	sal	SAL	abvd	ONE	abvd_197_one_1
sana	sana	SANA	abvd	WHAT	abvd_188_what_1
sara	sara	SARA	abvd	ONE	abvd_197_one_1
supu	supu	SUPU	abvd	THATCH OR ROOF	abvd_62_thatchroof_15?
susu	susu	SUSU	abvd	BREAST	abvd_18_breast_1
səjuk	səjuk	SEYUK	abvd	COLD	-
səlɔ	səlɔ	SELO	abvd	WHEN	-
səsuk	səsuk	SESUK	abvd	STAND	-
tabur	tabur	TABUR	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_34
tajuk	tajuk	TAYUK	abvd	FLOWER	-
tali	tali	TALI	abvd	ROPE	abvd_65_rope_1
tanɔh	tanɔh	TANOH	abvd	EARTH (SOIL)	abvd_119_earthsoil_1
terbaŋ	terba	TERBA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_18
tigə	tigə	TIGE	abvd	THREE	abvd_199_three_8
tikus	tikus	TIKUS	abvd	RAT	abvd_102_rat_22
tukə	tukə	TUKE	abvd	BELLY	abvd_14_belly_4
tulu	tulu	TULU	abvd	THREE	abvd_199_three_1
tulən	tulən	TULEN	abvd	BONE	abvd_15_bone_1
tumpul	tumpul	TUMPUL	abvd	BLUNT	abvd_82_dullblunt_3
tun	tun	TUN	abvd	YEAR	abvd_169_year_1
tuə	tuə	TUE	abvd	OLD	abvd_162_old_1
tuən	tuən	TUEN	abvd	FATHER	-
tènaruh	tnaruh	TNARUH	abvd	EGG	abvd_98_egg_1?
tɔn umah	tɔnumah	TONUMAH	abvd	HUSBAND	-
təbəl	təbəl	TEBEL	abvd	THICK	abvd_157_thick_26
təjəm	təjəm	TEYEM	abvd	SHARP	abvd_81_sharp_1
təmuni	təmuni	TEMUNI	abvd	HIDE	abvd_171_tohide_1
tərih	tərih	TERIH	abvd	FEAR (BE AFRAID)	abvd_22_tofear_41
tətukə	tətukə	TETUKE	abvd	INTESTINES	-
uah-uahən	uahuahən	UAHUAHEN	abvd	FRUIT	abvd_117_fruit_1
uk	uk	UK	abvd	HAIR	abvd_26_hair_1
uki	uki	UKI	abvd	TAIL	abvd_105_tail_1
ulu	ulu	ULU	abvd	HEAD	abvd_24_head_1
uluŋ	ulu	ULU	abvd	LEAF	abvd_114_leaf_18
ulən	ulən	ULEN	abvd	MOON	abvd_129_moon_1
umah	umah	UMAH	abvd	HOUSE	abvd_61_house_1
urum	urum	URUM	abvd	AND	-
urən	urən	UREN	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
usi	usi	USI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
utən	utən	UTEN	abvd	FOREST	abvd_127_woodsforest_7
uyɔt	uyɔt	UUOT	abvd	ROOT	abvd_115_root_1
wan	wan	WAN	abvd	IN	-
was	was	WAS	abvd	IN	-
wau	wau	WAU	abvd	ASH	abvd_146_ashes_1
wih	wih	WIH	abvd	WATER	abvd_122_water_2
wu	wu	WU	abvd	DUST	-
wuk	wuk	WUK	abvd	HAIR	abvd_26_hair_1
wé	w	W	abvd	HE OR SHE	-
wəih	wəih	WEIH	abvd	WATER	abvd_122_water_2
ŋgih	gih	GIH	abvd	NO OR NOT	-
ɔpat	ɔpat	OPAT	abvd	FOUR	abvd_200_four_1
ɔya	ɔya	OUA	abvd	THAT	abvd_178_that_1
əbəm	əbəm	EBEM	abvd	ASH	abvd_146_ashes_1
əmpat	əmpat	EMPAT	abvd	FOUR	abvd_200_four_1
