Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ababis	ababis	ABABIS	abvd	ALL	abvd_191_all_9
afi	afi	API	abvd	FIRE	abvd_143_fire_1
akar	akar	AKAR	abvd	ROOT	abvd_115_root_2
aku	aku	AKU	abvd	I	abvd_182_i_1
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
ar	ar	AR	abvd	WATER	abvd_122_water_2
at	at	AT	abvd	LIVER	abvd_17_liver_1
ata	ata	ATA	abvd	ABOVE	abvd_175_above_1
au tái	auti	AUTI	abvd	ASH	abvd_146_ashes_1
aŋin	ain	AIN	abvd	WIND	abvd_136_wind_1
aŋin tái	ainti	AINTI	abvd	CLOUD	abvd_131_cloud_36
baba	baba	BABA	abvd	FATHER	abvd_60_father_43
babán	babn	BABN	abvd	GOOD	-
banifis	banifis	BANIPIS	abvd	THIN	abvd_156_thin_1
barém	barm	BARM	abvd	THATCH OR ROOF	abvd_62_thatchroof_8?
batolu	batolu	BATOLU	abvd	THICK	abvd_157_thick_3
biri	biri	BIRI	abvd	GREEN	abvd_151_green_5
bobak	bobak	BOBAK	abvd	BIG	-
bua	bua	BUA	abvd	AT	abvd_173_at_3
bua lomin	bualomin	BUALOMIN	abvd	IN	abvd_174_ininside_21
bula-bula	bulabula	BULABULA	abvd	LIE DOWN	abvd_49_toliedown_2
bulu	bulu	BULU	abvd	SWELL	abvd_87_toswell_2
bus	bus	BUS	abvd	SUCK	abvd_42_tosuck_4
dahan	dahan	DAHAN	abvd	HOLD	abvd_89_tohold_7
doan fis	doanfis	DOANPIS	abvd	WHEN	abvd_170_when_1
dodan	dodan	DODAN	abvd	DAY (NOT NIGHT)	abvd_168_day_3
dudun	dudun	DUDUN	abvd	THUNDER	abvd_134_thunder_8
ena	ena	ENA	abvd	EARTH (SOIL)	abvd_119_earthsoil_5
ena kutu	enakutu	ENAKUTU	abvd	WORM	-
fai ŋak	faiak	PAIAK	abvd	BREATHE	abvd_28_tobreathe_5
fakaleus	fakaleus	PAKALEUS	abvd	STEAL	abvd_73_tosteal_29
fanak	fanak	PANAK	abvd	SHOOT	abvd_70_toshoot_1
fas	fas	PAS	abvd	BUY	abvd_91_tobuy_4
fat	fat	PAT	abvd	FOUR	abvd_200_four_1
fikori	fikori	PIKORI	abvd	SCRATCH	abvd_77_toscratch_6
filik	filik	PILIK	abvd	CHOOSE	abvd_85_tochoose_1
fimusi	fimusi	PIMUSI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_65
fituin	fituin	PITUIN	abvd	STAR	abvd_130_star_1
fi|rait	firait	PIRAIT	abvd	SEW	abvd_67_tosew_2
fola	fola	POLA	abvd	THROW	-
fus	fus	PUS	abvd	FLOWER	abvd_116_flower_5?
futar	futar	PUTAR	abvd	TURN	abvd_8_toturn_1
futi	futi	PUTI	abvd	WHITE	abvd_148_white_1
gafas	gafas	GAPAS	abvd	SPIDER	abvd_110_spider_1?
gafin	gafin	GAPIN	abvd	GOOD	-
galotak	galotak	GALOTAK	abvd	DIRTY	-
garan	garan	GARAN	abvd	NIGHT	-
garata	garata	GARATA	abvd	BAD OR EVIL	abvd_165_badevil_1?
ga|lawa	galawa	GALAWA	abvd	WIDE	abvd_159_wide_48
ginisuk	ginisuk	GINISUK	abvd	SPIT	abvd_36_tospit_110
hiʔir	hiʔir	HIHIR	abvd	THINK	abvd_21_tothink_22
i	i	I	abvd	HE OR SHE	abvd_184_heshe_1
ikan	ikan	IKAN	abvd	FISH	abvd_111_fish_1
imak	imak	IMAK	abvd	GRASS	-
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
ira	ira	IRA	abvd	THIS	-
kafuna	kafuna	KAPUNA	abvd	DOG	abvd_96_dog_35
kai	kai	KAI	abvd	STICK	abvd_79_stickwood_1
kaku	kaku	KAKU	abvd	TAIL	-
kalufa	kalufa	KALUPA	abvd	RAT	abvd_102_rat_1?
kam	kam	KAM	abvd	WE	abvd_185_we_2
karat	karat	KARAT	abvd	BITE	abvd_41_tobite_1
katotu	katotu	KATOTU	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_6
kau	kau	KAU	abvd	THOU	abvd_183_thou_1
kayk	kayk	KAUK	abvd	DIG	-
