Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ahe	ahe	AHE	abvd	WHERE	abvd_181_where_3
aie	aie	AIE	abvd	HE OR SHE	abvd_184_heshe_1
aihat	aihat	AIHAT	abvd	FOUR	abvd_200_four_1
airuo	airuo	AIRUO	abvd	TWO	abvd_198_two_1
aitul	aitul	AITUL	abvd	THREE	abvd_199_three_1
asa	asa	ASA	abvd	WHAT	abvd_188_what_1
baban	baban	BABAN	abvd	WING	abvd_100_wing_42
bahuto	bahuto	BAHUTO	abvd	CLOUD	abvd_131_cloud_45
bakut	bakut	BAKUT	abvd	CLOUD	abvd_131_cloud_45
bala	bala	BALA	abvd	BELLY	abvd_14_belly_18
bata	bata	BATA	abvd	RAIN (PRECIPITATION)	abvd_133_rain_8
be	be	BE	abvd	IF	abvd_193_if_28
bilinge	bilinge	BILINGE	abvd	DIRTY	abvd_10_dirty_13
bolai	bolai	BOLAI	abvd	ROOT	-
bubing	bubing	BUBING	abvd	KILL	-
bung	bung	BUNG	abvd	NIGHT	abvd_167_night_1
bungbung	bungbung	BUNGBUNG	abvd	BLACK	abvd_147_black_31
burut	burut	BURUT	abvd	FEAR (BE AFRAID)	abvd_22_tofear_28
butas	butas	BUTAS	abvd	WET	abvd_141_wet_20
buul	buul	BUUL	abvd	BLUNT	abvd_82_dullblunt_6
dadaip	dadaip	DADAIP	abvd	WIND	abvd_136_wind_70
dahat	dahat	DAHAT	abvd	WE	-
dardaran	dardaran	DARDARAN	abvd	RED	abvd_149_red_25
diat	diat	DIAT	abvd	THEY	abvd_187_they_25
dirsik	dirsik	DIRSIK	abvd	NARROW	-
dup	dup	DUP	abvd	SUCK	abvd_42_tosuck_37
et	et	ET	abvd	WE	abvd_185_we_1
gap	gap	GAP	abvd	BLOOD	abvd_23_blood_5
gugulum	gugulum	GUGULUM	abvd	THROW	-
gut	gut	GUT	abvd	RAT	abvd_102_rat_3
ha	ha	HA	abvd	MOUTH	abvd_30_mouth_36
hadade	hadade	HADADE	abvd	HEAR	-
hahin	hahin	HAHIN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
haiahoia	haiahoia	HAIAHOIA	abvd	SAND	abvd_121_sand_96
hala	hala	HALA	abvd	HOUSE	abvd_61_house_14
hala na ...	halana	HALANA	abvd	THATCH OR ROOF	abvd_62_thatchroof_67
halo	halo	HALO	abvd	BURN	-
halulungo	halulungo	HALULUNGO	abvd	BURN	-
han	han	HAN	abvd	WALK	abvd_5_towalk_2
hansik	hansik	HANSIK	abvd	SMALL	abvd_152_small_81
hat	hat	HAT	abvd	STONE	abvd_120_stone_1
he	he	HE	abvd	WHERE	abvd_181_where_3
helik	helik	HELIK	abvd	FAR	abvd_180_far_90
hi	hi	HI	abvd	HAIR	-
hile	hile	HILE	abvd	LIGHTNING	abvd_135_lightning_26
hina	hina	HINA	abvd	FEATHER	-
hinsang	hinsang	HINSANG	abvd	NAME	abvd_63_name_66
hirhir	hirhir	HIRHIR	abvd	SHY OR ASHAMED	abvd_161_shyashamed_11
hohe	hohe	HOHE	abvd	HOW	-
humai	humai	HUMAI	abvd	FRUIT	-
hunanges	hunanges	HUNANGES	abvd	WHEN	abvd_170_when_1
huro	huro	HURO	abvd	GRASS	abvd_118_grass_50
hutet	hutet	HUTET	abvd	NEAR	-
iabis	iabis	IABIS	abvd	SPIT	abvd_36_tospit_25
iah	iah	IAH	abvd	FIRE	abvd_143_fire_1
iakau	iakau	IAKAU	abvd	THIS	-
ian	ian	IAN	abvd	EAT	abvd_37_toeat_1
ianga	ianga	IANGA	abvd	SAY	-
ias	ias	IAS	abvd	SWIM	abvd_9_toswim_19
iau	iau	IAU	abvd	I	abvd_182_i_1
ie	ie	IE	abvd	HE OR SHE	abvd_184_heshe_1
ing	ing	ING	abvd	IF	-
io	io	IO	abvd	AND	abvd_192_and_62
ituso	ituso	ITUSO	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_93
kabus	kabus	KABUS	abvd	DUST	abvd_11_dust_22
kais	kais	KAIS	abvd	LEFT	abvd_2_left_15
kaki	kaki	KAKI	abvd	FOOT OR LEG	abvd_4_legfoot_1
kalkale	kalkale	KALKALE	abvd	SHOULDER	abvd_19_shoulder_25
kalola	kalola	KALOLA	abvd	WORM	abvd_107_wormearthworm_39
kan	kan	KAN	abvd	THIS	-
kanin	kanin	KANIN	abvd	THIS	-
kano	kano	KANO	abvd	THAT	-
kanong	kanong	KANONG	abvd	THAT	-
karane	karane	KARANE	abvd	TONGUE	abvd_32_tongue_7
karat	karat	KARAT	abvd	BITE	abvd_41_tobite_1
kas	kas	KAS	abvd	SCRATCH	abvd_77_toscratch_5
kasakes	kasakes	KASAKES	abvd	DAY (NOT NIGHT)	-
kat	kat	KAT	abvd	LIVER	abvd_17_liver_1
katangan	katangan	KATANGAN	abvd	BRANCH	-
kato	kato	KATO	abvd	CUT OR HACK	abvd_78_tocuthack_119
kawas	kawas	KAWAS	abvd	CLIMB	-
kiau	kiau	KIAU	abvd	EGG	abvd_98_egg_31
kikil	kikil	KIKIL	abvd	DIG	abvd_90_todig_1
kikinau	kikinau	KIKINAU	abvd	STEAL	abvd_73_tosteal_21
kil	kil	KIL	abvd	DIG	abvd_90_todig_1
kinau	kinau	KINAU	abvd	ROPE	abvd_65_rope_39
kinkinaukas	kinkinaukas	KINKINAUKAS	abvd	SPIDER	-
kirip	kirip	KIRIP	abvd	FISH	abvd_111_fish_34
kis	kis	KIS	abvd	SIT	abvd_51_tosit_20
kubaba	kubaba	KUBABA	abvd	SLEEP	-
kubus	kubus	KUBUS	abvd	FASTEN	abvd_66_totieupfasten_51
kukul	kukul	KUKUL	abvd	BUY	abvd_91_tobuy_15
kukur	kukur	KUKUR	abvd	GROW	-
kul	kul	KUL	abvd	BUY	abvd_91_tobuy_15?
kumkum	kumkum	KUMKUM	abvd	SHORT	abvd_154_short_63
kurus	kurus	KURUS	abvd	LAUGH	-
lampap	lampap	LAMPAP	abvd	HUNT	-
lapin	lapin	LAPIN	abvd	TAIL	-
laplapot	laplapot	LAPLAPOT	abvd	SHOOT	-
lapot	lapot	LAPOT	abvd	SHOOT	-
lawat	lawat	LAWAT	abvd	HIT	-
lilik	lilik	LILIK	abvd	THINK	-
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
lou	lou	LOU	abvd	BE ALIVE	abvd_76_tolivebealive_31
ma	ma	MA	abvd	AND	abvd_192_and_2
madohon	madohon	MADOHON	abvd	COLD	-
mai	mai	MAI	abvd	COME	abvd_7_tocome_1
makai	makai	MAKAI	abvd	MOTHER	-
malit	malit	MALIT	abvd	FOREST	abvd_127_woodsforest_55
mama	mama	MAMA	abvd	FATHER	abvd_60_father_1
mamahien	mamahien	MAMAHIEN	abvd	WARM	-
mamasa	mamasa	MAMASA	abvd	DRY	abvd_140_dry_11
man	man	MAN	abvd	BIRD	abvd_97_bird_1
manasung	manasung	MANASUNG	abvd	BREATHE	abvd_28_tobreathe_32
mane	mane	MANE	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
marmarue	marmarue	MARMARUE	abvd	VOMIT	abvd_35_tovomit_18
marsang	marsang	MARSANG	abvd	ROTTEN	-
mat	mat	MAT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
mawe	mawe	MAWE	abvd	SKY	abvd_128_sky_33
mehet	mehet	MEHET	abvd	WE	-
mes	mes	MES	abvd	OTHER	abvd_190_other_44
minonas	minonas	MINONAS	abvd	KNOW (SOMETHING)	-
mis	mis	MIS	abvd	SMOKE (EXHAUST)	abvd_145_smoke_39
mom	mom	MOM	abvd	DRINK	abvd_40_todrink_27
momoiah	momoiah	MOMOIAH	abvd	YAWN	abvd_47_toyawn_19
mun	mun	MUN	abvd	HIDE	abvd_171_tohide_1
musala	musala	MUSALA	abvd	CHEW	-
naliu	naliu	NALIU	abvd	ABOVE	-
nana	nana	NANA	abvd	MOTHER	abvd_59_mother_1
napu	napu	NAPU	abvd	BELOW OR UNDER	-
narako	narako	NARAKO	abvd	IN	-
natine	natine	NATINE	abvd	SMALL	abvd_152_small_41
natu	natu	NATU	abvd	CHILD	abvd_56_child_5
nes	nes	NES	abvd	SEE	-
