Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
=ke	ke	KE	abvd	NO OR NOT	abvd_195_nonot_19
ae	ae	AE	abvd	WHERE	abvd_181_where_37
aevei	aevei	AEBEI	abvd	HOW	abvd_194_how_47
ani	ani	ANI	abvd	THIS	-
ao	ao	AO	abvd	THOU	abvd_183_thou_1
aoro	aoro	AORO	abvd	YEAR	abvd_169_year_47
apo	apo	APO	abvd	DRINK	abvd_40_todrink_9
ara	ara	ARA	abvd	I	abvd_182_i_1
are	are	ARE	abvd	ABOVE	abvd_175_above_23
ari	ari	ARI	abvd	THIS	-
aru	aru	ARU	abvd	HOLD	abvd_89_tohold_59
arua	arua	ARUA	abvd	HOLD	abvd_89_tohold_59
au	au	AU	abvd	LAUGH	abvd_33_tolaugh_61
aza	aza	ASA	abvd	HE OR SHE	abvd_184_heshe_13
aɔrɔ	aɔrɔ	AORO	abvd	YEAR	abvd_169_year_47
babana	babana	BABANA	abvd	WING	abvd_100_wing_42
bagere	bagere	BAGERE	abvd	ROOT	abvd_115_root_19
baragozo	baragozo	BARAGOSO	abvd	OLD	abvd_162_old_60
bata	bata	BATA	abvd	SEE	abvd_46_tosee_58
bati	bati	BATI	abvd	SEE	abvd_46_tosee_58
batu	batu	BATU	abvd	HEAD	abvd_24_head_9
beto	beto	BETO	abvd	AND	abvd_192_and_24
betoko	betoko	BETOKO	abvd	AND	abvd_192_and_24
boe	boe	BOE	abvd	YELLOW	abvd_150_yellow_51
bongi	bongi	BONGI	abvd	NIGHT	abvd_167_night_1
bongo	bongo	BONGO	abvd	SWELL	abvd_87_toswell_24
bu	bu	BU	abvd	GREEN	abvd_151_green_19
buku	buku	BUKU	abvd	DRINK	abvd_40_todrink_31
buruburu	buruburu	BURUBURU	abvd	GRASS	abvd_118_grass_19
dai	dai	DAI	abvd	NO OR NOT	abvd_195_nonot_59
dogoro	dogoro	DOGORO	abvd	SEE	abvd_46_tosee_57
dole	dole	DOLE	abvd	SNAKE	abvd_106_snake_16
doru	doru	DORU	abvd	ALL	abvd_191_all_47
equru	equru	EKURU	abvd	LEAF	abvd_114_leaf_32
gami	gami	GAMI	abvd	WE	abvd_185_we_2
gamu	gamu	GAMU	abvd	YOU	abvd_186_you_1
gani	gani	GANI	abvd	EAT	abvd_37_toeat_1
garata	garata	GARATA	abvd	BITE	abvd_41_tobite_1
garo	garo	GARO	abvd	SCRATCH	abvd_77_toscratch_1
gava	gava	GABA	abvd	WIND	abvd_136_wind_51
gavu	gavu	GABU	abvd	FOG	abvd_132_fog_1
gazoro	gazoro	GASORO	abvd	ROPE	abvd_65_rope_2
geli	geli	GELI	abvd	DIG	abvd_90_todig_1
