Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'nane	nɛːn	NEN	wikipron	-	-
'sy	sə	SE	wikipron	-	-
aa	ɛː	E	wikipron	-	-
aalin	ɛːlin	ELIN	wikipron	-	-
aane	eːn	EN	wikipron	-	-
aane	ɛːn	EN	wikipron	-	-
aeg	ɛːɡ	EG	wikipron	-	-
aer	eːə	EE	wikipron	-	-
aile	ail	AIL	wikipron	-	-
aitt	atʲ	AT	wikipron	-	-
ard	ørd	ERD	wikipron	-	-
arragh	arax	ARAK	wikipron	-	-
arree	ari	ARI	wikipron	-	-
awin	aunʲ	AUN	wikipron	-	-
awin	awənʲ	AWEN	wikipron	-	-
ayr	eːar	EAR	wikipron	-	-
baatey	bɛːðə	BEDE	wikipron	-	-
bannee	bani	BANI	wikipron	-	-
bee	biː	BI	wikipron	-	-
beeal	biəl	BIEL	wikipron	-	-
beisht	beːʃt͡ʃ	BESS	wikipron	-	-
beishteig	beʃtʲeːɡ	BESTEG	wikipron	-	-
beishteig	prəʃtʲeːɡ	PRESTEG	wikipron	-	-
ben	bɛᵈn	BEN	wikipron	-	-
billey	bilʲə	BILE	wikipron	-	-
blaa	bleː	BLE	wikipron	-	-
blennick	blɛnɪk	BLENIK	wikipron	-	-
Brooje	bruːʒə	BRUSE	wikipron	-	-
buggane	bəɡeːn	BEGEN	wikipron	-	-
cabbyl	kaːvəl	KABEL	wikipron	-	-
caddil	kaːðəl	KADEL	wikipron	-	-
cagg	kaɡ	KAG	wikipron	-	-
cagg	kaːɡ	KAG	wikipron	-	-
caggey	kaːɣə	KAGE	wikipron	-	-
cappan	kavan	KABAN	wikipron	-	-
cass	kaːs	KAS	wikipron	-	-
ceau	cæu	KAU	wikipron	-	-
clagh	klaːx	KLAK	wikipron	-	-
cleaysh	kleːʃ	KLES	wikipron	-	-
collaneyn	kalinʲən	KALINEN	wikipron	-	-
crackan	kraːɣən	KRAGEN	wikipron	-	-
craue	kreːw	KREW	wikipron	-	-
cree	kriː	KRI	wikipron	-	-
cushag	kʊʒaɡ	KUSAG	wikipron	-	-
cushag	kʊʒəɡ	KUSEG	wikipron	-	-
daa	d̪eː	DE	wikipron	-	-
daa	d̪ɛː	DE	wikipron	-	-
dooin	duːnʲ	DUN	wikipron	-	-
dooinney	d̪uːnʲə	DUNE	wikipron	-	-
doon	duːn	DUN	wikipron	-	-
dooney	duːnə	DUNE	wikipron	-	-
eairk	eːak	EAK	wikipron	-	-
eayst	eːs	ES	wikipron	-	-
ec	ɛɟ	EG	wikipron	-	-
ec	ɛɡ	EG	wikipron	-	-
eddyr	ɛðər	EDER	wikipron	-	-
ee	iː	I	wikipron	-	-
eeast	jiːst	YIST	wikipron	-	-
ennym	enəm	ENEM	wikipron	-	-
faiyr	feːə	PEE	wikipron	-	-
feeackle	fiːɣəl	PIGEL	wikipron	-	-
feed	fiːdʒ	PIDS	wikipron	-	-
fer	fɛr	PER	wikipron	-	-
fir	fɪr	PIR	wikipron	-	-
fraue	freːw	PREW	wikipron	-	-
fuill	folʲ	POL	wikipron	-	-
Gaelg	ɡɪlk	GILK	wikipron	-	-
Gaelg	ɡɪlɡ	GILG	wikipron	-	-
garey	ɡeːrə	GERE	wikipron	-	-
garey	ɡɛːrə	GERE	wikipron	-	-
geay	ɡiː	GI	wikipron	-	-
geurey	ɡʲeurə	GEURE	wikipron	-	-
geurey	ɡʲuːrə	GURE	wikipron	-	-
ghrian	ɣriːn	GRIN	wikipron	-	-
giat	ɟat	GAT	wikipron	-	-
giat	ɡjat	GYAT	wikipron	-	-
glen	ɡlɛn	GLEN	wikipron	-	-
grian	ɡriːn	GRIN	wikipron	-	-
haar	hɛːr	HER	wikipron	-	-
hannah	hanə	HANE	wikipron	-	-
hoal	hoːl̪	HOL	wikipron	-	-
hoal	hɔːl̪	HOL	wikipron	-	-
hoght	hoːxt	HOKT	wikipron	-	-
ingin	iŋən	INEN	wikipron	-	-
jaagh	d͡ʒeːax	SEAK	wikipron	-	-
jaagh	d͡ʒɛːx	SEK	wikipron	-	-
jannoo	d͡ʒanu	SANU	wikipron	-	-
jarrood	d͡ʒəruːd̪	SERUD	wikipron	-	-
jarroodit	d͡ʒəruːðɪt͡ʃ	SERUDIS	wikipron	-	-
jean	d͡ʒen	SEN	wikipron	-	-
jean	d͡ʒɪn	SIN	wikipron	-	-
jeanym	d͡ʒɪnəm	SINEM	wikipron	-	-
jeeragh	d͡ʒiːrax	SIRAK	wikipron	-	-
jees	d͡ʒiːs	SIS	wikipron	-	-
Jeheiney	dʲəheːnʲə	DEHENE	wikipron	-	-
jeih	d͡ʒɛi	SEI	wikipron	-	-
jiass	d͡ʒas	SAS	wikipron	-	-
jinnagh	d͡ʒɪnax	SINAK	wikipron	-	-
jinnin	d͡ʒɪnɪn	SININ	wikipron	-	-
jinnin	d͡ʒɪnɪnʲ	SININ	wikipron	-	-
joan	dʒaun	DSAUN	wikipron	-	-
kay	kʲeː	KE	wikipron	-	-
keck	kɛk	KEK	wikipron	-	-
keead	kiːəd	KIED	wikipron	-	-
keeaght	kiaxt	KIAKT	wikipron	-	-
keyll	kelʲ	KEL	wikipron	-	-
