Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
𐌰𐌱𐌿	abu	ABU	wikipron	-	-
𐌰𐌲𐌲𐌹𐌻𐌿𐍃	aŋɡilus	ANGILUS	wikipron	-	-
𐌰𐌲𐌲𐍅𐌹𐌸𐌰	aŋɡwiθa	ANGWITA	wikipron	-	-
𐌰𐌲𐌻𐌹𐌸𐌰	aɣliθa	AGLITA	wikipron	-	-
𐌰𐌲𐌻𐍉	aɣloː	AGLO	wikipron	-	-
𐌰𐌵𐌹𐌶𐌹	akʷizi	AKISI	wikipron	-	-
𐌰𐌶𐌲𐍉	azɡoː	ASGO	wikipron	-	-
𐌰𐌶𐍅𐌼𐌴	azymeː	ASUME	wikipron	-	-
𐌰𐌶𐍅𐌼𐌿𐍃	azymus	ASUMUS	wikipron	-	-
𐌰𐌷𐌰𐌺	ahak	AHAK	wikipron	-	-
𐌰𐌷𐌰𐌺𐌴	ahakeː	AHAKE	wikipron	-	-
𐌰𐌷𐌰𐌺𐌹𐌼	ahakim	AHAKIM	wikipron	-	-
𐌰𐌷𐌰𐌺𐍃	ahaks	AHAKS	wikipron	-	-
𐌰𐌷𐍃	ahs	AHS	wikipron	-	-
𐌰𐌷𐍃𐌰	ahsa	AHSA	wikipron	-	-
𐌰𐌷𐍄𐌰𐌿	axtɔː	AKTO	wikipron	-	-
𐌰𐌷𐍄𐌰𐌿𐌳𐍉𐌲𐍃	ahtɔːdoːɡs	AHTODOGS	wikipron	-	-
𐌰𐌷𐍄𐌰𐌿𐍄𐌴𐌷𐌿𐌽𐌳	ahtɔːteːhund	AHTOTEHUND	wikipron	-	-
𐌰𐌷𐍄𐌿𐌳𐌰	ahtuda	AHTUDA	wikipron	-	-
𐌰𐌷𐍄𐌿𐌳𐌹𐌽	ahtudin	AHTUDIN	wikipron	-	-
𐌰𐌸𐌸𐌰𐌽	aθːan	ATAN	wikipron	-	-
𐌰𐌹𐌱𐍂	ɛːβr	EBR	wikipron	-	-
𐌰𐌹𐌲𐌰𐌽	ɛːɣan	EGAN	wikipron	-	-
𐌰𐌹𐌸𐌴𐌹	ɛːθiː	ETI	wikipron	-	-
𐌰𐌹𐌻𐌴𐌹𐍃𐌰𐌱𐌰𐌹𐌸	ɛlisabɛθ	ELISABET	wikipron	-	-
𐌰𐌹𐌽𐌶𐌿	ɛːnzu	ENSU	wikipron	-	-
𐌰𐌹𐌽𐌻𐌹𐌱𐌹𐌼	ɛːnlibim	ENLIBIM	wikipron	-	-
𐌰𐌹𐌽𐌻𐌹𐍆	ɛːnlif	ENLIP	wikipron	-	-
