Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'a	ʔa	HA	wikipron	-	-
'e	ʔe	HE	wikipron	-	-
'u	ʔu	HU	wikipron	-	-
ahy'o	ahɨʔo	AHIHO	wikipron	-	-
akã	ãk̃ã	K	wikipron	-	-
akãrangue	ãk̃ãɾ̃ãᵑɡʷe	KRGE	wikipron	-	-
Amérika	ameɾika	AMERIKA	wikipron	-	-
apu'a	apuʔa	APUHA	wikipron	-	-
Arahentína	aɾaheⁿtina	ARAHETINA	wikipron	-	-
aranduka	aɾaⁿduka	ARADUKA	wikipron	-	-
arandukakuéra	aɾaⁿdukakʷeɾa	ARADUKAKERA	wikipron	-	-
ary	aɾɨ	ARI	wikipron	-	-
arykuéra	aɾɨkʷeɾa	ARIKERA	wikipron	-	-
ava	aʋa	AWA	wikipron	-	-
avakuaaty	aʋakwaatɨ	AWAKWAATI	wikipron	-	-
avati	aʋati	AWATI	wikipron	-	-
avañe'ẽ	ʔãʋãɲẽʔẽ	HWNH	wikipron	-	-
che	ɕɛ	SE	wikipron	-	-
che	ʃe	SE	wikipron	-	-
chendive	ʃendiʋe	SENDIWE	wikipron	-	-
chupe	ʃupe	SUPE	wikipron	-	-
chéve	ʃeʋe	SEWE	wikipron	-	-
Chíle	ɕile	SILE	wikipron	-	-
Epáña	epaɲã	EPAN	wikipron	-	-
guasu	wasu	WASU	wikipron	-	-
guata	ɰʷata	WATA	wikipron	-	-
guyrakuaaty	ɡwɨɾakwaatɨ	GWIRAKWAATI	wikipron	-	-
guyrakuaatykuéra	piɾakwaatɨkwɛɾa	PIRAKWAATIKWERA	wikipron	-	-
hague	haɰʷe	HAWE	wikipron	-	-
haku	haku	HAKU	wikipron	-	-
hape	hape	HAPE	wikipron	-	-
hayhu	haɨhu	HAIHU	wikipron	-	-
hecha	heʃa	HESA	wikipron	-	-
heka	heka	HEKA	wikipron	-	-
hetãvore	h̃ẽt̃ãʋ̃õɾe	HTWRE	wikipron	-	-
hikuái	hikwaj	HIKWAY	wikipron	-	-
ho	ho	HO	wikipron	-	-
hovyngy	hovɨᵑɡɨ	HOBIGI	wikipron	-	-
héra	heɾa	HERA	wikipron	-	-
ichupe	iʃupe	ISUPE	wikipron	-	-
jaguakuéra	d͡ʒawakʷeɾa	SAWAKERA	wikipron	-	-
jaguaru	ᵈjaɰʷaɾu	YAWARU	wikipron	-	-
jaguarundi	dʒaɡwaɾuⁿdi	DSAGWARUDI	wikipron	-	-
Jasy	d͡ʒasɨ	SASI	wikipron	-	-
jasykuéra	d͡ʒasɨkʷeɾa	SASIKERA	wikipron	-	-
jerovia	ᵈjeɾoʋia	YEROWIA	wikipron	-	-
juka	d͡ʒuka	SUKA	wikipron	-	-
juru	d͡ʒuɾu	SURU	wikipron	-	-
jurukuéra	d͡ʒuɾukʷeɾa	SURUKERA	wikipron	-	-
juvy	juʋɨ	YUWI	wikipron	-	-
jyva	d͡ʒɨʋa	SIWA	wikipron	-	-
jyvakuéra	d͡ʒɨʋakʷeɾa	SIWAKERA	wikipron	-	-
Ka'aguasu	kaʔawasu	KAHAWASU	wikipron	-	-
kakuaa	kakuaa	KAKUAA	wikipron	-	-
kane'õ	k̃ãnẽʔõ	KNH	wikipron	-	-
karape	kaɾape	KARAPE	wikipron	-	-
kavajukuéra	kaʋad͡ʒukʷeɾa	KAWASUKERA	wikipron	-	-
kichiha	kiʃiha	KISIHA	wikipron	-	-
ko'ẽrõ	koʔẽɾ̃õ	KOHR	wikipron	-	-
Kolómbia	koloᵐbja	KOLOBYA	wikipron	-	-
koty	kotɨ	KOTI	wikipron	-	-
kotykuéra	kotɨkʷeɾa	KOTIKERA	wikipron	-	-
kuaa	kwaa	KWAA	wikipron	-	-
kuimba'ekuéra	kʷiᵐbaʔekʷeɾa	KIBAHEKERA	wikipron	-	-
kuimbaʼe	kʷiᵐbaʔe	KIBAHE	wikipron	-	-
kuimbe	kʷiᵐbe	KIBE	wikipron	-	-
kuimbekuéra	kʷiᵐbekʷeɾa	KIBEKERA	wikipron	-	-
kupyju	kupɨᵈju	KUPIYU	wikipron	-	-
kure	kuɾe	KURE	wikipron	-	-
kurekuéra	kuɾekʷeɾa	KUREKERA	wikipron	-	-
kururu	kuɾuɾu	KURURU	wikipron	-	-
kuña	kũɲã	KN	wikipron	-	-
kuñanguéra	kũɲãŋʷeɾa	KNNERA	wikipron	-	-
kuñataĩ	kũɲãtaĩ	KNTA	wikipron	-	-
kuñataĩnguéra	kũɲãtaĩŋʷeɾa	KNTANERA	wikipron	-	-
kytĩ	kɨtĩ	KIT	wikipron	-	-
mandyju	maⁿdɨᵈju	MADIYU	wikipron	-	-
marandukuaaty	maɾaⁿdukwaatɨ	MARADUKWAATI	wikipron	-	-
mayma	maɨma	MAIMA	wikipron	-	-
mba'e	ᵐbaʔe	BAHE	wikipron	-	-
mba'épa	ᵐbaʔepa	BAHEPA	wikipron	-	-
mbarakaja	ᵐbaɾakad͡ʒa	BARAKASA	wikipron	-	-
mbarakajakuéra	ᵐbaɾakad͡ʒakʷeɾa	BARAKASAKERA	wikipron	-	-
mbo'e	ᵐboʔe	BOHE	wikipron	-	-
mbo'ehao	ᵐboʔehao	BOHEHAO	wikipron	-	-
mbo'ehaokuéra	ᵐboʔehaokʷeɾa	BOHEHAOKERA	wikipron	-	-
mbo'eharakuéra	ᵐboʔehaɾakʷeɾa	BOHEHARAKERA	wikipron	-	-
mbo'ehára	ᵐboʔehaɾa	BOHEHARA	wikipron	-	-
mbo'ehára	ᵐbɔʔɛhaɾa	BOHEHARA	wikipron	-	-
mbohéra	ᵐboxeɾa	BOKERA	wikipron	-	-
mboy	ᵐboɨ	BOI	wikipron	-	-
mbyja	ᵐbɨᵈja	BIYA	wikipron	-	-
mbyky	ᵐbɨkɨ	BIKI	wikipron	-	-
michĩ	mĩɕ̃ĩ	MS	wikipron	-	-
mombyñe'ẽporu	mɔᵐbɨɲɛʔɛ̃pɔɾu	MOBINEHEPORU	wikipron	-	-
mopu'ã	mõp̃ũʔã	MPH	wikipron	-	-
Méhiko	mehiko	MEHIKO	wikipron	-	-
nahániri	nahaniɾi	NAHANIRI	wikipron	-	-
ndaje	ⁿdaᵈje	DAYE	wikipron	-	-
nde	nde	NDE	wikipron	-	-
okambúva	okaᵐbuʋa	OKABUWA	wikipron	-	-
opy	opɨ	OPI	wikipron	-	-
ore	oɾe	ORE	wikipron	-	-
oréve	oɾeʋe	OREWE	wikipron	-	-
pakova	pakoʋa	PAKOWA	wikipron	-	-
pakovakuéra	pakoʋakʷeɾa	PAKOWAKERA	wikipron	-	-
Paraguay	paɾawaɨ	PARAWAI	wikipron	-	-
Paraguái	paɾawai	PARAWAI	wikipron	-	-
peẽ	peẽ	PE	wikipron	-	-
peẽme	peẽme	PEME	wikipron	-	-
Pindoráma	piⁿdoɾama	PIDORAMA	wikipron	-	-
pira	piɾa	PIRA	wikipron	-	-
pirakuaaty	piɾakwaatɨ	PIRAKWAATI	wikipron	-	-
pirakuéra	piɾakʷeɾa	PIRAKERA	wikipron	-	-
pirapire	piɾapiɾe	PIRAPIRE	wikipron	-	-
po	po	PO	wikipron	-	-
po'o	poʔo	POHO	wikipron	-	-
pokuéra	pokʷeɾa	POKERA	wikipron	-	-
porã	põɾã	PR	wikipron	-	-
poyvi	poɨʋi	POIWI	wikipron	-	-
pu	pu	PU	wikipron	-	-
puku	puku	PUKU	wikipron	-	-
pukuéra	pukʷeɾa	PUKERA	wikipron	-	-
py	pɨ	PI	wikipron	-	-
pyahu	pɨahu	PIAHU	wikipron	-	-
pykuéra	pɨkʷeɾa	PIKERA	wikipron	-	-
pytyvõ	pɨtɨʋõ	PITIW	wikipron	-	-
pytyvõ	p̃ɨ̃t̃ɨ̃ʋ̃õ	PITIW	wikipron	-	-
rague	ɾaɰʷe	RAWE	wikipron	-	-
rape	ɾape	RAPE	wikipron	-	-
retãvore	ɾ̃ẽt̃ãʋ̃õɾe	RTWRE	wikipron	-	-
ro'y	ɾoʔɨ	ROHI	wikipron	-	-
ryguasu	ɾɨwasu	RIWASU	wikipron	-	-
ryguasukuéra	ɾɨwasukʷeɾa	RIWASUKERA	wikipron	-	-
réra	ɾeɾa	RERA	wikipron	-	-
sa'y	saʔɨ	SAHI	wikipron	-	-
sa'yju	saʔɨdʒu	SAHIDSU	wikipron	-	-
sa'ykuéra	saʔɨkʷeɾa	SAHIKERA	wikipron	-	-
saraki	saɾaki	SARAKI	wikipron	-	-
sevoikuéra	seʋoikʷeɾa	SEWOIKERA	wikipron	-	-
sevói	seʋoi	SEWOI	wikipron	-	-
soro	soɾo	SORO	wikipron	-	-
sỹi	sɨ̃ĩ	SI	wikipron	-	-
tague	taɰʷe	TAWE	wikipron	-	-
takamby	takaᵐbɨ	TAKABI	wikipron	-	-
tape	tape	TAPE	wikipron	-	-
tapiti	tapiti	TAPITI	wikipron	-	-
tapitikuéra	tapitikʷeɾa	TAPITIKERA	wikipron	-	-
tapo	tapo	TAPO	wikipron	-	-
tavakuéra	taʋakʷeɾa	TAWAKERA	wikipron	-	-
teko	teko	TEKO	wikipron	-	-
tembe'y	tembeʔɨ̃	TEMBEHI	wikipron	-	-
