Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
(ʔille)_paah	ʔillepaːh	HILLEPAH	wold	FIGHT	-
(ʕanɗe)_ʔí=t’aarama	ʕanɗeʔítʼaːrama	HANDEHTARAMA	wold	WATERFALL	-
=(i)m	im	IM	wold	OR	-
=ma	ma	MA	wold	AT	-
=na	na	NA	wold	MORE	-
=pa	pa	PA	wold	AND	-
=sa	sa	SA	wold	THAT	-
=si	si	SI	wold	SAME	-
=tta	tta	TTA	wold	WITH	-
caqqale	caqqale	KAKKALE	wold	GLUE	-
ceeqte	ceːqte	KEKTE	wold	BLOOD	-
cifoote	cifoːte	KIPOTE	wold	RING	-
cikaɗ	cikaɗ	KIKAD	wold	LOVE	-
cikkire	cikkire	KIKKIRE	wold	RAZOR	-
cimmanakko	cimmanakko	KIMMANAKKO	wold	UGLY	-
cimmi	cimmi	KIMMI	wold	DIVE	-
cinko	cinko	KINKO	wold	MOSQUITO	-
coqqollo	coqqollo	KOKKOLLO	wold	MUD	-
cucuwe	cucuwe	KUKUWE	wold	FOWL	-
cucuwitte	cucuwitte	KUKUWITTE	wold	HEN	-
cucuwitto	cucuwitto	KUKUWITTO	wold	ROOSTER	-
fak’k’aɗ	fakʼkʼaɗ	PAKKAD	wold	PERMIT	-
far	far	PAR	wold	DIE	-
farto	farto	PARTO	wold	MULE	-
fat	fat	PAT	wold	VOMIT	-
feet’	feːtʼ	PET	wold	PEEL	-
filme	filme	PILME	wold	TELEVISION	-
filše	filʃe	PILSE	wold	BLISTER	-
fokolho	fokolho	POKOLHO	wold	VALLEY	-
foola	foːla	POLA	wold	SHARP	-
fut	fut	PUT	wold	PULL OFF (SKIN)	-
fuʔ	fuʔ	PUH	wold	GROW	-
haafakko	haːfakko	HAPAKKO	wold	THIN (OF SHAPE OF OBJECT)	-
haantaɗɗe	haːntaɗɗe	HANTADDE	wold	WEDDING	-
haarre	haːrre	HARRE	wold	DONKEY	-
haay	haːy	HAU	wold	NO	-
haaš	haːʃ	HAS	wold	TELL	-
haaše	haːʃe	HASE	wold	TEA	-
hafurko	hafurko	HAPURKO	wold	AIR	-
hak’e	hakʼe	HAKE	wold	TATTOO	-
halho	halho	HALHO	wold	HUSBAND	-
hallikko	hallikko	HALLIKKO	wold	SUN	-
hammakko	hammakko	HAMMAKKO	wold	LIGHT (RADIATION)	-
hamo	hamo	HAMO	wold	COCKROACH	-
hankaraaro	hankaraːro	HANKARARO	wold	CENTIPEDE	-
hantu	hantu	HANTU	wold	NOW	-
hantu_hantu	hantuhantu	HANTUHANTU	wold	IMMEDIATELY	-
hapaappe	hapaːppe	HAPAPPE	wold	LIZARD	-
harkiš	harkiʃ	HARKIS	wold	DESTROY	-
harɠo	harɠo	HARO	wold	ARM	-
hatap	hatap	HATAP	wold	THROW	-
hawle	hawle	HAWLE	wold	GRAVE	-
hawwaɗ	hawwaɗ	HAWWAD	wold	PUT	-
hawɗatto	hawɗatto	HAWDATTO	wold	TAILOR	-
hawɗatto_sikkete	hawɗattosikkete	HAWDATTOSIKKETE	wold	POTTER	-
hawɗatto_sipilete	hawɗattosipilete	HAWDATTOSIPILETE	wold	BLACKSMITH	-
hayho	hayho	HAUHO	wold	STRANGER	-
haysa	haysa	HAUSA	wold	HERE	-
hayto	hayto	HAUTO	wold	PLACE (POSITION)	-
hayye	hayye	HAUUE	wold	WAGES	-
hašaša	haʃaʃa	HASASA	wold	ROUGH	-
hašitto	haʃitto	HASITTO	wold	SHOULDER	-
haɗɗi	haɗɗi	HADDI	wold	CLIMB	-
haʕ	haʕ	HAH	wold	WAKE UP	-
haʕampakko	haʕampakko	HAHAMPAKKO	wold	STRONG	-
haʕis	haʕis	HAHIS	wold	LIFT	-
heet’a	heːtʼa	HETA	wold	HEALTHY	-
her	her	HER	wold	RUN	-
hikka	hikka	HIKKA	wold	PLAY	-
hilmaye	hilmaye	HILMAUE	wold	TICK	-
hinaʕatte	hinaʕatte	HINAHATTE	wold	NAKED	-
hiske	hiske	HISKE	wold	WOMAN	-
hitte	hitte	HITTE	wold	BLOOD VESSEL	-
hiyakko	hiyakko	HIUAKKO	wold	ORPHAN	-
hiyatte	hiyatte	HIUATTE	wold	WIDOW	-
hiɠ	hiɠ	HI	wold	RETREAT	-
hiʔ	hiʔ	HIH	wold	SEE	-
hiʔas	hiʔas	HIHAS	wold	SHOW	-
ho_šapami	hoʃapami	HOSAPAMI	wold	PRISONER	-
hok	hok	HOK	wold	LIGHT (IGNITE)	-
hokki	hokki	HOKKI	wold	LIGHT (IGNITE)	-
hol	hol	HOL	wold	TURN AROUND	-
holas	holas	HOLAS	wold	GIVE BACK	-
hoolo	hoːlo	HOLO	wold	WING	-
hoorees	hoːreːs	HORES	wold	SNORE	-
hopanto	hopanto	HOPANTO	wold	FOOTPRINT	-
hoqqaši	hoqqaʃi	HOKKASI	wold	FULL	-
horro	horro	HORRO	wold	FOREST	-
hotol	hotol	HOTOL	wold	SHIVER	-
hoɗoɗo	hoɗoɗo	HODODO	wold	PIPE	-
hoʕʕi	hoʕʕi	HOHHI	wold	POUR	-
hul	hul	HUL	wold	DROWN	-
hule	hule	HULE	wold	SERVANT	-
hulli	hulli	HULLI	wold	ENTER	-
humto	humto	HUMTO	wold	END (OF TIME)	-
hune	hune	HUNE	wold	YOU	-
hunka	hunka	HUNKA	wold	WHICH	-
hunɗurte	hunɗurte	HUNDURTE	wold	NAVEL	-
hupe	hupe	HUPE	wold	TURTLE	-
huske	huske	HUSKE	wold	STAR	-
huɓa	huɓa	HUBA	wold	OTHER	-
huɗan	huɗan	HUDAN	wold	TEN	-
huɗanko_lakke	huɗankolakke	HUDANKOLAKKE	wold	TWENTY	-
huɗɗa=pa_lakki	huɗɗapalakki	HUDDAPALAKKI	wold	TWELVE	-
huɗɗa=pa_toʔon	huɗɗapatoʔon	HUDDAPATOHON	wold	ELEVEN	-
huɗɗa=pa_xupin	huɗɗapaxupin	HUDDAPAKUPIN	wold	FIFTEEN	-
háš_pay	háʃpay	HSPAU	wold	WHISPER	-
kaacca	kaːcca	KAKKA	wold	AIRPLANE	-
kaacce	kaːcce	KAKKE	wold	WHEAT	-
kaakka	kaːkka	KAKKA	wold	GRANDMOTHER	-
kaakuy	kaːkuy	KAKUU	wold	CARRY ON SHOULDER	-
kaale	kaːle	KALE	wold	SPOON	-
kaalo	kaːlo	KALO	wold	TUESDAY	-
kaalo=na_ʕila_haʕini	kaːlonaʕilahaʕini	KALONAHILAHAHINI	wold	WEDNESDAY	-
kaanke	kaːnke	KANKE	wold	HORSE	-
kaankitte	kaːnkitte	KANKITTE	wold	MARE	-
kaankitto	kaːnkitto	KANKITTO	wold	STALLION	-
kaare_hokete	kaːrehokete	KAREHOKETE	wold	FIREWOOD	-
kaarko	kaːrko	KARKO	wold	WOOD	-
kaarne	kaːrne	KARNE	wold	BIRTH CERTIFICATE	-
kaasse	kaːsse	KASSE	wold	SHADE	-
kaat	kaːt	KAT	wold	BETRAY	-
kaattakko	kaːttakko	KATTAKKO	wold	HORN (ANATOMY)	-
kaašanko	kaːʃanko	KASANKO	wold	SHIELD	-
kafko	kafko	KAPKO	wold	RELATIVES	-
kala	kala	KALA	wold	BEHIND	-
kala_ʔašša	kalaʔaʃʃa	KALAHASSA	wold	FOLLOW	-
kallapte	kallapte	KALLAPTE	wold	AFTERNOON	-
kalse	kalse	KALSE	wold	STOCKING	-
kamaʕe	kamaʕe	KAMAHE	wold	MAGIC	-
kamaʕolatte	kamaʕolatte	KAMAHOLATTE	wold	MAGICIAN	-
kampeello	kampeːllo	KAMPELLO	wold	THATCH	-
kanaʕe	kanaʕe	KANAHE	wold	PALM OF HAND	-
kanta	kanta	KANTA	wold	NEIGHBOUR	-
kante	kante	KANTE	wold	UDDER	-
kantul	kantul	KANTUL	wold	MOVE	-
kapa	kapa	KAPA	wold	BESIDE	-
kapare	kapare	KAPARE	wold	FARMER	-
kapte	kapte	KAPTE	wold	DITCH	-
karamela	karamela	KARAMELA	wold	CANDY	-
karkarko	karkarko	KARKARKO	wold	BOAR (MALE PIG)	-
karmakataale	karmakataːle	KARMAKATALE	wold	BUTTERFLY	-
karmitto	karmitto	KARMITTO	wold	BRAVE	-
karmo	karmo	KARMO	wold	LION	-
karo	karo	KARO	wold	SIDE	-
karratto	karratto	KARRATTO	wold	SQUIRREL	-
karrawo	karrawo	KARRAWO	wold	GRASSHOPPER	-
kartam	kartam	KARTAM	wold	READY	-
kartanna	kartanna	KARTANNA	wold	WIDE	-
karʕitto	karʕitto	KARHITTO	wold	STOMACH	-
kase	kase	KASE	wold	BALL	-
kaspo	kaspo	KASPO	wold	BARLEY	-
kassaɗ	kassaɗ	KASSAD	wold	ASK (INQUIRE)	-
kasse	kasse	KASSE	wold	SPIDER	-
katees	kateːs	KATES	wold	PILE UP	-
