Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'ai	ai	AI	abvd	EAT	abvd_37_toeat_1
'aihue	aihue	AIHUE	abvd	STEAL	abvd_73_tosteal_5
'aka	aka	AKA	abvd	LAUGH	abvd_33_tolaugh_7
'au	au	AU	abvd	SWIM	abvd_9_toswim_5
'ehu	ehu	EHU	abvd	DUST	abvd_11_dust_1
'ekahi	ekahi	EKAHI	abvd	ONE	abvd_197_one_41
'ele'ele	eleele	ELEELE	abvd	BLACK	abvd_147_black_5
'eli	eli	ELI	abvd	DIG	abvd_90_todig_1
'eono	eono	EONO	abvd	SIX	abvd_202_six_1
'i'o	io	IO	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
'ike	ike	IKE	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_12
'ili	ili	ILI	abvd	SKIN	abvd_12_skin_1
'ino	ino	INO	abvd	BAD OR EVIL	abvd_165_badevil_9
'iole	iole	IOLE	abvd	RAT	abvd_102_rat_12
'oe	oe	OE	abvd	THOU	abvd_183_thou_1
'ohu	ohu	OHU	abvd	FOG	abvd_132_fog_1
'oi	oi	OI	abvd	SHARP	abvd_81_sharp_14
'oiā'i'o	oiio	OIIO	abvd	CORRECT (RIGHT)	-
'oki	oki	OKI	abvd	CUT OR HACK	abvd_78_tocuthack_9
'ole	ole	OLE	abvd	NO OR NOT	abvd_195_nonot_11
'oukou	oukou	OUKOU	abvd	YOU	abvd_186_you_16
'uku	uku	UKU	abvd	LOUSE	abvd_108_louse_1
'ula	ula	ULA	abvd	RED	abvd_149_red_13
'umi	umi	UMI	abvd	TEN	abvd_206_ten_11
'uwī	uw	UW	abvd	SQUEEZE	-
'ākau	kau	KAU	abvd	RIGHT	abvd_3_right_5
'ēheu	heu	HEU	abvd	WING	abvd_100_wing_1
'īlio	lio	LIO	abvd	DOG	abvd_96_dog_7
'ōlelo	lelo	LELO	abvd	SAY	abvd_64_tosay_11
'ōpū	p	P	abvd	BELLY	abvd_14_belly_2
`a`ahu_kaua	`a/a`a/ahukaua	AAAAHUKAUA	wold	ARMOUR	-
`a`ala	`a/a`a/ala	AAAALA	wold	FRAGRANT	-
`a`ole	`a/a`o/ole	AAOOLE	wold	NO	-
