Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a:sa	asa	ASA	abvd	NAME	abvd_63_name_1
a:we	awe	AWE	abvd	PLANT (SOMETHING)	-
ae	ae	AE	abvd	GRASS	-
afa	afa	APA	abvd	HOW	-
ai	ai	AI	abvd	I	abvd_182_i_1
aka	aka	AKA	abvd	BRANCH	abvd_113_branch_1
arere	arere	ARERE	abvd	WORM	-
arim	arim	ARIM	abvd	LONG	-
atof	atof	ATOP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
au	au	AU	abvd	STICK	abvd_79_stickwood_1
ba:t	bat	BAT	abvd	CLOUD	abvd_131_cloud_63
bal	bal	BAL	abvd	BELLY	abvd_14_belly_18
balbalu-	balbalu	BALBALU	abvd	EAR	abvd_43_ear_50
bau	bau	BAU	abvd	FOG	abvd_132_fog_57
bel	bel	BEL	abvd	NO OR NOT	abvd_195_nonot_108
bisbis	bisbis	BISBIS	abvd	WET	abvd_141_wet_16
biŋ	bi	BI	abvd	DAY (NOT NIGHT)	-
boŋ	bo	BO	abvd	CRY	-
bulam	bulam	BULAM	abvd	RED	-
buŋ	bu	BU	abvd	CORRECT (RIGHT)	-
buŋa	bua	BUA	abvd	BELLY	-
da:n	dan	DAN	abvd	WATER	abvd_122_water_1
didiak	didiak	DIDIAK	abvd	BLOOD	-
dok	dok	DOK	abvd	BIG	-
en	en	EN	abvd	EAT	abvd_37_toeat_1
eri	eri	ERI	abvd	ALL	-
ete	ete	ETE	abvd	LIVER	abvd_17_liver_1
fa miteni	famiteni	PAMITENI	abvd	KILL	abvd_74_tokill_2
fa:t	fat	PAT	abvd	STONE	abvd_120_stone_1
fa:ta	fata	PATA	abvd	NEAR	-
fefaim	fefaim	PEPAIM	abvd	WORK (ACTIVITY)	abvd_83_towork_45
fefel	fefel	PEPEL	abvd	ROPE	-
fel	fel	PEL	abvd	HOUSE	abvd_61_house_14
fen	fen	PEN	abvd	CLIMB	abvd_172_toclimb_1
fes	fes	PES	abvd	WALK	abvd_5_towalk_8
fifin	fifin	PIPIN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
fil	fil	PIL	abvd	BUY	abvd_91_tobuy_1
filis	filis	PILIS	abvd	PAINFUL OR SICK	-
fira	fira	PIRA	abvd	FRUIT	abvd_117_fruit_30
fo	fo	PO	abvd	SKIN	abvd_12_skin_13
fun	fun	PUN	abvd	ALL	-
funil	funil	PUNIL	abvd	MOON	-
fus	fus	PUS	abvd	SHOOT	abvd_70_toshoot_28
ge	ge	GE	abvd	THIS	abvd_177_this_6
gina	gina	GINA	abvd	NEAR	-
i	i	I	abvd	HE OR SHE	abvd_184_heshe_1
ia:t	iat	IAT	abvd	ABOVE	abvd_175_above_1
ibis	ibis	IBIS	abvd	SPIT	abvd_36_tospit_25
if	if	IP	abvd	FIRE	abvd_143_fire_1
ifaf	ifaf	IPAP	abvd	BELOW OR UNDER	abvd_176_below_1
ifet	ifet	IPET	abvd	FOUR	abvd_200_four_1
imin	imin	IMIN	abvd	DRINK	abvd_40_todrink_1
iŋ	i	I	abvd	SWELL	abvd_87_toswell_56
ka:kes	kakes	KAKES	abvd	SWIM	abvd_9_toswim_9
kais	kais	KAIS	abvd	LEFT	abvd_2_left_15
kam	kam	KAM	abvd	YOU	abvd_186_you_1
kasap	kasap	KASAP	abvd	SEA	-
katalu	katalu	KATALU	abvd	EGG	abvd_98_egg_1
kausi	kausi	KAUSI	abvd	GOOD	-
keke	keke	KEKE	abvd	FOOT OR LEG	abvd_4_legfoot_1
kele	kele	KELE	abvd	THINK	-
keltot	keltot	KELTOT	abvd	STAR	abvd_130_star_31
kemem	kemem	KEMEM	abvd	WE	abvd_185_we_2
keremet	keremet	KEREMET	abvd	TONGUE	abvd_32_tongue_7
kerer	kerer	KERER	abvd	WE	-
kif	kif	KIP	abvd	WIND	-
kife	kife	KIPE	abvd	BLOW (OF WIND)	abvd_137_toblow_72
kin	kin	KIN	abvd	SAND	abvd_121_sand_1
kis	kis	KIS	abvd	SIT	abvd_51_tosit_20
kok	kok	KOK	abvd	FISH	-
kortiŋ	korti	KORTI	abvd	FAT (ORGANIC SUBSTANCE)	-
kosigil	kosigil	KOSIGIL	abvd	HOLD	-
koŋoŋo-	kooo	KOOO	abvd	NECK	abvd_25_neck_25
kukais	kukais	KUKAIS	abvd	SCRATCH	abvd_77_toscratch_5
kum	kum	KUM	abvd	TAIL	abvd_105_tail_28
kut	kut	KUT	abvd	RAT	abvd_102_rat_3
la	la	LA	abvd	COME	-
lik	lik	LIK	abvd	SMALL	abvd_152_small_66
lo	lo	LO	abvd	BUY	-
luk	luk	LUK	abvd	LOUSE	-
lumbat	lumbat	LUMBAT	abvd	SKY	abvd_128_sky_39
lut	lut	LUT	abvd	FALL	abvd_95_tofall_63
ma	ma	MA	abvd	AND	abvd_192_and_2
ma:pek	mapek	MAPEK	abvd	ROTTEN	-
ma:t	mat	MAT	abvd	SLEEP	abvd_48_tosleep_1
ma:tet	matet	MATET	abvd	DIG	-
ma:tuk	matuk	MATUK	abvd	HUSBAND	abvd_57_husband_36
man	man	MAN	abvd	BIRD	abvd_97_bird_1
masun	masun	MASUN	abvd	SLEEP	abvd_48_tosleep_1
mata'm-fay-im	matamfayim	MATAMPAUIM	abvd	YEAR	-
mata-	mata	MATA	abvd	EYE	abvd_45_eye_1
maŋ	ma	MA	abvd	DRY	abvd_140_dry_1
meketket	meketket	MEKETKET	abvd	BLACK	abvd_147_black_1
met	met	MET	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mir	mir	MIR	abvd	COLD	abvd_139_cold_1
mok	mok	MOK	abvd	FOREST	abvd_127_woodsforest_51
momos	momos	MOMOS	abvd	MOSQUITO	abvd_109_mosquito_97
mukerau	mukerau	MUKERAU	abvd	GREEN	abvd_151_green_13
mura:k	murak	MURAK	abvd	WET	-
murmur	murmur	MURMUR	abvd	WHITE	-
