Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abo	abɔ	ABO	wikipron	-	-
abonowanje	abɔnɔvanjɛ	ABONOBANYE	wikipron	-	-
abonować	abɔnɔwat͡ʃ	ABONOWAS	wikipron	-	-
abonujemy	abɔnujɛmɨ	ABONUYEMI	wikipron	-	-
abortować	abɔʀtɔwat͡ʃ	ABORTOWAS	wikipron	-	-
Africe	afʀit͡sɛ	APRISE	wikipron	-	-
Afrika	afʀika	APRIKA	wikipron	-	-
Afriki	afʀiki	APRIKI	wikipron	-	-
Afriku	afʀiku	APRIKU	wikipron	-	-
Afričan	afʀit͡ʃan	APRISAN	wikipron	-	-
Afričanka	afʀit͡ʃanka	APRISANKA	wikipron	-	-
akuzatiw	akuzatif	AKUSATIP	wikipron	-	-
Albanska	albanska	ALBANSKA	wikipron	-	-
awto	au̯tɔ	AUTO	wikipron	-	-
awtor	awtor	AWTOR	wikipron	-	-
baba	baba	BABA	wikipron	-	-
bamborak	bambɔʀak	BAMBORAK	wikipron	-	-
bamborka	bambɔʀka	BAMBORKA	wikipron	-	-
baćon	bat͡ʃɔn	BASON	wikipron	-	-
biće	bit͡ʃɛ	BISE	wikipron	-	-
bohaty	bɔɦatɨ	BOHATI	wikipron	-	-
boran	bɔʀan	BORAN	wikipron	-	-
bratr	bʀatʀ	BRATR	wikipron	-	-
brjuch	brʲux	BRUK	wikipron	-	-
brodaty	bʀɔdatɨ	BRODATI	wikipron	-	-
brusnica	bʀusnit͡sa	BRUSNISA	wikipron	-	-
budu	budu	BUDU	wikipron	-	-
Budyšin	budɨʃin	BUDISIN	wikipron	-	-
budź	but͡ʃ	BUS	wikipron	-	-
budźe	bud͡ʒɛ	BUSE	wikipron	-	-
budźeja	bud͡ʒɛja	BUSEYA	wikipron	-	-
budźemoj	bud͡ʒɛmɔj	BUSEMOY	wikipron	-	-
budźemy	bud͡ʒɛmɨ	BUSEMI	wikipron	-	-
budźetaj	bud͡ʒɛtaj	BUSETAY	wikipron	-	-
