Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aha	ʔaɦa	HAHA	wikipron	-	-
ahu	ʔaɦu	HAHU	wikipron	-	-
akhanabee	ʔakʰanabeʔe	HAKANABEHE	wikipron	-	-
akho	ʔakʰo	HAKO	wikipron	-	-
akhoko	ʔakʰoko	HAKOKO	wikipron	-	-
akhwa	ʔakʷʰa	HAKA	wikipron	-	-
akhwako	ʔakʷʰako	HAKAKO	wikipron	-	-
akhwitiko	ʔakʷʰitiko	HAKITIKO	wikipron	-	-
aku	ʔaku	HAKU	wikipron	-	-
akwaza	ʔakʷadza	HAKADSA	wikipron	-	-
akwia	ʔakʷiʔa	HAKIHA	wikipron	-	-
aphukwa	ʔapʰukʷa	HAPUKA	wikipron	-	-
asatchiko	ʔasatʃʰiko	HASATSIKO	wikipron	-	-
ase	ʔase	HASE	wikipron	-	-
aso	ʔaso	HASO	wikipron	-	-
asuko	ʔasuko	HASUKO	wikipron	-	-
athama	ʔatʰama	HATAMA	wikipron	-	-
ati	ʔati	HATI	wikipron	-	-
atibii	ʔatibiʔi	HATIBIHI	wikipron	-	-
atiko	ʔatiko	HATIKO	wikipron	-	-
awanika	ʔawanika	HAWANIKA	wikipron	-	-
awanikako	ʔawanikako	HAWANIKAKO	wikipron	-	-
awati	ʔawati	HAWATI	wikipron	-	-
bami	bami	BAMI	wikipron	-	-
basluko	baɬuko	BALUKO	wikipron	-	-
Bb	pʼ	P	wikipron	-	-
bee	beʔe	BEHE	wikipron	-	-
beena	beʔena	BEHENA	wikipron	-	-
beggahuko	bekxʼaɦuko	BEKKAHUKO	wikipron	-	-
beggawuko	bekxʼauko	BEKKAUKO	wikipron	-	-
bii	biʔi	BIHI	wikipron	-	-
binxo	biŋ͜ǁo	BINLO	wikipron	-	-
bisoko	bisoko	BISOKO	wikipron	-	-
bone	bone	BONE	wikipron	-	-
botcho	botʃʰo	BOTSO	wikipron	-	-
bothâno	botʰaːno	BOTANO	wikipron	-	-
bôko	boːko	BOKO	wikipron	-	-
Cc	ᵑǀ͡ʔ	T	wikipron	-	-
ccama	ŋ͜ǀˀama	NTAMA	wikipron	-	-
ccamazziko	ŋ͜ǀˀamatsʼiko	NTAMATSIKO	wikipron	-	-
ccara	ŋ͜ǀˀaɺa	NTARA	wikipron	-	-
ccoso	ŋ͜ǀˀoso	NTOSO	wikipron	-	-
ccutugguko	ŋ͜ǀˀutukxʼuko	NTUTUKKUKO	wikipron	-	-
Ch	ᵏǀʰ	T	wikipron	-	-
cheta	k͜ǀʰeta	KTETA	wikipron	-	-
chutiko	k͜ǀʰutiko	KTUTIKO	wikipron	-	-
chî	k͜ǀʰiː	KTI	wikipron	-	-
cinambo	k͜ǀinanpo	KTINANPO	wikipron	-	-
cutiko	k͜ǀutiko	KTUTIKO	wikipron	-	-
cî	k͜ǀiː	KTI	wikipron	-	-
Dd	tʼ	T	wikipron	-	-
Dl	c͜𝼆ʼ	K	wikipron	-	-
dlaggwa	cʎʼakxʷʼa	KAKKA	wikipron	-	-
dlomako	cʎʼomako	KOMAKO	wikipron	-	-
dlonkô	cʎʼonkʰoː	KONKO	wikipron	-	-
dlozo	cʎʼodzo	KODSO	wikipron	-	-
dlâe	cʎʼaːʔe	KAHE	wikipron	-	-
dongo	donko	DONKO	wikipron	-	-
dongobee	donkobeʔe	DONKOBEHE	wikipron	-	-
dongoko	donkoko	DONKOKO	wikipron	-	-
Dunduhina	duntuɦina	DUNTUHINA	wikipron	-	-
dunduhinebee	duntuɦinebeʔe	DUNTUHINEBEHE	wikipron	-	-
dungubii	dunkubiʔi	DUNKUBIHI	wikipron	-	-
epheme	ʔepʰeme	HEPEME	wikipron	-	-
ethebee	ʔetʰebeʔe	HETEBEHE	wikipron	-	-
etlhikwa	ʔec͜ʎ̥˔ʰikʷa	HEKIKA	wikipron	-	-
exekeke	ʔek͜ǁekeke	HEKLEKEKE	wikipron	-	-
fa	fa	PA	wikipron	-	-
gewedako	ɡewedako	GEWEDAKO	wikipron	-	-
Gg	k͜xʼ	KK	wikipron	-	-
Ggw	k͜xʷʼ	KK	wikipron	-	-
guringuri	ɡuɺinkuɺiko	GURINKURIKO	wikipron	-	-
habee	ɦabeʔe	HABEHE	wikipron	-	-
habii	ɦabiʔi	HABIHI	wikipron	-	-
hadlebee	ɦacʎʼebeʔe	HAKEBEHE	wikipron	-	-
hajjapitchi	ɦatʃʼapitʃʰi	HATSAPITSI	wikipron	-	-
haka	ɦaka	HAKA	wikipron	-	-
hako	ɦako	HAKO	wikipron	-	-
hama	ɦama	HAMA	wikipron	-	-
hamana	ɦamana	HAMANA	wikipron	-	-
hantâ	ɦantʰaː	HANTA	wikipron	-	-
haqqako	ɦaŋ͜ǃˀako	HANTAKO	wikipron	-	-
hatchâ	ɦatʃʰaː	HATSA	wikipron	-	-
hawâ	ɦawaː	HAWA	wikipron	-	-
