Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ai	ai	AI	abvd	AT	abvd_173_at_12
aia	aia	AIA	abvd	THUNDER	abvd_134_thunder_76
aikina	aikina	AIKINA	abvd	NO OR NOT	abvd_195_nonot_1
ainai	ainai	AINAI	abvd	ABOVE	abvd_175_above_1
ala	ala	ALA	abvd	BURN	abvd_144_toburn_17
alu	alu	ALU	abvd	SIT	abvd_51_tosit_159
ama-na	amana	AMANA	abvd	FATHER	abvd_60_father_1
ani	ani	ANI	abvd	EAT	abvd_37_toeat_1
aoi	aoi	AOI	abvd	EGG	abvd_98_egg_1
aonai	aonai	AONAI	abvd	IN	abvd_174_ininside_1
apa	apa	APA	abvd	HUNT	-
api	api	API	abvd	HOLD	abvd_89_tohold_23
ara-na	arana	ARANA	abvd	NAME	abvd_63_name_1
arawana	arawana	ARAWANA	abvd	HUSBAND	abvd_57_husband_2
ariɣi oma	ariɣioma	ARIGIOMA	abvd	WHEN	-
ariɣinai	ariɣinai	ARIGINAI	abvd	WHERE	-
au	au	AU	abvd	MALE PERSON	abvd_54_manmale_22
ava	ava	ABA	abvd	OPEN	-
aɣe-na	aɣena	AGENA	abvd	FOOT OR LEG	abvd_4_legfoot_1
aɣi	aɣi	AGI	abvd	CRY	abvd_34_tocry_1
e	e	E	abvd	AND	abvd_192_and_8
ere	ere	ERE	abvd	IF	-
garo	garo	GARO	abvd	NECK	abvd_25_neck_30
gelema	gelema	GELEMA	abvd	SNAKE	-
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
iavuiavu	iavuiavu	IABUIABU	abvd	WARM	abvd_138_warm_21
iguna	iguna	IGUNA	abvd	TAIL	abvd_105_tail_1
ila	ila	ILA	abvd	THEY	abvd_187_they_1
ilipailipa	ilipailipa	ILIPAILIPA	abvd	THIN	-
iliɣa	iliɣa	ILIGA	abvd	BONE	abvd_15_bone_40
iloa	iloa	ILOA	abvd	CLOUD	abvd_131_cloud_110
imaima	imaima	IMAIMA	abvd	FIVE	abvd_201_five_1
ina-na	inana	INANA	abvd	MOTHER	abvd_59_mother_1
inavuna	inavuna	INABUNA	abvd	HUNDRED	-
