Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aa	aː	A	wikipron	-	-
aama	aːma	AMA	wikipron	-	-
aare	aːɾɛ	ARE	wikipron	-	-
aarede	aːɾɛdɛ	AREDE	wikipron	-	-
abaikɨte	abai̯kɯtɛ	ABAIKUTE	wikipron	-	-
afai	aɸai̯	APAI	wikipron	-	-
aiyɨ	ai̯jɯ	AIYU	wikipron	-	-
aizɨde	ai̯θɯdɛ	AITUDE	wikipron	-	-
akaido	akai̯dɔ	AKAIDO	wikipron	-	-
akatate	akatatɛ	AKATATE	wikipron	-	-
ame	amɛ	AME	wikipron	-	-
amena	amɛna	AMENA	wikipron	-	-
ana	ana	ANA	wikipron	-	-
anafe	anaɸɛ	ANAPE	wikipron	-	-
anafeko	anaɸɛkɔ	ANAPEKO	wikipron	-	-
ananeko	ananɛkɔ	ANANEKO	wikipron	-	-
arɨ	aɾɯ	ARU	wikipron	-	-
atava	ataβa	ATABA	wikipron	-	-
aɨ	aɯ̯	AU	wikipron	-	-
aɨfɨ	aɯ̯ɸɯ	AUPU	wikipron	-	-
aɨkɨ	aɯ̯kɯ	AUKU	wikipron	-	-
baaɨde	baːɯ̯dɛ	BAUDE	wikipron	-	-
bainaño	bai̯naɲɔ	BAINANO	wikipron	-	-
bakɨta	bakɯta	BAKUTA	wikipron	-	-
beya	bɛd͡ʒa	BESA	wikipron	-	-
beyado	bɛd͡ʒadɔ	BESADO	wikipron	-	-
bite	bitɛ	BITE	wikipron	-	-
biya	bid͡ʒa	BISA	wikipron	-	-
biyama	bid͡ʒama	BISAMA	wikipron	-	-
bue	buwɛ	BUWE	wikipron	-	-
da	da	DA	wikipron	-	-
dae	daɛ	DAE	wikipron	-	-
daje	dahɛ	DAHE	wikipron	-	-
dakaño	dakaɲɔ	DAKANO	wikipron	-	-
dayu	dad͡ʒu	DASU	wikipron	-	-
dobe	dɔbɛ	DOBE	wikipron	-	-
dobede	dɔbɛdɛ	DOBEDE	wikipron	-	-
dobeño	dɔbɛɲɔ	DOBENO	wikipron	-	-
doboyi	dɔbɔd͡ʒi	DOBOSI	wikipron	-	-
duiko	dui̯kɔ	DUIKO	wikipron	-	-
dute	dutɛ	DUTE	wikipron	-	-
dutɨmɨe	dutɯmɯɰɛ	DUTUMUWE	wikipron	-	-
dɨo	dɯɰɔ	DUWO	wikipron	-	-
dɨokaɨ	dɯɰɔkaɯ̯	DUWOKAU	wikipron	-	-
dɨona	dɯɰɔna	DUWONA	wikipron	-	-
eede	ɛːdɛ	EDE	wikipron	-	-
efuaɨ	ɛɸuwaɯ̯	EPUWAU	wikipron	-	-
egaɨ	ɛɡaɯ̯	EGAU	wikipron	-	-
ei	ɛi̯	EI	wikipron	-	-
eikaño	ɛi̯kaɲɔ	EIKANO	wikipron	-	-
eimo	ɛi̯mɔ	EIMO	wikipron	-	-
eiño	ɛi̯ɲɔ	EINO	wikipron	-	-
ekade	ɛkadɛ	EKADE	wikipron	-	-
enaize	ɛnai̯θɛ	ENAITE	wikipron	-	-
enaizeño	ɛnai̯θɛɲɔ	ENAITENO	wikipron	-	-
eo	ɛɔ	EO	wikipron	-	-
epejo	ɛpɛhɔ	EPEHO	wikipron	-	-
ereño	ɛɾɛɲɔ	ERENO	wikipron	-	-
eruaɨde	ɛɾuwaɯ̯dɛ	ERUWAUDE	wikipron	-	-
eto	ɛtɔ	ETO	wikipron	-	-
etoño	ɛtɔɲɔ	ETONO	wikipron	-	-
evu	ɛβu	EBU	wikipron	-	-
evuño	ɛβuɲɔ	EBUNO	wikipron	-	-
fate	ɸatɛ	PATE	wikipron	-	-
faɨraɨ	ɸaɯ̯ɾaɯ̯	PAURAU	wikipron	-	-
faɨraɨma	ɸaɯ̯ɾaɯ̯ma	PAURAUMA	wikipron	-	-
faɨte	ɸaɯ̯tɛ	PAUTE	wikipron	-	-
