Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ade	ade	ADE	abvd	LIVER	abvd_17_liver_1
adjoo	adjoo	ADYOO	abvd	STICK	-
ado	ado	ADO	abvd	NO OR NOT	-
aee	aee	AEE	abvd	FIRE	-
ahé	ah	AH	abvd	PAINFUL OR SICK	-
ai	ai	AI	abvd	FIRE	abvd_143_fire_1
aidassee	aidassee	AIDASSEE	abvd	SEA	-
aidàssee	aidssee	AIDSSEE	abvd	SEA	-
ailea	ailea	AILEA	abvd	WATER	-
ailei	ailei	AILEI	abvd	WATER	-
aji	aji	AYI	abvd	RAIN (PRECIPITATION)	-
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
amo	amo	AMO	abvd	ROOT	abvd_115_root_3
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
anawuneekee	anawuneekee	ANAWUNEEKEE	abvd	CHILD	-
ané	an	AN	abvd	SAY	abvd_64_tosay_5?
ao	ao	AO	abvd	THOU	abvd_183_thou_1
aroo	aroo	AROO	abvd	EIGHT	abvd_204_eight_3
arru	arru	ARRU	abvd	EIGHT	abvd_204_eight_3
awu	awu	AWU	abvd	DUST	abvd_11_dust_1
aĵu	au	AU	abvd	STICK	abvd_79_stickwood_1
aŋa	aa	AA	abvd	OTHER	-
baibo	baibo	BAIBO	abvd	FOOT OR LEG	-
boke	boke	BOKE	abvd	OPEN	abvd_92_toopenuncover_1
bulla	bulla	BULLA	abvd	BLACK	-
buni	buni	BUNI	abvd	FALL	abvd_95_tofall_111
buru	buru	BURU	abvd	SMELL (PERCEIVE)	-
béla	bla	BLA	abvd	WALK	-
caboosoofoo	caboosoofoo	KABOOSOOPOO	abvd	BREAST	-
caboosoosoo	caboosoosoo	KABOOSOOSOO	abvd	BREAST	-
cairara	cairara	KAIRARA	abvd	YELLOW	-
calai	calai	KALAI	abvd	BRANCH	-
carow	carow	KAROW	abvd	TAIL	-
carrow	carrow	KARROW	abvd	TAIL	-
catoo	catoo	KATOO	abvd	HEAD	-
daba	daba	DABA	abvd	POUND	-
dahi	dahi	DAHI	abvd	SEA	abvd_124_sea_1
dari	dari	DARI	abvd	ROPE	abvd_65_rope_1
deka	deka	DEKA	abvd	COME	-
delu	delu	DELU	abvd	EGG	abvd_98_egg_1
deni	deni	DENI	abvd	BACK	abvd_13_back_18
dhue nguru	dhuenguru	DHUENGURU	abvd	TWENTY	-
di	di	DI	abvd	WE	abvd_185_we_9
do medi	domedi	DOMEDI	abvd	BLACK	abvd_147_black_1
do naʔa	donaʔa	DONAHA	abvd	SHARP	-
do pudi	dopudi	DOPUDI	abvd	WHITE	abvd_148_white_1
do wala	dowala	DOWALA	abvd	OTHER	-
do ɓela	doɓela	DOBELA	abvd	WIDE	abvd_159_wide_2
doleela	doleela	DOLEELA	abvd	BIRD	abvd_97_bird_1
dolila	dolila	DOLILA	abvd	BIRD	-
dowoʔo	dowoʔo	DOWOHO	abvd	ROTTEN	-
do|weka	doweka	DOWEKA	abvd	OLD	abvd_162_old_5?
do|wiʔu	dowiʔu	DOWIHU	abvd	NEW	abvd_163_new_1?
do|woapa	dowoapa	DOWOAPA	abvd	BAD OR EVIL	-
doɓoho	doɓoho	DOBOHO	abvd	SNAKE	-
doʔu	doʔu	DOHU	abvd	PERSON	abvd_53_personhumanbeing_1
du poodeo	dupoodeo	DUPOODEO	abvd	WHITE	-
duiʔ	duiʔ	DUIH	abvd	OLD	-
dulloo	dulloo	DULLOO	abvd	BELLY	abvd_14_belly_90
dunceala	dunceala	DUNKEALA	abvd	FOOT OR LEG	-
duneeäla	duneela	DUNEELA	abvd	FOOT OR LEG	-
dùloo	dloo	DLOO	abvd	BELLY	abvd_14_belly_90
ehi	ehi	EHI	abvd	ONE	abvd_197_one_1
ei	ei	EI	abvd	WATER	abvd_122_water_2?
eki	eki	EKI	abvd	FASTEN	abvd_66_totieupfasten_1?
emi	emi	EMI	abvd	HOLD	-
ena	ena	ENA	abvd	SIX	abvd_202_six_1
epa	epa	EPA	abvd	FOUR	abvd_200_four_1
eru	eru	ERU	abvd	EIGHT	abvd_204_eight_3
eta	eta	ETA	abvd	CUT OR HACK	-
gnaca	gnaca	GNAKA	abvd	DOG	-
gnaä	gna	GNA	abvd	EAT	-
guaca	guaca	GUAKA	abvd	DOG	-
gàrra	grra	GRRA	abvd	SALT	-
habu	habu	HABU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_7
hae	hae	HAE	abvd	CLIMB	abvd_172_toclimb_4
hariale	hariale	HARIALE	abvd	ALL	-
hedai	hedai	HEDAI	abvd	FLESH OR MEAT	-
hela	hela	HELA	abvd	PLANT (SOMETHING)	-
hepa	hepa	HEPA	abvd	SUCK	abvd_42_tosuck_1?
hero	hero	HERO	abvd	SALT	abvd_125_salt_3
heŋa	hea	HEA	abvd	BREATHE	abvd_28_tobreathe_2
