Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ad͡ʒ	adʒ	ADS	northeuralex	RIGHT	-
ajntɛɣ	ajntɛɣ	AYNTEG	northeuralex	THERE	-
ajs	ajs	AYS	northeuralex	THIS	-
ajstɛɣ	ajstɛɣ	AYSTEG	northeuralex	HERE	-
ajt͡sʰɛlɛl	ajtsʰɛlɛl	AYTSELEL	northeuralex	VISIT	-
ajɾɛl	ajɾɛl	AYREL	northeuralex	BURN (SOMETHING)	-
akʰaɣaɣ	akʰaɣaɣ	AKAGAG	northeuralex	ROOSTER	-
alikʰ	alikʰ	ALIK	northeuralex	WAVE	-
amanɛɣɛn	amanɛɣɛn	AMANEGEN	northeuralex	DISH	-
amaɾ	amaɾ	AMAR	northeuralex	SUMMER	-
amis	amis	AMIS	northeuralex	MONTH	-
amp	amp	AMP	northeuralex	CLOUD	-
amɛnuɾ	amɛnuɾ	AMENUR	northeuralex	EVERYWHERE	-
and͡zɾɛv	andzɾɛv	ANDSREB	northeuralex	RAIN (PRECIPITATION)	-
ankoɣin	ankoɣin	ANKOGIN	northeuralex	BED	-
ant͡sʰkʰ	antsʰkʰ	ANTSK	northeuralex	HOLE	-
anun	anun	ANUN	northeuralex	NAME	-
apuɾ	apuɾ	APUR	northeuralex	SOUP	-
apɾɛl	apɾɛl	APREL	northeuralex	BE ALIVE	-
astəɣ	astəɣ	ASTEG	northeuralex	STAR	-
atam	atam	ATAM	northeuralex	TOOTH	-
at͡ʃɛl	atʃɛl	ATSEL	northeuralex	GROW	-
azɡ	azg	ASG	northeuralex	PEOPLE	-
aɣd͡ʒikʰ	aɣdʒikʰ	AGDSIK	northeuralex	GIRL	-
aɣmuk	aɣmuk	AGMUK	northeuralex	NOISE	-
aɾad͡ʒ	aɾadʒ	ARADS	northeuralex	FORWARD	-
aɾavot	aɾavot	ARABOT	northeuralex	MORNING	-
aɾaɾka	aɾaɾka	ARARKA	northeuralex	ITEM	-
aɾjun	aɾjun	ARYUN	northeuralex	BLOOD	-
aɾtasukʰ	aɾtasukʰ	ARTASUK	northeuralex	TEAR (OF EYE)	-
aɾt͡satʰ	aɾtsatʰ	ARTSAT	northeuralex	SILVER	-
aʃxaɾh	aʃxaɾh	ASKARH	northeuralex	WORLD	-
ban	ban	BAN	northeuralex	AFFAIR	-
baɾak	baɾak	BARAK	northeuralex	THIN (OF SHAPE OF OBJECT)	-
baɾd͡z	baɾdz	BARDS	northeuralex	PILLOW	-
baɾd͡zunkʰ	baɾdzunkʰ	BARDSUNK	northeuralex	ELEVATION	-
baɾɛkam	baɾɛkam	BAREKAM	northeuralex	FRIEND	-
bu	bu	BU	northeuralex	OWL	-
bujn	bujn	BUYN	northeuralex	NEST	-
buɾmuŋkʰ	buɾmuŋkʰ	BURMUNK	northeuralex	TASTE	-
buɾtʰ	buɾtʰ	BURT	northeuralex	WOOL	-
buɾum	buɾum	BURUM	northeuralex	ODOR (SMELL)	-
bɑh	bɑh	BAH	northeuralex	SPADE	-
bɑjɔt͡sʰ	bɑjɔtsʰ	BAYOTS	northeuralex	LAIR	-
bɑlχiɾ	bɑlχiɾ	BALKIR	northeuralex	SLED	-
bɑnvɔɾ	bɑnvɔɾ	BANBOR	northeuralex	WORKER	-
bɑr	bɑr	BAR	northeuralex	WORD	-
bɑtʰ	bɑtʰ	BAT	northeuralex	DUCK	-
bɑt͡sʰ	bɑtsʰ	BATS	northeuralex	OPEN (STATE)	-
bɑt͡sʰ_ɑnɛl	bɑtsʰɑnɛl	BATSANEL	northeuralex	OPEN	-
bɑt͡sʰɔtʰɛɑj_kɾɑk	bɑtsʰɔtʰɛɑjkɾɑk	BATSOTEAYKRAK	northeuralex	CAMPFIRE	-
bɑzuk	bɑzuk	BASUK	northeuralex	ARM	-
bɑɾtʰ_χntʰiɾ	bɑɾtʰχntʰiɾ	BARTKNTIR	northeuralex	231_puzzle	-
bɑɾt͡sʰɾutʰjun	bɑɾtsʰɾutʰjun	BARTSRUTYUN	northeuralex	HEIGHT	-
bɑɾt͡sʰɾɑnɑl	bɑɾtsʰɾɑnɑl	BARTSRANAL	northeuralex	RISE (MOVE UPWARDS)	-
bɑɾt͡sʰɾɑt͡sʰnɛl	bɑɾtsʰɾɑtsʰnɛl	BARTSRATSNEL	northeuralex	846_raise	-
bɑɾɛlɑvɛl	bɑɾɛlɑvɛl	BARELABEL	northeuralex	IMPROVE (SOMETHING)	-
bɑʒɑnɛl	bɑʒɑnɛl	BASANEL	northeuralex	DIVIDE	-
bəluɾ	bəluɾ	BELUR	northeuralex	HILL	-
bənakvɛl	bənakvɛl	BENAKBEL	northeuralex	DWELL (LIVE, RESIDE)	-
bərnutʰjun	bərnutʰjun	BERNUTYUN	northeuralex	VIOLENCE	-
bərnɑk	bərnɑk	BERNAK	northeuralex	HANDLE	-
