Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wikipron	-	-
abadala	abadala	ABADALA	wikipron	-	-
abadesi	abadesi	ABADESI	wikipron	-	-
abadeso	abadeso	ABADESO	wikipron	-	-
abadeyala	abadejala	ABADEYALA	wikipron	-	-
abadeyi	abadeji	ABADEYI	wikipron	-	-
abadeyo	abadejo	ABADEYO	wikipron	-	-
abadi	abadi	ABADI	wikipron	-	-
abadini	abadini	ABADINI	wikipron	-	-
abadino	abadino	ABADINO	wikipron	-	-
abado	abado	ABADO	wikipron	-	-
abaduli	abaduli	ABADULI	wikipron	-	-
abadulo	abadulo	ABADULO	wikipron	-	-
abaki	abaki	ABAKI	wikipron	-	-
abako	abako	ABAKO	wikipron	-	-
abandonabez	abandonabɛs	ABANDONABES	wikipron	-	-
abandonabez	abandonabɛz	ABANDONABES	wikipron	-	-
abandonabis	abandonabis	ABANDONABIS	wikipron	-	-
abandonabos	abandonabɔs	ABANDONABOS	wikipron	-	-
abandonabus	abandonabus	ABANDONABUS	wikipron	-	-
abandonanta	abandonanta	ABANDONANTA	wikipron	-	-
abandonante	abandonante	ABANDONANTE	wikipron	-	-
abandonanti	abandonanti	ABANDONANTI	wikipron	-	-
abandonanto	abandonanto	ABANDONANTO	wikipron	-	-
abandonar	abandonar	ABANDONAR	wikipron	-	-
abandonas	abandonas	ABANDONAS	wikipron	-	-
abandonata	abandonata	ABANDONATA	wikipron	-	-
abandonate	abandonate	ABANDONATE	wikipron	-	-
abandonati	abandonati	ABANDONATI	wikipron	-	-
abandonato	abandonato	ABANDONATO	wikipron	-	-
abandonez	abandonɛs	ABANDONES	wikipron	-	-
abandonez	abandonɛz	ABANDONES	wikipron	-	-
abandoninta	abandoninta	ABANDONINTA	wikipron	-	-
abandoninte	abandoninte	ABANDONINTE	wikipron	-	-
abandoninti	abandoninti	ABANDONINTI	wikipron	-	-
abandoninto	abandoninto	ABANDONINTO	wikipron	-	-
abandonir	abandonir	ABANDONIR	wikipron	-	-
abandonis	abandonis	ABANDONIS	wikipron	-	-
abandonita	abandonita	ABANDONITA	wikipron	-	-
abandonite	abandonite	ABANDONITE	wikipron	-	-
abandoniti	abandoniti	ABANDONITI	wikipron	-	-
abandonito	abandonito	ABANDONITO	wikipron	-	-
abandononta	abandononta	ABANDONONTA	wikipron	-	-
abandononte	abandononte	ABANDONONTE	wikipron	-	-
abandononti	abandononti	ABANDONONTI	wikipron	-	-
abandononto	abandononto	ABANDONONTO	wikipron	-	-
abandonor	abandonɔr	ABANDONOR	wikipron	-	-
abandonos	abandonɔs	ABANDONOS	wikipron	-	-
abandonota	abandonota	ABANDONOTA	wikipron	-	-
abandonote	abandonote	ABANDONOTE	wikipron	-	-
abandonoti	abandonoti	ABANDONOTI	wikipron	-	-
abandonoto	abandonoto	ABANDONOTO	wikipron	-	-
abandonus	abandonus	ABANDONUS	wikipron	-	-
abasar	abasar	ABASAR	wikipron	-	-
abase	abase	ABASE	wikipron	-	-
abasez	abasɛs	ABASES	wikipron	-	-
abasez	abasɛz	ABASES	wikipron	-	-
abasis	abasis	ABASIS	wikipron	-	-
abasos	abasɔs	ABASOS	wikipron	-	-
abasus	abasus	ABASUS	wikipron	-	-
abatajari	abatad͡ʒari	ABATASARI	wikipron	-	-
abatajari	abataʒari	ABATASARI	wikipron	-	-
abatajaro	abataʒarɔ	ABATASARO	wikipron	-	-
abatanta	abatanta	ABATANTA	wikipron	-	-
abatante	abatante	ABATANTE	wikipron	-	-
abatanti	abatanti	ABATANTI	wikipron	-	-
abatanto	abatanto	ABATANTO	wikipron	-	-
abatar	abatar	ABATAR	wikipron	-	-
abatas	abatas	ABATAS	wikipron	-	-
abatata	abatata	ABATATA	wikipron	-	-
abatate	abatate	ABATATE	wikipron	-	-
abatati	abatati	ABATATI	wikipron	-	-
abatato	abatato	ABATATO	wikipron	-	-
abatez	abatɛs	ABATES	wikipron	-	-
abatez	abatɛz	ABATES	wikipron	-	-
abatinta	abatinta	ABATINTA	wikipron	-	-
abatinte	abatinte	ABATINTE	wikipron	-	-
abatinti	abatinti	ABATINTI	wikipron	-	-
abatinto	abatinto	ABATINTO	wikipron	-	-
abatir	abatir	ABATIR	wikipron	-	-
abatis	abatis	ABATIS	wikipron	-	-
abatisi	abatisi	ABATISI	wikipron	-	-
abatiso	abatiso	ABATISO	wikipron	-	-
abatita	abatita	ABATITA	wikipron	-	-
abatite	abatite	ABATITE	wikipron	-	-
abatiti	abatiti	ABATITI	wikipron	-	-
abatito	abatito	ABATITO	wikipron	-	-
abatonta	abatonta	ABATONTA	wikipron	-	-
abatonte	abatonte	ABATONTE	wikipron	-	-
abatonti	abatonti	ABATONTI	wikipron	-	-
abatonto	abatonto	ABATONTO	wikipron	-	-
abator	abatɔr	ABATOR	wikipron	-	-
abatos	abatɔs	ABATOS	wikipron	-	-
abatota	abatota	ABATOTA	wikipron	-	-
abatote	abatote	ABATOTE	wikipron	-	-
abatoti	abatoti	ABATOTI	wikipron	-	-
abatoto	abatoto	ABATOTO	wikipron	-	-
abatus	abatus	ABATUS	wikipron	-	-
abceseskar	abt͡seseskar	ABSESESKAR	wikipron	-	-
abcesi	abt͡sesi	ABSESI	wikipron	-	-
abceso	abt͡seso	ABSESO	wikipron	-	-
abdikar	abdikar	ABDIKAR	wikipron	-	-
abdikas	abdikas	ABDIKAS	wikipron	-	-
abdikez	abdikɛs	ABDIKES	wikipron	-	-
abdikez	abdikɛz	ABDIKES	wikipron	-	-
abdikis	abdikis	ABDIKIS	wikipron	-	-
abdikos	abdikɔs	ABDIKOS	wikipron	-	-
