Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aawwa	aawwa	AAWWA	abvd	SPIDER	-
abeya	abeya	ABEUA	abvd	SHOULDER	-
addawi	addawi	ADDAWI	abvd	FAR	abvd_180_far_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
amma-i	ammai	AMMAI	abvd	BIG	-
amton	amton	AMTON	abvd	KNOW (SOMETHING)	-
andiye	andiye	ANDIUE	abvd	WHAT	-
andu-oy	anduoy	ANDUOU	abvd	LONG	abvd_155_long_1
anâ	an	AN	abvd	CHILD	abvd_56_child_1
apti-oy	aptioy	APTIOU	abvd	SHORT	-
aptiyô	aptiy	APTIU	abvd	SHORT	-
apuy	apuy	APUU	abvd	FIRE	abvd_143_fire_1
as-asup	asasup	ASASUP	abvd	NEAR	-
asawa	asawa	ASAWA	abvd	HUSBAND	abvd_57_husband_2
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
asû	as	AS	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
atop	atop	ATOP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
banaw	banaw	BANAW	abvd	LAKE	abvd_126_lake_33
bangbangawan	bangbangawan	BANGBANGAWAN	abvd	WORM	-
bangbangon	bangbangon	BANGBANGON	abvd	DIG	-
barilom	barilom	BARILOM	abvd	SHOOT	-
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
bava	bava	BABA	abvd	TOOTH	abvd_31_tooth_74
bavayi	bavayi	BABAUI	abvd	FEMALE PERSON	-
bawa	bawa	BAWA	abvd	TOOTH	abvd_31_tooth_74
beyoy	beyoy	BEUOU	abvd	HOUSE	-
beyu	beyu	BEUU	abvd	NEW	abvd_163_new_1
bi-al	bial	BIAL	abvd	WIFE	-
bittuwon	bittuwon	BITTUWON	abvd	STAR	abvd_130_star_1
bitu-a	bitua	BITUA	abvd	INTESTINES	-
bobboran	bobboran	BOBBORAN	abvd	FASTEN	-
botlong	botlong	BOTLONG	abvd	GRASS	-
bunga	bunga	BUNGA	abvd	FRUIT	abvd_117_fruit_9
bunuvun	bunuvun	BUNUBUN	abvd	DUST	-
buwen	buwen	BUWEN	abvd	MOON	abvd_129_moon_1
bôbô	bb	BB	abvd	POUND	-
bû	b	B	abvd	HAIR	abvd_26_hair_1
daami	daami	DAAMI	abvd	WE	-
daayu	daayu	DAAUU	abvd	YOU	abvd_186_you_1
dagat	dagat	DAGAT	abvd	SEA	abvd_124_sea_25
dahom	dahom	DAHOM	abvd	WIND	-
damdama	damdama	DAMDAMA	abvd	OLD	-
danum	danum	DANUM	abvd	WATER	abvd_122_water_1
dattu	dattu	DATTU	abvd	WHERE	-
dattut tu	dattuttu	DATTUTTU	abvd	WHERE	-
dawun	dawun	DAWUN	abvd	LEAF	abvd_114_leaf_1
depu	depu	DEPU	abvd	DUST	-
deya	deya	DEUA	abvd	BLOOD	-
deyan	deyan	DEUAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
deyom	deyom	DEUOM	abvd	IN	-
dila	dila	DILA	abvd	TONGUE	abvd_32_tongue_4
dira	dira	DIRA	abvd	THEY	-
doldol	doldol	DOLDOL	abvd	BLUNT	-
dongngeyon	dongngeyon	DONGNGEUON	abvd	HEAR	abvd_44_tohear_1
dumatong	dumatong	DUMATONG	abvd	COME	abvd_7_tocome_14
duwa	duwa	DUWA	abvd	TWO	abvd_198_two_1
duwampiyu	duwampiyu	DUWAMPIUU	abvd	TWENTY	abvd_207_twenty_3
duyaw	duyaw	DUUAW	abvd	YELLOW	abvd_150_yellow_24
dâmi	dmi	DMI	abvd	WE	-
dôdoon	ddoon	DDOON	abvd	STAB	-
ehaw	ehaw	EHAW	abvd	DAY (NOT NIGHT)	-
esepon	esepon	ESEPON	abvd	THINK	-
etoy	etoy	ETOU	abvd	LIVER	abvd_17_liver_1
eyas	eyas	EUAS	abvd	FOREST	-
eyaton	eyaton	EUATON	abvd	BITE	abvd_41_tobite_1
eyavon	eyavon	EUABON	abvd	CLIMB	-
eyong	eyong	EUONG	abvd	NOSE	-
gandaw	gandaw	GANDAW	abvd	RAT	-
gitaw	gitaw	GITAW	abvd	FOREST	-
guvas	guvas	GUBAS	abvd	FOREST	-
gûgusan	ggusan	GGUSAN	abvd	SCRATCH	abvd_77_toscratch_22
i-an	ian	IAN	abvd	FISH	abvd_111_fish_1
i-ap-ap	iapap	IAPAP	abvd	HIDE	-
ibaleng	ibaleng	IBALENG	abvd	TURN	-
ibalive	ibalive	IBALIBE	abvd	THROW	-
ibbong	ibbong	IBBONG	abvd	THROW	-
ihir	ihir	IHIR	abvd	LEFT	-
ilat	ilat	ILAT	abvd	LIGHTNING	abvd_135_lightning_1
imû	im	IM	abvd	MOSQUITO	-
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
innunar	innunar	INNUNAR	abvd	HOW	-
inumon	inumon	INUMON	abvd	DRINK	-
ipagur	ipagur	IPAGUR	abvd	FASTEN	-
iput	iput	IPUT	abvd	TAIL	abvd_105_tail_30
iraw	iraw	IRAW	abvd	SNAKE	abvd_106_snake_2
itluh	itluh	ITLUH	abvd	EGG	-
ivaha	ivaha	IBAHA	abvd	SAY	-
iyu	iyu	IUU	abvd	HEAD	-
katat	katat	KATAT	abvd	SKIN	abvd_12_skin_75
kolang	kolang	KOLANG	abvd	WORM	abvd_107_wormearthworm_18
lahay	lahay	LAHAU	abvd	HUSBAND	-
laman	laman	LAMAN	abvd	FLESH OR MEAT	abvd_103_meatflesh_46
lamot	lamot	LAMOT	abvd	ROOT	abvd_115_root_3
lavi	lavi	LABI	abvd	NIGHT	abvd_167_night_21
le-i	lei	LEI	abvd	MALE PERSON	abvd_54_manmale_2
libbu	libbu	LIBBU	abvd	CLOUD	abvd_131_cloud_50
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
limampiyu	limampiyu	LIMAMPIUU	abvd	FIFTY	abvd_208_fifty_1
limá	lim	LIM	abvd	FIVE	abvd_201_five_1
lom-an	loman	LOMAN	abvd	ALL	-
lu-atan	luatan	LUATAN	abvd	OPEN	-
lumdur	lumdur	LUMDUR	abvd	SWELL	-
maawah	maawah	MAAWAH	abvd	WIDE	-
madahet	madahet	MADAHET	abvd	BAD OR EVIL	-
maleta	maleta	MALETA	abvd	DIRTY	-
mamatoy	mamatoy	MAMATOU	abvd	KILL	-
man-anup	mananup	MANANUP	abvd	HUNT	-
man-apuy	manapuy	MANAPUU	abvd	BURN	-
