Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ba|nogre-	banogre	BANOGRE	abvd	HEAR	-
-beni	beni	BENI	abvd	SPIT	-
-berrife	berrife	BERRIPE	abvd	LAUGH	abvd_33_tolaugh_3?
-bi-rə	birə	BIRE	abvd	CHOOSE	-
-biere	biere	BIERE	abvd	SAY	-
-bunə	bunə	BUNE	abvd	KILL	abvd_74_tokill_1
-bəna-ve	bənave	BENABE	abvd	STEAL	abvd_73_tosteal_1?
-bəsəbuse	bəsəbuse	BESEBUSE	abvd	SUCK	-
-den	den	DEN	abvd	MOTHER	abvd_59_mother_1
-efə	efə	EPE	abvd	COUNT	-
-fanə	fanə	PANE	abvd	WALK	abvd_5_towalk_2
-frivre	frivre	PRIBRE	abvd	WING	-
-fta- teni	ftateni	PTATENI	abvd	INTESTINES	abvd_16_intestines_1
-fun	fun	PUN	abvd	KILL	abvd_74_tokill_1
-funi	funi	PUNI	abvd	HIDE	abvd_171_tohide_1
-ga	ga	GA	abvd	EAT	abvd_37_toeat_1?
-gi-ne	gine	GINE	abvd	SLEEP	-
-gin	gin	GIN	abvd	DRINK	abvd_40_todrink_1?
-gor	gor	GOR	abvd	BITE	abvd_41_tobite_1
-ini	ini	INI	abvd	THIS	abvd_177_this_1
-ir	ir	IR	abvd	AND	-
-jie	jie	YIE	abvd	FATHER	-
-kaka	kaka	KAKA	abvd	SWIM	abvd_9_toswim_5?
-ma	ma	MA	abvd	COME	abvd_7_tocome_1
-mamaye-	mamaye	MAMAUE	abvd	TONGUE	abvd_32_tongue_7?
-mat	mat	MAT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-matune	matune	MATUNE	abvd	COOK (SOMETHING)	-
-matə	matə	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-ma|totə	matotə	MATOTE	abvd	CUT OR HACK	abvd_78_tocuthack_3
-mesegigere	mesegigere	MESEGIGERE	abvd	SCRATCH	-
-me|sagwe	mesagwe	MESAGWE	abvd	BREATHE	-
-me|səgəfo	mesəgəfo	MESEGEPO	abvd	SMELL (PERCEIVE)	-
-me|tage	metage	METAGE	abvd	CRY	abvd_34_tocry_1
-mta-t|e	mtate	MTATE	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-muda	muda	MUDA	abvd	HOLD	-
-mudəve	mudəve	MUDEBE	abvd	WORK (ACTIVITY)	-
-murə	murə	MURE	abvd	SCRATCH	-
-mutə	mutə	MUTE	abvd	SEW	-
-muvrə	muvrə	MUBRE	abvd	SQUEEZE	-
-məsi	məsi	MESI	abvd	SEE	abvd_46_tosee_85
-mətie-	mətie	METIE	abvd	EYE	abvd_45_eye_1
-mə|gor	məgor	MEGOR	abvd	BITE	-
-mə|gu-rə	məgurə	MEGURE	abvd	BUY	-
-mə|ragete	məragete	MERAGETE	abvd	SPLIT	-
-mə|ta-nə	mətanə	METANE	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
-mə|tefe	mətefe	METEPE	abvd	SPIT	-
-mə|ti	məti	METI	abvd	THROW	-
-mə|titi	mətiti	METITI	abvd	FALL	abvd_95_tofall_26?
-mə|tru	mətru	METRU	abvd	THROW	-
-mə|tu-tə	mətutə	METUTE	abvd	POUND	abvd_93_topoundbeat_20
-nevovo	nevovo	NEBOBO	abvd	FLOW	-
-nogr	nogr	NOGR	abvd	HEAR	abvd_44_tohear_1
-nəbər|barə	nəbərbarə	NEBERBARE	abvd	SWELL	abvd_87_toswell_1
-rarune	rarune	RARUNE	abvd	KNOW (SOMETHING)	-
-refo-	refo	REPO	abvd	TOOTH	abvd_31_tooth_1
-rega	rega	REGA	abvd	BE ALIVE	-
-rifr	rifr	RIPR	abvd	WIDE	abvd_159_wide_49
-rimeta-	rimeta	RIMETA	abvd	MOUTH	-
-rite	rite	RITE	abvd	SKIN	abvd_12_skin_1?
-ro	ro	RO	abvd	LEAF	abvd_114_leaf_1
-rure	rure	RURE	abvd	BONE	abvd_15_bone_2?
-su-re	sure	SURE	abvd	FLY (MOVE THROUGH AIR)	-
-susu	susu	SUSU	abvd	BREAST	abvd_18_breast_1
-tan	tan	TAN	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
-te	te	TE	abvd	LIVER	abvd_17_liver_1?
-tegra-	tegra	TEGRA	abvd	EAR	abvd_43_ear_1
-tut	tut	TUT	abvd	POUND	abvd_93_topoundbeat_2
-ud	ud	UD	abvd	HOLD	-
-vederbono	vederbono	BEDERBONO	abvd	THINK	-
-wegurə	wegurə	WEGURE	abvd	NOSE	-
=ti	ti	TI	abvd	NO OR NOT	-
adeitə	adeitə	ADEITE	abvd	ABOVE	-
am	am	AM	abvd	WE	abvd_185_we_2
atif-	atif	ATIP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
ativrɔ	ativrɔ	ATIBRO	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
baru	baru	BARU	abvd	SPIDER	-
bevine	bevine	BEBINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bfut	bfut	BPUT	abvd	WHITE	abvd_148_white_1
bfɪn	bfɪn	BPIN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bidi	bidi	BIDI	abvd	BIG	-
bnifn	bnifn	BNIPN	abvd	THIN	-
