Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
/aa/	ʕ̰/ʕaːʕ̰/ʕ	HHAHH	wold	CRY	-
/aama/aamu	ʕ̰/ʕaːmaʕ̰/ʕaːmu	HHAMAHHAMU	wold	GOURD	-
/aampa	ʕ̰/ʕaːmpa	HHAMPA	wold	TOWER	-
/aamu	ʕ̰/ʕaːmu	HHAMU	wold	PUMPKIN	-
/aanduut	ʕ̰/ʕaːnduːt	HHANDUT	wold	TASTE (SOMETHING)	-
/aankwets	ʕ̰/ʕaːnkʷetsʼ	HHANKETS	wold	NAKED	-
/aanta	ʕ̰/ʕaːnta	HHANTA	wold	GRAVE	-
/aarúw	ʕ̰/ʕaːɾú/uw	HHARUW	wold	BREAKFAST	-
/aay	ʕ̰/ʕaːj	HHAY	wold	EAT	-
/aben	ʕ̰/ʕaben	HHABEN	wold	NEW	-
/akuut	ʕ̰/ʕakuːt	HHAKUT	wold	FLY (MOVE THROUGH AIR)	-
/am/amo	ʕ̰/ʕamʕ̰/ʕamo	HHAMHHAMO	wold	TESTICLES	-
/ameeni	ʕ̰/ʕameːni	HHAMENI	wold	WOMAN	-
/antlamo	ʕ̰/ʕantɬamo	HHANTLAMO	wold	MOLAR TOOTH	-
/antsí	ʕ̰/ʕantsʼí/i	HHANTSI	wold	FIG	-
/atú	ʕ̰/ʕatú/u	HHATU	wold	BRAIN	-
/awa/awi	ʕ̰/ʕawaʕ̰/ʕawi	HHAWAHHAWI	wold	EAGLE	-
/awaak	ʕ̰/ʕawaːk	HHAWAK	wold	WHITE	-
/awtamo	ʕ̰/ʕawtamo	HHAWTAMO	wold	BUTTERFLY	-
/awtú	ʕ̰/ʕawtú/u	HHAWTU	wold	MONKEY	-
/ayiim	ʕ̰/ʕajiːm	HHAYIM	wold	ITCH	-
/aylusamo	ʕ̰/ʕajlusamo	HHAYLUSAMO	wold	POET	-
/aymadu	ʕ̰/ʕajmadu	HHAYMADU	wold	LUNCH	-
/aymu	ʕ̰/ʕajmu	HHAYMU	wold	WORD	-
/aymár_tsiindo	ʕ̰/ʕajmá/aɾtsʼiːndo	HHAYMARTSINDO	wold	DINNER (SUPPER)	-
/ayo	ʕ̰/ʕajo	HHAYO	wold	FLOWER	-
/ayto'o	ʕ̰/ʕajtoʔo	HHAYTOHO	wold	MAIZE	-
/eet	ʕ̰/ʕeːt	HHET	wold	SINK (DESCEND)	-
/eetl	ʕ̰/ʕeːtɬ	HHETL	wold	RAW	-
/ifiit	ʕ̰/ʕifiːt	HHIPIT	wold	SNEEZE	-
/iif	ʕ̰/ʕiːf	HHIP	wold	GROAN	-
/iis	ʕ̰/ʕiːs	HHIS	wold	RESCUE	-
/iiya	ʕ̰/ʕiːja	HHIYA	wold	NORTH	-
/iiyay	ʕ̰/ʕiːjaj	HHIYAY	wold	RIGHT	-
/irangw	ʕ̰/ʕiɾaũ	HHIRA	wold	PUBIC HAIR	-
/isá'	ʕ̰/ʕisá/aʔ	HHISAH	wold	YESTERDAY	-
/itiim	ʕ̰/ʕitiːm	HHITIM	wold	REFUSE	-
/o/oos	ʕ̰/ʕoʕ̰/ʕoːs	HHOHHOS	wold	SHIT (DEFECATE)	-
/untsuus	ʕ̰/ʕuntsʼuːs	HHUNTSUS	wold	COVER	-
/urfi	ʕ̰/ʕuɾfi	HHURPI	wold	LIZARD	-
/uuru	ʕ̰/ʕuːɾu	HHURU	wold	STRONG	-
/uwa	ʕ̰/ʕuwa	HHUWA	wold	WEST	-
a'a	aʔa	AHA	wold	NO	-
aahh	aːħ	AH	wold	HATE	-
aakoo	aːkoː	AKO	wold	GRANDFATHER	-
aama	aːma	AMA	wold	GRANDMOTHER	-
aayi	aːji	AYI	wold	MATERNAL AUNT (MOTHER'S SISTER)	-
aayo	aːjo	AYO	wold	MOTHER	-
aayoo	aːjoː	AYO	wold	MOTHER-IN-LAW (OF MAN)	-
aayí_niina	aːjí/iniːna	AYININA	wold	STEPMOTHER	-
adaa/	adaːʕ̰/ʕ	ADAHH	wold	LATE	-
adoo	adoː	ADO	wold	MANNER	-
adá	adá/a	ADA	wold	IMMEDIATELY	-
afa	afa	APA	wold	MOUTH	-
afa_tlawi	afatɬawi	APATLAWI	wold	SHORE	-
afa_wasl	afawaɬ	APAWAL	wold	MUTE	-
afeeni	afeːni	APENI	wold	YARD	-
afeetlo	afeːtɬo	APETLO	wold	WAIST	-
afiqooma	afiqoːma	APIKOMA	wold	AGE	-
afkwá_isimo	afkʷá/aisimo	APKAISIMO	wold	NIPPLE	-
afkwá_koonki	afkʷá/akoːnki	APKAKONKI	wold	BEAK	-
afkú_doo'	afkú/udoːʔ	APKUDOH	wold	DOOR	-
afoo	afoː	APO	wold	SOUND OR NOISE	-
afór_ur	afó/oɾuɾ	APORUR	wold	LOUD	-
af’untluuri	afʔuntɬuːɾi	APHUNTLURI	wold	KNOT	-
agee	ageː	AGE	wold	SUMMER	-
ak	ak	AK	wold	MORE	-
akoo_aya	akoːaja	AKOAYA	wold	PRESIDENT	-
al'aw	alʔaw	ALHAW	wold	MEET	-
al/aay	alʕ̰/ʕaːj	ALHHAY	wold	LIE (MISLEAD)	-
al/ayma	alʕ̰/ʕajma	ALHHAYMA	wold	DECEIT	-
al/uutl	alʕ̰/ʕuːtɬ	ALHHUTL	wold	CIRCUMCISION	-
al_hhe'eesay	alħeʔeesaj	ALHEHEESAY	wold	LAST (FINAL)	-
al_hhe’eesay	alħeʔeːsaj	ALHEHESAY	wold	END (OF TIME)	-
aldaakw	aldaːkʷ	ALDAK	wold	EXPLAIN	-
alee/iis	aleːʕ̰/ʕiːs	ALEHHIS	wold	HELP	-
aleeya/aam	aleːjaʕ̰/ʕaːm	ALEYAHHAM	wold	PERMIT	-
alfitsiit	alfitsʼiːt	ALPITSIT	wold	PURSUE	-
alikii/	alikiːʕ̰/ʕ	ALIKIHH	wold	RETREAT	-
alki/is	alkiʕ̰/ʕis	ALKIHHIS	wold	IMITATE	-
alkii/	alkiːʕ̰/ʕ	ALKIHH	wold	TELL	-
alqaytsiit	alqajtsʼiːt	ALKAYTSIT	wold	THINK (REFLECT)	-
alqwaarees	alqʷaːɾeːs	ALKARES	wold	DISAPPEAR	-
alu	alu	ALU	wold	AFTER	-
aluut	aluːt	ALUT	wold	LAST (FINAL)	-
amaasl	amaːɬ	AMAL	wold	SEPARATE	-
amaslahhi	amaɬaħi	AMALAHI	wold	FROG	-
amá	amá/a	AMA	wold	WHERE	-
angaano	aŋaːno	ANANO	wold	WHEAT	-
