Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	aː	A	wikipron	-	-
abbadís	apːatiːs	APATIS	wikipron	-	-
abbast	apːast	APAST	wikipron	-	-
Ada	aːta	ATA	wikipron	-	-
adamsepli	aːdamsɛhplɪ	ADAMSEHPLI	wikipron	-	-
adda	atːa	ATA	wikipron	-	-
af	aːv	AB	wikipron	-	-
afar	aːvar	ABAR	wikipron	-	-
afbaka	avpaːka	ABPAKA	wikipron	-	-
afbrigði	avprɪɣðɪ	ABPRIGDI	wikipron	-	-
afbrigðilegur	avprɪɣðɪlɛːɣʏr	ABPRIGDILEGR	wikipron	-	-
afbrot	aːvprɔːt	ABPROT	wikipron	-	-
afbrýði	avpriːðɪ	ABPRIDI	wikipron	-	-
afburður	avpʏrðʏr	ABPRDR	wikipron	-	-
afbökun	avpœːkʏn	ABPEKN	wikipron	-	-
afdrep	avtrɛːp	ABTREP	wikipron	-	-
afgangur	avkauŋkʏr	ABKAUNKR	wikipron	-	-
Afganistan	avkaːnɪstaːn	ABKANISTAN	wikipron	-	-
afgreiða	avkreiːða	ABKREIDA	wikipron	-	-
afgreiðsla	avkreiðstla	ABKREIDSTLA	wikipron	-	-
afhenda	afhɛnta	APHENTA	wikipron	-	-
afhending	afhɛntiŋk	APHENTINK	wikipron	-	-
afi	aːvɪ	ABI	wikipron	-	-
afklæða	avkʰlaiːða	ABKLAIDA	wikipron	-	-
afkomandi	avkʰɔːmantɪ	ABKOMANTI	wikipron	-	-
afkvæmi	avkʰvaiːmɪ	ABKBAIMI	wikipron	-	-
afkáralegur	avkʰauːralɛːɣʏr	ABKAURALEGR	wikipron	-	-
afl	apl	APL	wikipron	-	-
afla	apla	APLA	wikipron	-	-
afleiðing	avleiːðiŋk	ABLEIDINK	wikipron	-	-
afli	aplɪ	APLI	wikipron	-	-
afmæli	ammaiːlɪ	AMMAILI	wikipron	-	-
afmæli	avmaiːlɪ	ABMAILI	wikipron	-	-
afmælisdagur	amːaiːlɪstaːɣʏr	AMAILISTAGR	wikipron	-	-
afmælisdagur	avmaiːlɪstaːɣʏr	ABMAILISTAGR	wikipron	-	-
afmælisgjöf	avmaiːlɪscœːv	ABMAILISKEB	wikipron	-	-
afrit	avrɪːt	ABRIT	wikipron	-	-
afráða	avrauːða	ABRAUDA	wikipron	-	-
Afríka	aːfriːka	APRIKA	wikipron	-	-
afríkanska	aːfriːkʰanska	APRIKANSKA	wikipron	-	-
afríkanskur	aːfriːkʰanskʏr	APRIKANSKR	wikipron	-	-
afríkufíll	aːfriːkʏfitl	APRIKPITL	wikipron	-	-
afrískur	aːfriskʏr	APRISKR	wikipron	-	-
afsaka	afsaːka	APSAKA	wikipron	-	-
afskrá	afskrauː	APSKRAU	wikipron	-	-
afskráning	afskrauːniŋk	APSKRAUNINK	wikipron	-	-
afsláttur	afstlauhtʏr	APSTLAUHTR	wikipron	-	-
afstæði	afstaiːðɪ	APSTAIDI	wikipron	-	-
afsökun	afsœːkʏn	APSEKN	wikipron	-	-
aftaka	avtʰaːka	ABTAKA	wikipron	-	-
aftur	aftʏr	APTR	wikipron	-	-
aftur	ahtʏr	AHTR	wikipron	-	-
afturbatapíka	aftʏrpaːtapʰiːka	APTRPATAPIKA	wikipron	-	-
afturbati	aftʏrpaːtɪ	APTRPATI	wikipron	-	-
afturbeyging	aftʏrpeiːjiŋk	APTRPEIYINK	wikipron	-	-
afturbeygður	aftʏrpeiɣðʏr	APTRPEIGDR	wikipron	-	-
afturelding	aftʏrɛltiŋk	APTRELTINK	wikipron	-	-
afturfótur	aftʏrfouːtʏr	APTRPOUTR	wikipron	-	-
afturhald	aftʏrhalt	APTRHALT	wikipron	-	-
afturhaldsstefna	aftʏrhaltsstɛpna	APTRHALTSSTEPNA	wikipron	-	-
afturkræfur	aftʏrkʰraiːvʏr	APTRKRAIBR	wikipron	-	-
aftursæti	aftʏrsaiːtɪ	APTRSAITI	wikipron	-	-
afvopna	avvɔhpna	ABBOHPNA	wikipron	-	-
afæta	aːvaiːta	ABAITA	wikipron	-	-
aga	aːɣa	AGA	wikipron	-	-
agalega	aːɣalɛːɣa	AGALEGA	wikipron	-	-
agalegur	aːɣalɛɣʏr	AGALEGR	wikipron	-	-
Aggi	acːɪ	AKI	wikipron	-	-
agi	aːjɪ	AYI	wikipron	-	-
agn	akn	AKN	wikipron	-	-
agða	aɣða	AGDA	wikipron	-	-
agúrka	aːkur̥ka	AKURKA	wikipron	-	-
aka	aːka	AKA	wikipron	-	-
akarn	aːkʰartn	AKARTN	wikipron	-	-
akbraut	aːkprøyːt	AKPREUT	wikipron	-	-
akkeri	ahkɛːrɪ	AHKERI	wikipron	-	-
akkur	ahkʏr	AHKR	wikipron	-	-
akrein	aːkreiːn	AKREIN	wikipron	-	-
akri	aːkrɪ	AKRI	wikipron	-	-
akrinum	aːkrɪnʏm	AKRINM	wikipron	-	-
akur	aːkʰʏr	AKR	wikipron	-	-
akurarfi	aːkʏrarvɪ	AKRARBI	wikipron	-	-
akurinn	aːkʰʏrɪn	AKRIN	wikipron	-	-
akurstjarna	aːkʏrstjartna	AKRSTYARTNA	wikipron	-	-
ala	aːla	ALA	wikipron	-	-
Alaska	aːlaska	ALASKA	wikipron	-	-
alaskavíðir	aːlaskaviːðɪr	ALASKABIDIR	wikipron	-	-
alaskaösp	aːlaskaœsp	ALASKAESP	wikipron	-	-
alba	alpa	ALPA	wikipron	-	-
albanska	alpanska	ALPANSKA	wikipron	-	-
albanskur	alpanskʏr	ALPANSKR	wikipron	-	-
Albanía	alpaːniːja	ALPANIYA	wikipron	-	-
albínói	alpiːnouːɪ	ALPINOUI	wikipron	-	-
Alda	alta	ALTA	wikipron	-	-
aldeilis	alteiːlɪs	ALTEILIS	wikipron	-	-
aldin	altɪn	ALTIN	wikipron	-	-
Aldinborg	altɪnpɔrk	ALTINPORK	wikipron	-	-
aldinbori	altɪnpɔːrɪ	ALTINPORI	wikipron	-	-
aldingarður	altɪnkarðʏr	ALTINKARDR	wikipron	-	-
aldrei	altreiː	ALTREI	wikipron	-	-
aldur	altʏr	ALTR	wikipron	-	-
