Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ajtates	ajtates	AYTATES	northeuralex	DRIVE (CATTLE)	-
ajβaŋ	ajβaŋ	AYBAN	northeuralex	NORTH	-
amŋel	amŋel	AMNEL	northeuralex	FAIRY TALE	-
anet͡ʃpaʔɬkiɬχ	anetʃpaʔɬkiɬχ	ANETSPAHLKILK	northeuralex	TEACHER	-
anseʔɬkas	anseʔɬkas	ANSEHLKAS	northeuralex	LEARN	-
ansx	ansx	ANSK	northeuralex	PIECE	-
anzazos	anzazos	ANSASOS	northeuralex	SPREAD OUT	-
apreɬ	apreɬ	APREL	northeuralex	APRIL	-
asera	asera	ASERA	northeuralex	LAIR	-
askɬkas	askɬkas	ASKLKAS	northeuralex	COUGH	-
asβarβan	asβarβan	ASBARBAN	northeuralex	HEIGHT	-
atnom	atnom	ATNOM	northeuralex	VILLAGE	-
atxlaχ	atxlaχ	ATKLAK	northeuralex	BRIGHT	-
atxʔatx	atxʔatx	ATKHATK	northeuralex	LIGHT (RADIATION)	-
at͡ʃiɲt͡ʃk	atʃiɲtʃk	ATSINTSK	northeuralex	YESTERDAY	-
axskas	axskas	AKSKAS	northeuralex	BE BORN	-
axɬes	axɬes	AKLES	northeuralex	PICK	-
azosk	azosk	ASOSK	northeuralex	TOMORROW	-
aŋjas	aŋjas	ANYAS	northeuralex	COMMEND	-
aŋɬlaχ	aŋɬlaχ	ANLLAK	northeuralex	FLAT	-
aɲts	aɲts	ANTS	northeuralex	BED	-
aɲt͡ʃpes	aɲtʃpes	ANTSPES	northeuralex	TEACH	-
aɲɬoʔɬkas	aɲɬoʔɬkas	ANLOHLKAS	northeuralex	PROMISE	-
aɲɬxanom	aɲɬxanom	ANLKANOM	northeuralex	TOWEL	-
aʔjuβʔaj	aʔjuβʔaj	AHYUBHAY	northeuralex	BRAIN	-
ăŋqa	aŋqa	ANKA	northeuralex	WHAT	-
ăŋqankit	aŋqankit	ANKANKIT	northeuralex	WHY	-
aβlakas	aβlakas	ABLAKAS	northeuralex	HOWL	-
aβɡust	aβgust	ABGUST	northeuralex	AUGUST	-
babut͡ʃχ	babutʃχ	BABUTSK	northeuralex	GRANDMOTHER	-
boɡatoj	bogatoj	BOGATOY	northeuralex	RICH	-
bukβaʔ	bukβaʔ	BUKBAH	northeuralex	CHARACTER	-
bʲelkaʔ	bʲelkaʔ	BELKAH	northeuralex	SQUIRREL	-
diβneʔ	diβneʔ	DIBNEH	northeuralex	FOR A LONG TIME	-
dojeʔɬkas	dojeʔɬkas	DOYEHLKAS	northeuralex	DRAW MILK	-
doskaʔ	doskaʔ	DOSKAH	northeuralex	BOARD	-
dʲekabr	dʲekabr	DEKABR	northeuralex	DECEMBER	-
dʲeʃoβoj	dʲeʃoβoj	DESOBOY	northeuralex	CHEAP	-
eket͡ʃχ	eketʃχ	EKETSK	northeuralex	GIRL	-
ekʔnen	ekʔnen	EKHNEN	northeuralex	OTHER	-
elɸses	elɸses	ELPSES	northeuralex	LISTEN	-
elɸskas	elɸskas	ELPSKAS	northeuralex	LISTEN	-
elβentzokas	elβentzokas	ELBENTSOKAS	northeuralex	FISHING	-
em	em	EM	northeuralex	ONLY	-
enmesenkas	enmesenkas	ENMESENKAS	northeuralex	DISTURB	-
enskas	enskas	ENSKAS	northeuralex	STREAM (FLOW CONTINUOUSLY)	-
enst͡ʃeneŋ	enstʃeneŋ	ENSTSENEN	northeuralex	BLANKET	-
ensxeʔɬnom	ensxeʔɬnom	ENSKEHLNOM	northeuralex	SHOP	-
enxtzos	enxtzos	ENKTSOS	northeuralex	LOOK FOR	-
erβen	erβen	ERBEN	northeuralex	COAST	-
eskp	eskp	ESKP	northeuralex	HILL	-
esqt͡ʃkin	esqtʃkin	ESKTSKIN	northeuralex	BIG	-
estelkas	estelkas	ESTELKAS	northeuralex	DANCE	-
esxnom	esxnom	ESKNOM	northeuralex	DEATH	-
esχtekas	esχtekas	ESKTEKAS	northeuralex	GROW	-
etuktunuk	etuktunuk	ETUKTUNUK	northeuralex	SEVEN	-
et͡ʃkʔelaχ	etʃkʔelaχ	ETSKHELAK	northeuralex	BAD	-
