Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
*búŋa	ba	BA	abvd	FRUIT	abvd_117_fruit_9
ababbá	ababb	ABABB	abvd	SHORT	abvd_154_short_54
abaha	abaha	ABAHA	abvd	SHOULDER	abvd_19_shoulder_1
abbing	abbing	ABBING	abvd	CHILD	abvd_56_child_21
abbíŋ	abb	ABB	abvd	CHILD	abvd_56_child_21
abábba	abbba	ABBBA	abvd	SHORT	abvd_154_short_54
abáha	abha	ABHA	abvd	SHOULDER	abvd_19_shoulder_1
adaddú	adadd	ADADD	abvd	LONG	abvd_155_long_1
adanní	adann	ADANN	abvd	NEAR	abvd_179_near_1
adayyu	adayyu	ADAUUU	abvd	FAR	abvd_180_far_1
addúg	addg	ADDG	abvd	THUNDER	abvd_134_thunder_2
afafuk	afafuk	APAPUK	abvd	FOG	-
afi	afi	API	abvd	FIRE	abvd_143_fire_1
afí	af	AP	abvd	FIRE	abvd_143_fire_1
agal	agal	AGAL	abvd	LIVER	abvd_17_liver_16
aggidá	aggid	AGGID	abvd	THEY	abvd_187_they_1
agginá	aggin	AGGIN	abvd	HE OR SHE	abvd_184_heshe_37
aggʌs	aggʌs	AGGS	abvd	WORM	abvd_107_wormearthworm_76
agtáy	agty	AGTU	abvd	LIVER	abvd_17_liver_1
agál	agl	AGL	abvd	LIVER	abvd_17_liver_16
ahu	ahu	AHU	abvd	ASH	abvd_146_ashes_1
ahuk	ahuk	AHUK	abvd	HAIR	abvd_26_hair_1
ahú	ah	AH	abvd	ASH	abvd_146_ashes_1
ahúk	ahk	AHK	abvd	HAIR	abvd_26_hair_1
algaw	algaw	ALGAW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
alipat	alipat	ALIPAT	abvd	WORM	-
alípat	alpat	ALPAT	abvd	WORM	-
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
amin	amin	AMIN	abvd	ALL	abvd_191_all_1
ammwán	ammwn	AMMWN	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_25
ammú	amm	AMM	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_25
amá	am	AM	abvd	FATHER	abvd_60_father_1
anaddú	anadd	ANADD	abvd	LONG	abvd_155_long_1
angin	angin	ANGIN	abvd	WIND	abvd_136_wind_1
annam	annam	ANNAM	abvd	SIX	abvd_202_six_1
annanúʔ	annanʔ	ANNANH	abvd	BIRD	abvd_97_bird_1
annám	annm	ANNM	abvd	SIX	abvd_202_six_1
annʌm	annʌm	ANNM	abvd	SIX	abvd_202_six_1
anuŋáy	anuy	ANUU	abvd	WHEN	-
apiddu	apiddu	APIDDU	abvd	LONG	abvd_155_long_1
appat	appat	APPAT	abvd	FOUR	abvd_200_four_1
appát	appt	APPT	abvd	FOUR	abvd_200_four_1
apúy	apy	APU	abvd	FIRE	abvd_143_fire_1
aranni	aranni	ARANNI	abvd	NEAR	abvd_179_near_1
aranní	arann	ARANN	abvd	NEAR	abvd_179_near_1
arayyu	arayyu	ARAUUU	abvd	FAR	abvd_180_far_1
arayyú	arayy	ARAUU	abvd	FAR	abvd_180_far_1
aren	aren	AREN	abvd	AND	-
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
asín	asn	ASN	abvd	SALT	abvd_125_salt_3
asú	as	AS	abvd	DOG	abvd_96_dog_1
asúl	asl	ASL	abvd	GREEN	-
asúʔ	asʔ	ASH	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
atap	atap	ATAP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atawa	atawa	ATAWA	abvd	HUSBAND	abvd_57_husband_2
atazzit	atazzit	ATASSIT	abvd	NARROW	-
atazít	atazt	ATAST	abvd	NARROW	-
atu	atu	ATU	abvd	DOG	abvd_96_dog_1
atáp	atp	ATP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atáwa	atwa	ATWA	abvd	HUSBAND	abvd_57_husband_2
atúk	atk	ATK	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
awan	awan	AWAN	abvd	NO OR NOT	abvd_195_nonot_36
awán	awn	AWN	abvd	NO OR NOT	abvd_195_nonot_36
aŋʌp	aʌp	AP	abvd	FOG	-
babay	babay	BABAU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
babbay	babbay	BABBAU	abvd	SEA	abvd_124_sea_28
babáy	baby	BABU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bagú	bag	BAG	abvd	NEW	abvd_163_new_1
bahu	bahu	BAHU	abvd	NEW	abvd_163_new_1
bahú	bah	BAH	abvd	NEW	abvd_163_new_1
balai	balai	BALAI	abvd	HOUSE	abvd_61_house_14
balakad	balakad	BALAKAD	abvd	RAT	abvd_102_rat_41
balakád	balakd	BALAKD	abvd	RAT	abvd_102_rat_41
baláy	baly	BALU	abvd	HOUSE	abvd_61_house_14
