Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
afu	afu	APU	abvd	ASH	abvd_146_ashes_1
alas	alas	ALAS	abvd	FOREST	abvd_127_woodsforest_1
ame	ame	AME	abvd	FATHER	abvd_60_father_1
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
apu	apu	APU	abvd	BURN	-
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
au	au	AU	abvd	FIRE	abvd_143_fire_1
bab	bab	BAB	abvd	BELOW OR UNDER	abvd_176_below_1
baianak	baianak	BAIANAK	abvd	THIN	-
balik	balik	BALIK	abvd	TURN	abvd_8_toturn_8
bare	bare	BARE	abvd	SWELL	abvd_87_toswell_1
bate	bate	BATE	abvd	FEMALE PERSON	abvd_55_womanfemale_128
bati	bati	BATI	abvd	STONE	abvd_120_stone_1
bayal	bayal	BAUAL	abvd	LEFT	-
ba|bara|n	babaran	BABARAN	abvd	SHOULDER	abvd_19_shoulder_1
botuan	botuan	BOTUAN	abvd	CORRECT (RIGHT)	-
buke	buke	BUKE	abvd	HAIR	abvd_26_hair_1
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
burit	burit	BURIT	abvd	BACK	-
buwe	buwe	BUWE	abvd	FRUIT	abvd_117_fruit_1
dafat	dafat	DAPAT	abvd	THATCH OR ROOF	abvd_62_thatchroof_9
dalam	dalam	DALAM	abvd	IN	abvd_174_ininside_1
dalamtene	dalamtene	DALAMTENE	abvd	PATH OR ROAD	-
dare	dare	DARE	abvd	BLOOD	abvd_23_blood_1
das	das	DAS	abvd	ABOVE	-
dase	dase	DASE	abvd	HOUSE	-
diat	diat	DIAT	abvd	CORRECT (RIGHT)	-
done	done	DONE	abvd	LEAF	abvd_114_leaf_1
duri	duri	DURI	abvd	BONE	abvd_15_bone_2
duwe	duwe	DUWE	abvd	TWO	abvd_198_two_1
eme	eme	EME	abvd	FOOT OR LEG	-
ene	ene	ENE	abvd	MOTHER	abvd_59_mother_1
epat buŋan	epatbuan	EPATBUAN	abvd	THATCH OR ROOF	abvd_62_thatchroof_9
fala	fala	PALA	abvd	WALK	abvd_5_towalk_116
farpe	farpe	PARPE	abvd	HOW	-
fat	fat	PAT	abvd	FOUR	abvd_200_four_1
fere	fere	PERE	abvd	ALL	-
fian	fian	PIAN	abvd	RIGHT	abvd_3_right_81
fitik	fitik	PITIK	abvd	LIGHTNING	abvd_135_lightning_34
fitu	fitu	PITU	abvd	SEVEN	abvd_203_seven_1
ftune	ftune	PTUNE	abvd	STAR	abvd_130_star_1
fulu-n	fulun	PULUN	abvd	FEATHER	abvd_99_feather_1
fusi	fusi	PUSI	abvd	FLOWER	abvd_116_flower_5
ian	ian	IAN	abvd	FISH	abvd_111_fish_1
ikur	ikur	IKUR	abvd	TAIL	abvd_105_tail_1
iri-n	irin	IRIN	abvd	NOSE	abvd_27_nose_1
isi	isi	ISI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
isé	is	IS	abvd	WHO	abvd_189_who_1
iye	iye	IUE	abvd	THIS	abvd_177_this_1?
jai	jai	YAI	abvd	THROW	abvd_94_tothrow_8
kai	kai	KAI	abvd	STICK	abvd_79_stickwood_1
kaianak	kaianak	KAIANAK	abvd	SMALL	-
kambu	kambu	KAMBU	abvd	BELLY	abvd_14_belly_2
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kasi	kasi	KASI	abvd	SNAKE	-
kawat	kawat	KAWAT	abvd	RAT	-
keta	keta	KETA	abvd	IF	-
kini	kini	KINI	abvd	DIRTY	-
kite	kite	KITE	abvd	WE	abvd_185_we_1
kmi	kmi	KMI	abvd	YOU	abvd_186_you_1
knjai	knjai	KNYAI	abvd	SAND	-
ko	ko	KO	abvd	THOU	abvd_183_thou_1
kulit	kulit	KULIT	abvd	SKIN	abvd_12_skin_1
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kéri	kri	KRI	abvd	TONGUE	abvd_32_tongue_35
laktéru	laktru	LAKTRU	abvd	YELLOW	-
lakwatan	lakwatan	LAKWATAN	abvd	GREEN	-
lalatu	lalatu	LALATU	abvd	GREEN	-
laraksindak	laraksindak	LARAKSINDAK	abvd	WORM	-
lawak	lawak	LAWAK	abvd	SPIDER	abvd_110_spider_1
laye	laye	LAUE	abvd	WALK	-
laŋit	lait	LAIT	abvd	SKY	abvd_128_sky_1
lere	lere	LERE	abvd	DAY (NOT NIGHT)	abvd_168_day_24
lese	lese	LESE	abvd	ONE	abvd_197_one_1
leŋan	lean	LEAN	abvd	LIE DOWN	-
lime	lime	LIME	abvd	HAND	abvd_1_hand_1
lobe	lobe	LOBE	abvd	FOG	-
lolo	lolo	LOLO	abvd	FAR	-
losir	losir	LOSIR	abvd	NEAR	-
ma	ma	MA	abvd	AND	abvd_192_and_2
ma-buwe	mabuwe	MABUWE	abvd	SHORT	-
ma-bérat	mabrat	MABRAT	abvd	HEAVY	abvd_142_heavy_1
ma-futi	mafuti	MAPUTI	abvd	WHITE	abvd_148_white_1
ma-kene	makene	MAKENE	abvd	OLD	-
ma-ndirun	mandirun	MANDIRUN	abvd	COLD	abvd_139_cold_1
ma-rindin	marindin	MARINDIN	abvd	COLD	abvd_139_cold_1
ma-rumat	marumat	MARUMAT	abvd	SMALL	-
ma-ŋrétu	martu	MARTU	abvd	DRY	-
manik	manik	MANIK	abvd	BIRD	abvd_97_bird_1
manuk	manuk	MANUK	abvd	NECK	-
mate	mate	MATE	abvd	EYE	abvd_45_eye_1
mba-nisik	mbanisik	MBANISIK	abvd	THIN	abvd_156_thin_1
mbalole	mbalole	MBALOLE	abvd	NARROW	-
mbese	mbese	MBESE	abvd	GRASS	-
mbuam	mbuam	MBUAM	abvd	DIG	-
me-labar	melabar	MELABAR	abvd	WIDE	abvd_159_wide_49
me-metam	memetam	MEMETAM	abvd	BLACK	abvd_147_black_1
mefi	mefi	MEPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
minak	minak	MINAK	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
mire	mire	MIRE	abvd	YOU	-
mnaur	mnaur	MNAUR	abvd	WIND	-
mone	mone	MONE	abvd	GOOD	-
monuk	monuk	MONUK	abvd	ALL	-
mutan	mutan	MUTAN	abvd	CLOUD	abvd_131_cloud_6
m|asu	masu	MASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
mé-fanas	mfanas	MPANAS	abvd	WARM	abvd_138_warm_1
mé-lawas	mlawas	MLAWAS	abvd	LONG	abvd_155_long_9
mérwane	mrwane	MRWANE	abvd	MALE PERSON	abvd_54_manmale_1
n-ane	nane	NANE	abvd	EAT	abvd_37_toeat_1
n-aŋat	naat	NAAT	abvd	SMELL (PERCEIVE)	-
n-ber	nber	NBER	abvd	ROTTEN	abvd_112_rotten_1
n-bes	nbes	NBES	abvd	HUNT	-
n-bibis	nbibis	NBIBIS	abvd	SEW	-
n-bindar	nbindar	NBINDAR	abvd	SPLIT	-
n-bét	nbt	NBT	abvd	SAY	-
n-deŋar	ndear	NDEAR	abvd	HEAR	abvd_44_tohear_1
n-falak	nfalak	NPALAK	abvd	SAY	-
n-falu	nfalu	NPALU	abvd	HIT	abvd_72_tohit_1
n-fanak	nfanak	NPANAK	abvd	SHOOT	abvd_70_toshoot_1
n-faŋat	nfaat	NPAAT	abvd	CLIMB	-
n-fen	nfen	NPEN	abvd	KILL	abvd_74_tokill_6
n-feras	nferas	NPERAS	abvd	SQUEEZE	abvd_88_tosqueeze_42
n-fuf	nfuf	NPUP	abvd	FALL	-
n-kafar	nkafar	NKAPAR	abvd	CLIMB	-
n-kakit	nkakit	NKAKIT	abvd	CHEW	-
n-kalap	nkalap	NKALAP	abvd	POUND	-
n-kambar	nkambar	NKAMBAR	abvd	THINK	-
n-karat	nkarat	NKARAT	abvd	BITE	abvd_41_tobite_1
n-karya	nkarya	NKARUA	abvd	WORK (ACTIVITY)	abvd_83_towork_7
n-kawal	nkawal	NKAWAL	abvd	SWIM	-
n-keban	nkeban	NKEBAN	abvd	SEE	-
n-kele	nkele	NKELE	abvd	FASTEN	-
n-kolak	nkolak	NKOLAK	abvd	THINK	-
n-kér	nkr	NKR	abvd	SCRATCH	abvd_77_toscratch_49
n-lale	nlale	NLALE	abvd	FLOW	-
n-lambat	nlambat	NLAMBAT	abvd	WORK (ACTIVITY)	-
n-lokan	nlokan	NLOKAN	abvd	VOMIT	abvd_35_tovomit_8
n-lol	nlol	NLOL	abvd	FALL	-
n-lolan	nlolan	NLOLAN	abvd	CUT OR HACK	-
n-loli	nloli	NLOLI	abvd	POUND	-
n-lomb	nlomb	NLOMB	abvd	VOMIT	-
n-lor	nlor	NLOR	abvd	ROTTEN	abvd_112_rotten_1
n-ma	nma	NMA	abvd	COME	abvd_7_tocome_1
n-malip	nmalip	NMALIP	abvd	LAUGH	abvd_33_tolaugh_3
n-mat	nmat	NMAT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
n-maup	nmaup	NMAUP	abvd	YAWN	abvd_47_toyawn_19
n-mban	nmban	NMBAN	abvd	WALK	abvd_5_towalk_2
n-mbusuk	nmbusuk	NMBUSUK	abvd	ROTTEN	abvd_112_rotten_56
n-meat	nmeat	NMEAT	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
n-morip	nmorip	NMORIP	abvd	BE ALIVE	abvd_76_tolivebealive_1
n-mut	nmut	NMUT	abvd	VOMIT	abvd_35_tovomit_1
n-ndare	nndare	NNDARE	abvd	FASTEN	-
n-otar	notar	NOTAR	abvd	SAY	-
n-oup	noup	NOUP	abvd	BLOW (OF WIND)	-
n-rak	nrak	NRAK	abvd	SPLIT	-
n-sambuk	nsambuk	NSAMBUK	abvd	POUND	-
n-sirik	nsirik	NSIRIK	abvd	SPIT	-
n-siye	nsiye	NSIUE	abvd	SPLIT	-
n-sot	nsot	NSOT	abvd	SEW	abvd_67_tosew_10
n-sus	nsus	NSUS	abvd	SUCK	abvd_42_tosuck_1
n-susuk	nsusuk	NSUSUK	abvd	STAB	abvd_71_tostabpierce_1
n-sélir	nslir	NSLIR	abvd	BUY	-
n-tabat	ntabat	NTABAT	abvd	PLANT (SOMETHING)	abvd_84_toplant_38
n-tanam	ntanam	NTANAM	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
n-tasiŋ	ntasi	NTASI	abvd	CRY	abvd_34_tocry_1
n-tetak	ntetak	NTETAK	abvd	CUT OR HACK	abvd_78_tocuthack_3
n-turim	nturim	NTURIM	abvd	FLY (MOVE THROUGH AIR)	-
n-wak	nwak	NWAK	abvd	SPLIT	abvd_80_tosplit_36?
n-wokut	nwokut	NWOKUT	abvd	SUCK	-
n-yaki	nyaki	NUAKI	abvd	COUNT	abvd_196_tocount_6
n-ŋuŋum	nuum	NUUM	abvd	HOLD	-
na	na	NA	abvd	AT	abvd_173_at_13
na-babal	nababal	NABABAL	abvd	HIT	abvd_72_tohit_4
na-bandil	nabandil	NABANDIL	abvd	OPEN	abvd_92_toopenuncover_69
na-boti	naboti	NABOTI	abvd	SAY	-
na-dane	nadane	NADANE	abvd	COOK (SOMETHING)	-
na-daun	nadaun	NADAUN	abvd	THINK	-
na-fai	nafai	NAPAI	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_113
na-fili	nafili	NAPILI	abvd	CHOOSE	abvd_85_tochoose_1
na-k-lele	naklele	NAKLELE	abvd	FEAR (BE AFRAID)	-
na-kal	nakal	NAKAL	abvd	DIG	abvd_90_todig_1
na-m-dir	namdir	NAMDIR	abvd	STAND	abvd_52_tostand_1
na-m-toran	namtoran	NAMTORAN	abvd	SIT	abvd_51_tosit_1
na-maninik	namaninik	NAMANINIK	abvd	PAINFUL OR SICK	-
na-mbetan	nambetan	NAMBETAN	abvd	WET	abvd_141_wet_8
na-mudim	namudim	NAMUDIM	abvd	HIDE	-
na-méméye	nammye	NAMMUE	abvd	RED	abvd_149_red_1?
na-nau	nanau	NANAU	abvd	HUNT	-
na-rai	narai	NARAI	abvd	DIRTY	abvd_10_dirty_1
na-slyai	naslyai	NASLUAI	abvd	GROW	-
na-tian	natian	NATIAN	abvd	HUNT	-
na-yaf	nayaf	NAUAP	abvd	HUNT	-
narwa	narwa	NARWA	abvd	LIE DOWN	-
nawe	nawe	NAWE	abvd	NECK	-
naŋe	nae	NAE	abvd	STEAL	abvd_73_tosteal_1
ndirin	ndirin	NDIRIN	abvd	NEEDLE (FOR SEWING)	-
ndondam	ndondam	NDONDAM	abvd	NIGHT	abvd_167_night_11
ndume	ndume	NDUME	abvd	NEEDLE (FOR SEWING)	-
ndundum	ndundum	NDUNDUM	abvd	THUNDER	abvd_134_thunder_8
nife	nife	NIPE	abvd	TOOTH	abvd_31_tooth_1
ninik	ninik	NINIK	abvd	MOSQUITO	abvd_109_mosquito_17
nise	nise	NISE	abvd	DIRTY	-
no	no	NO	abvd	THAT	abvd_178_that_1
né	n	N	abvd	THAT	abvd_178_that_1
ombak	ombak	OMBAK	abvd	EARTH (SOIL)	-
ombak-nduam	ombaknduam	OMBAKNDUAM	abvd	WORM	-
owe	owe	OWE	abvd	SLEEP	-
ramas	ramas	RAMAS	abvd	SCRATCH	abvd_77_toscratch_1?
reke	reke	REKE	abvd	BREATHE	-
sa	sa	SA	abvd	OTHER	-
safe	safe	SAPE	abvd	WHAT	abvd_188_what_1
sawe	sawe	SAWE	abvd	HUSBAND	abvd_57_husband_2
sa|nawe	sanawe	SANAWE	abvd	BREATHE	abvd_28_tobreathe_1
saŋe	sae	SAE	abvd	BRANCH	abvd_113_branch_2
silai	silai	SILAI	abvd	BIG	-
sir	sir	SIR	abvd	THEY	abvd_187_they_1
sire	sire	SIRE	abvd	SALT	abvd_125_salt_1
slyape	slyape	SLUAPE	abvd	SHOULDER	-
susu	susu	SUSU	abvd	BREAST	abvd_18_breast_1
susuke	susuke	SUSUKE	abvd	MOUTH	abvd_30_mouth_40?
ta-tariŋ	tatari	TATARI	abvd	SHARP	abvd_81_sharp_1
ta-ŋora	taora	TAORA	abvd	NARROW	-
ta-ŋowe	taowe	TAOWE	abvd	NARROW	-
tali	tali	TALI	abvd	ROPE	abvd_65_rope_1
tasik	tasik	TASIK	abvd	SEA	abvd_124_sea_1
tate	tate	TATE	abvd	NO OR NOT	abvd_195_nonot_4
taut	taut	TAUT	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
tliŋe	tlie	TLIE	abvd	EAR	abvd_43_ear_1
to	to	TO	abvd	NO OR NOT	abvd_195_nonot_4
tomwate	tomwate	TOMWATE	abvd	PERSON	abvd_53_personhumanbeing_1
tuwet	tuwet	TUWET	abvd	OLD	-
tél	tl	TL	abvd	THREE	abvd_199_three_1
télan	tlan	TLAN	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
udan	udan	UDAN	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
ulu	ulu	ULU	abvd	HEAD	abvd_24_head_1
wakar	wakar	WAKAR	abvd	ROOT	abvd_115_root_2
wéye	wye	WUE	abvd	WATER	abvd_122_water_2
yaku	yaku	UAKU	abvd	I	abvd_182_i_1
yébas	ybas	UBAS	abvd	THROW	-
énum	num	NUM	abvd	DRINK	abvd_40_todrink_1
ŋai	ai	AI	abvd	BLUNT	-
ŋarak	arak	ARAK	abvd	YEAR	abvd_169_year_3
ŋare	are	ARE	abvd	NAME	abvd_63_name_1
