Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aːhaːra	aːhaːra	AHARA	northeuralex	FOOD	-
aːhʋaːn̪ɪsu	aːhʋaːn̪ɪsu	AHWANISU	northeuralex	INVITE	-
aːji	aːji	AYI	northeuralex	PICK UP	-
aːkaːra	aːkaːra	AKARA	northeuralex	IDOL	-
aːkrəmɪsu	aːkrəmɪsu	AKREMISU	northeuralex	SEIZE	-
aːləsa	aːləsa	ALESA	northeuralex	LAZY	-
aːlɪsu	aːlɪsu	ALISU	northeuralex	LISTEN	-
aːmeːle	aːmeːle	AMELE	northeuralex	AFTERWARDS	-
aːn̪əŋd̪a	aːn̪əŋd̪a	ANENDA	northeuralex	HAPPINESS	-
aːroːɡja	aːroːgja	AROGYA	northeuralex	HEALTHY	-
aːru	aːru	ARU	northeuralex	SIX	-
aːrəŋbʰɪsu	aːrəŋbʰɪsu	ARENBISU	northeuralex	683_begin	-
aːrɪsu	aːrɪsu	ARISU	northeuralex	CHOOSE	-
aːsəre	aːsəre	ASERE	northeuralex	SUPPORT (OF OBJECT)	-
aːt̪ma	aːt̪ma	ATMA	northeuralex	SPIRIT	-
aːt̪ʊrəpəɖu	aːt̪ʊrəpəɖu	ATUREPEDU	northeuralex	HURRY	-
aːɖu	aːɖu	ADU	northeuralex	PLAY	-
aːɡa	aːga	AGA	northeuralex	THEN	-
aːɡaːɡa	aːgaːga	AGAGA	northeuralex	SOMETIMES	-
aːɡu	aːgu	AGU	northeuralex	BECOME	-
aːɡəleː	aːgəleː	AGELE	northeuralex	ALREADY	-
aːɭu	aːɭu	ALU	northeuralex	MAN	-
aːɳi	aːɳi	ANI	northeuralex	NAIL (TOOL)	-
aːʈa	aːʈa	ATA	northeuralex	GAME	-
baːji	baːji	BAYI	northeuralex	MOUTH	-
baːla	baːla	BALA	northeuralex	TAIL	-
baːn̪e	baːn̪e	BANE	northeuralex	BUCKET	-
baːn̪u	baːn̪u	BANU	northeuralex	SKY	-
baːru	baːru	BARU	northeuralex	STRAP	-
baːrɪsu	baːrɪsu	BARISU	northeuralex	CHIME (ACTION)	-
baːt̪u	baːt̪u	BATU	northeuralex	DUCK	-
baːt͡ʃu	baːtʃu	BATSU	northeuralex	COMB (VERB)	-
baːɡɪlu	baːgɪlu	BAGILU	northeuralex	DOOR	-
baːʋi	baːʋi	BAWI	northeuralex	WELL	-
beːjɪsu	beːjɪsu	BEYISU	northeuralex	BAKE	-
beːli	beːli	BELI	northeuralex	FENCE	-
beːn̪ɛbiːɭu	beːn̪ɛbiːɭu	BENEBILU	northeuralex	BECOME SICK	-
beːre	beːre	BERE	northeuralex	DIFFERENT	-
beːru	beːru	BERU	northeuralex	ROOT	-
beːɖu	beːɖu	BEDU	northeuralex	ASK (REQUEST)	-
beːɡa	beːga	BEGA	northeuralex	SOON	-
beːʈɛjaːɖu	beːʈɛjaːɖu	BETEYADU	northeuralex	HUNT	-
biːd͡ʒa	biːdʒa	BIDSA	northeuralex	GRAIN	-
biːru	biːru	BIRU	northeuralex	SHELF	-
biːɭu	biːɭu	BILU	northeuralex	TUMBLE (FALL DOWN)	-
biːɭɪsu	biːɭɪsu	BILISU	northeuralex	DROP (SOMETHING)	-
boːd̪hɪsu	boːd̪hɪsu	BODHISU	northeuralex	911_instruct	-
boːn̪u	boːn̪u	BONU	northeuralex	TRAP (PITFALL)	-
buːd̪i	buːd̪i	BUDI	northeuralex	ASH	-
buːd̪ʊbəɳːəd̪a	buːd̪ʊbəɳːəd̪a	BUDUBENEDA	northeuralex	GREY	-
buːʈu	buːʈu	BUTU	northeuralex	BOOT	-
bəd̪əlaːjɪsu	bəd̪əlaːjɪsu	BEDELAYISU	northeuralex	CHANGE	-
bəhu	bəhu	BEHU	northeuralex	VERY	-
bəjəke	bəjəke	BEYEKE	northeuralex	216_wish	-
bəjəsu	bəjəsu	BEYESU	northeuralex	WANT	-
bəla	bəla	BELA	northeuralex	391_force	-
bəle	bəle	BELE	northeuralex	NET	-
bəre	bəre	BERE	northeuralex	WRITE	-
bərt͡ʃ_məra	bərtʃməra	BERTSMERA	northeuralex	BIRCH	-
bəru	bəru	BERU	northeuralex	COME	-
bəŋd̪uːku	bəŋd̪uːku	BENDUKU	northeuralex	GUN	-
bəŋd͡ʒərʊ_bʰuːmi	bəŋdʒərʊbʰuːmi	BENDSERUBUMI	northeuralex	MOORLAND	-
bəɖa	bəɖa	BEDA	northeuralex	POOR	-
bəɡʊɭu	bəgʊɭu	BEGULU	northeuralex	BARKING	-
bəɡːɪsu	bəgːɪsu	BEGISU	northeuralex	841_bow	-
bəɭəlu	bəɭəlu	BELELU	northeuralex	GET TIRED	-
