Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-gu	gu	GU	abvd	CUT OR HACK	-
-kano	kano	KANO	abvd	SEE	-
-ki...sa	kisa	KISA	abvd	OPEN	-
-kimale	kimale	KIMALE	abvd	LAUGH	-
-ko	ko	KO	abvd	SWIM	-
-male	male	MALE	abvd	LAUGH	-
-mbalu	mbalu	MBALU	abvd	BE DEAD OR DIE	-
-miya	miya	MIUA	abvd	WALK	-
-mo	mo	MO	abvd	COME	abvd_7_tocome_1
-mu	mu	MU	abvd	DRINK	abvd_40_todrink_1
-mwã	mw	MW	abvd	FEAR (BE AFRAID)	-
-te	te	TE	abvd	CUT OR HACK	abvd_78_tocuthack_1
-tã	t	T	abvd	CRY	abvd_34_tocry_1
-ŋgu	gu	GU	abvd	SAY	-
a	a	A	abvd	STONE	-
adi	adi	ADI	abvd	FATHER	-
ai-gĩ	aig	AIG	abvd	EAT	-
alẽ	al	AL	abvd	WATER	-
anda	anda	ANDA	abvd	GOOD	-
andalawa	andalawa	ANDALAWA	abvd	PATH OR ROAD	abvd_6_roadpath_1
asalã	asal	ASAL	abvd	SHOULDER	-
au	au	AU	abvd	WIND	-
baba	baba	BABA	abvd	ABOVE	-
bala	bala	BALA	abvd	YOU	-
balĩ	bal	BAL	abvd	LONG	-
bambalã	bambal	BAMBAL	abvd	TONGUE	-
bilalo	bilalo	BILALO	abvd	FOREST	-
bumbũ	bumb	BUMB	abvd	RED	-
buyu	buyu	BUUU	abvd	SKY	-
da	da	DA	abvd	HOUSE	-
dene	dene	DENE	abvd	THIS	-
dini	dini	DINI	abvd	THAT	-
do	do	DO	abvd	LOUSE	-
dome	dome	DOME	abvd	BACK	-
e	e	E	abvd	HE OR SHE	abvd_184_heshe_1
gabo	gabo	GABO	abvd	BIG	-
galawe	galawe	GALAWE	abvd	MOON	-
gimba	gimba	GIMBA	abvd	PAINFUL OR SICK	-
godotome	godotome	GODOTOME	abvd	ALL	-
guluwa	guluwa	GULUWA	abvd	CHILD	-
gulũ	gul	GUL	abvd	SKY	-
gupelẽ	gupel	GUPEL	abvd	ROTTEN	-
gẽ	g	G	abvd	AT	-
i	i	I	abvd	FISH	abvd_111_fish_1
iya	iya	IUA	abvd	FEMALE PERSON	-
jala	jala	YALA	abvd	YEAR	-
kai	kai	KAI	abvd	THOU	-
kala	kala	KALA	abvd	WE	-
kia	kia	KIA	abvd	I	-
kiã	ki	KI	abvd	DOG	-
kokole	kokole	KOKOLE	abvd	SMALL	-
kunuŋgwã	kunugw	KUNUGW	abvd	OLD	-
labalã	labal	LABAL	abvd	HEAD	-
lau	lau	LAU	abvd	LEAF	abvd_114_leaf_1
lilĩ	lil	LIL	abvd	GRASS	-
lita	lita	LITA	abvd	FIVE	-
