Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ɡui̯	gui	GUI	northeuralex	NOT	-
-ʊɮăx	ʊɮax	ULAK	northeuralex	CAUSE TO (LET)	-
ajăɢă	ajaɢa	AYAGA	northeuralex	CUP	-
ajăɢăɮăx	ajaɢaɮax	AYAGALAK	northeuralex	POUR	-
ajăɮɢʊ	ajaɮɢʊ	AYALGU	northeuralex	TONE (MUSIC)	-
am	am	AM	northeuralex	MOUTH	-
amraxɡui̯_pai̯x	amraxguipaix	AMRAKGUIPAIK	northeuralex	BOTHER (HARASS)	-
amrăx	amrax	AMRAK	northeuralex	REST	-
amsăt͡ʃ_ŭt͡sĕx	amsatʃutsex	AMSATSUTSEK	northeuralex	TASTE (SOMETHING)	-
amtʰ	amtʰ	AMT	northeuralex	TASTE	-
amtʰtʰai̯	amtʰtʰai	AMTTAI	northeuralex	TASTY	-
amɮăx	amɮax	AMLAK	northeuralex	PROMISE	-
amʲ	amʲ	AM	northeuralex	LIFE	-
amʲsɢa	amʲsɢa	AMSGA	northeuralex	BREATH	-
amʲsɢăɮăx	amʲsɢaɮax	AMSGALAK	northeuralex	BREATHE	-
amʲt	amʲt	AMT	northeuralex	BE ALIVE	-
amʲtrăx	amʲtrax	AMTRAK	northeuralex	BE ALIVE	-
amʲtrăɮ	amʲtraɮ	AMTRAL	northeuralex	LIFE	-
amʲtʰai̯	amʲtʰai	AMTAI	northeuralex	BE ALIVE	-
amʲtʰăŋ	amʲtʰaŋ	AMTAN	northeuralex	ANIMAL	-
anx	anx	ANK	northeuralex	AT FIRST	-
anʲir	anʲir	ANIR	northeuralex	SOUND OR NOISE	-
ar	ar	AR	northeuralex	BACK	-
arai̯	arai	ARAI	northeuralex	HARDLY	-
arai̯_ɡĕt͡ʃ	araigetʃ	ARAIGETS	northeuralex	HARDLY	-
arăw̜	araw	ARAW	northeuralex	TEN	-
arăw̜tʊ̆ɢar_săr	arawtʊɢarsar	ARAWTUGARSAR	northeuralex	OCTOBER	-
arăɮ	araɮ	ARAL	northeuralex	ISLAND	-
art	art	ART	northeuralex	BEHIND	-
art͡ʃʰʲix	artʃʲʰix	ARTSIK	northeuralex	WIPE	-
arw̜ăn_nĕɡ	arwanneg	ARWANNEG	northeuralex	ELEVEN	-
arw̜ăn_nĕɡtŭɡer_săr	arwannegtugersar	ARWANNEGTUGERSAR	northeuralex	NOVEMBER	-
arw̜ăn_xɔ̆jɔ̆r	arwanxɔjɔr	ARWANKOYOR	northeuralex	TWELVE	-
