Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ក	kɑː	KA	wikipron	-	-
កក	kɑːʔ	KAH	wikipron	-	-
កករ	kɑkɑː	KAKA	wikipron	-	-
កកាយ	kɑkaːj	KAKAY	wikipron	-	-
កកិត	kɑkət	KAKET	wikipron	-	-
កកិល	kɑkəl	KAKEL	wikipron	-	-
កកូរ	kɑkou	KAKOU	wikipron	-	-
កកេរ	kɑkeː	KAKE	wikipron	-	-
កកេះ	kɑkeh	KAKEH	wikipron	-	-
កក់	kɑʔ	KAH	wikipron	-	-
កក្កដា	kaʔkəɗaː	KAHKEDA	wikipron	-	-
កខុប	kɑkʰop	KAKOP	wikipron	-	-
កខ្វក់	kɑʔʋɑʔ	KAHWAH	wikipron	-	-
កង	kɑːŋ	KAN	wikipron	-	-
កង់	kɑŋ	KAN	wikipron	-	-
កង់បេរ៉ា	kɑŋɓeːraː	KANBERA	wikipron	-	-
កង់ស៊ែរ	kɑŋsɛː	KANSE	wikipron	-	-
កង់ហ្គូរូ	kɑŋɡuːruː	KANGURU	wikipron	-	-
កង្កែប	kɑŋkaep	KANKAEP	wikipron	-	-
កង្ខា	kaŋkʰaː	KANKA	wikipron	-	-
កង្ខើញ	kɑŋkʰaəɲ	KANKAEN	wikipron	-	-
កង្វល់	kɑŋʋɑl	KANWAL	wikipron	-	-
កង្វិន	kɑŋʋən	KANWEN	wikipron	-	-
កង្វះ	kɑŋʋah	KANWAH	wikipron	-	-
កង្ហារ	kɑŋhaː	KANHA	wikipron	-	-
កង្ហែន	kɑŋhaen	KANHAEN	wikipron	-	-
កញ្ចក់	kɑɲcɑʔ	KANKAH	wikipron	-	-
កញ្ចប់	kɑɲcɑp	KANKAP	wikipron	-	-
កញ្ចាស់	kɑɲcah	KANKAH	wikipron	-	-
កញ្ចុះ	kɑɲcoh	KANKOH	wikipron	-	-
កញ្ចែ	kɑɲcae	KANKAE	wikipron	-	-
កញ្ឆា	kɑɲcʰaː	KANKA	wikipron	-	-
កញ្ឆែត	kɑɲcʰaet	KANKAET	wikipron	-	-
កញ្ជួ	kɑɲcuə	KANKUE	wikipron	-	-
កញ្ជើ	kɑɲcəː	KANKE	wikipron	-	-
កញ្ជែះ	kɑɲcɛh	KANKEH	wikipron	-	-
កញ្ជះ	kɑɲcĕəh	KANKEH	wikipron	-	-
កញ្ជ្រឹល	kɑɲcrɨl	KANKRIL	wikipron	-	-
កញ្ជ្រួច	kɑɲcruəc	KANKRUEK	wikipron	-	-
កញ្ជ្រោង	kɑɲcroːŋ	KANKRON	wikipron	-	-
កញ្ញា	kaɲɲaː	KANNA	wikipron	-	-
