Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-lakatuluwatala	lakatuluwatala	LAKATULUWATALA	abvd	THOUSAND	-
-lakatutala	lakatutala	LAKATUTALA	abvd	HUNDRED	abvd_209_onehundred_56
-lima -tala	limatala	LIMATALA	abvd	SIX	-
-lima -tolu	limatolu	LIMATOLU	abvd	EIGHT	-
-lima -vasi	limavasi	LIMABASI	abvd	NINE	abvd_205_nine_11
-lima -yu	limayu	LIMAUU	abvd	SEVEN	abvd_203_seven_5
-luwalima	luwalima	LUWALIMA	abvd	FIFTY	-
-luwatala	luwatala	LUWATALA	abvd	TEN	-
-luwayu	luwayu	LUWAUU	abvd	TWENTY	-
-mimi-	mimi	MIMI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
amakala	amakala	AMAKALA	abvd	HOW	-
ambesa	ambesa	AMBESA	abvd	WHERE	-
avaka	avaka	ABAKA	abvd	WHAT	abvd_188_what_1
avela	avela	ABELA	abvd	WHO	abvd_189_who_12
avetuta	avetuta	ABETUTA	abvd	WHEN	abvd_170_when_50
bagula	bagula	BAGULA	abvd	WORK (ACTIVITY)	abvd_83_towork_19
basi	basi	BASI	abvd	SEW	abvd_67_tosew_53
bogi	bogi	BOGI	abvd	NIGHT	abvd_167_night_1
buyai	buyai	BUUAI	abvd	BLOOD	abvd_23_blood_33
bwabwau	bwabwau	BWABWAU	abvd	BLACK	abvd_147_black_42
bwala	bwala	BWALA	abvd	HOUSE	abvd_61_house_43
bwalita	bwalita	BWALITA	abvd	SEA	abvd_124_sea_50
bwarila	bwarila	BWARILA	abvd	SEA	abvd_124_sea_50
bwarilā	bwaril	BWARIL	abvd	SEA	abvd_124_sea_50
bwena	bwena	BWENA	abvd	GOOD	abvd_164_good_37
bweyani	bweyani	BWEUANI	abvd	RED	abvd_149_red_26
dagula	dagula	DAGULA	abvd	FEATHER	abvd_99_feather_13
dakuna	dakuna	DAKUNA	abvd	STONE	abvd_120_stone_32
debwali	debwali	DEBWALI	abvd	FALL	-
degila	degila	DEGILA	abvd	YELLOW	-
deli	deli	DELI	abvd	AND	-
ei	ei	EI	abvd	AND	abvd_192_and_8
gaga	gaga	GAGA	abvd	BAD OR EVIL	abvd_165_badevil_60
gala	gala	GALA	abvd	NO OR NOT	abvd_195_nonot_23
geda	geda	GEDA	abvd	BITE	abvd_41_tobite_46
gigila	gigila	GIGILA	abvd	LAUGH	abvd_33_tolaugh_85
gimwala	gimwala	GIMWALA	abvd	BUY	abvd_91_tobuy_17
ginibabi	ginibabi	GINIBABI	abvd	STAB	-
gisi	gisi	GISI	abvd	SEE	abvd_46_tosee_1
giu	giu	GIU	abvd	SPIT	abvd_36_tospit_65
guugwau	guugwau	GUUGWAU	abvd	FOG	abvd_132_fog_1
gwadi	gwadi	GWADI	abvd	CHILD	abvd_56_child_39
ilara	ilara	ILARA	abvd	SHOULDER	-
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
inia	inia	INIA	abvd	FISH	abvd_111_fish_1
inya	inya	INUA	abvd	FISH	abvd_111_fish_1
ituali	ituali	ITUALI	abvd	OTHER	-
kabulu	kabulu	KABULU	abvd	NOSE	abvd_27_nose_1
kaduwanaku	kaduwanaku	KADUWANAKU	abvd	FAR	-
kaduyakekita	kaduyakekita	KADUUAKEKITA	abvd	NARROW	-
kaduyaveka	kaduyaveka	KADUUABEKA	abvd	WIDE	-
kai	kai	KAI	abvd	STICK	abvd_79_stickwood_1
kaike	kaike	KAIKE	abvd	FOOT OR LEG	abvd_4_legfoot_1
kakata	kakata	KAKATA	abvd	RIGHT	-
kakaya	kakaya	KAKAUA	abvd	SWIM	abvd_9_toswim_32
kalawa	kalawa	KALAWA	abvd	COUNT	abvd_196_tocount_67
kaliga	kaliga	KALIGA	abvd	BE DEAD OR DIE	abvd_75_todiebedead_46
kalumwala	kalumwala	KALUMWALA	abvd	THATCH OR ROOF	abvd_62_thatchroof_70
kam	kam	KAM	abvd	EAT	abvd_37_toeat_1
kanaina	kanaina	KANAINA	abvd	SKIN	abvd_12_skin_53
kanainela	kanainela	KANAINELA	abvd	SKIN	abvd_12_skin_53
kapiwa	kapiwa	KAPIWA	abvd	SPIDER	-
kata	kata	KATA	abvd	LIVER	abvd_17_liver_1
kata|mati	katamati	KATAMATI	abvd	KILL	abvd_74_tokill_2
katoula	katoula	KATOULA	abvd	PAINFUL OR SICK	abvd_160_painfulsick_74
katumati	katumati	KATUMATI	abvd	KILL	abvd_74_tokill_2
katupwana	katupwana	KATUPWANA	abvd	HIDE	abvd_171_tohide_54
kaui	kaui	KAUI	abvd	CHEW	abvd_38_tochew_67
kaukwa	kaukwa	KAUKWA	abvd	DOG	abvd_96_dog_17
kawelu	kawelu	KAWELU	abvd	FRUIT	-
kayawasi	kayawasi	KAUAWASI	abvd	YAWN	abvd_47_toyawn_15
keda	keda	KEDA	abvd	PATH OR ROAD	abvd_6_roadpath_12
kei|tubu	keitubu	KEITUBU	abvd	GROW	abvd_86_togrow_1
keki-la	kekila	KEKILA	abvd	FOOT OR LEG	abvd_4_legfoot_1
kekita	kekita	KEKITA	abvd	SMALL	abvd_152_small_38
keki|la	kekila	KEKILA	abvd	FOOT OR LEG	abvd_4_legfoot_1
kenu	kenu	KENU	abvd	LIE DOWN	abvd_49_toliedown_1
keri	keri	KERI	abvd	DIG	abvd_90_todig_1
keuna	keuna	KEUNA	abvd	SNAKE	-
keyona	keyona	KEUONA	abvd	NECK	abvd_25_neck_90
kida	kida	KIDA	abvd	RIGHT	-
kidamwa	kidamwa	KIDAMWA	abvd	IF	-
