Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
adaş	adaʃ	ADAS	wikipron	-	-
afsâr	afsɒɾ	APSR	wikipron	-	-
afsâr	afsɒːɾ	APSR	wikipron	-	-
afsâr	ɑv̥sɑːɾ	ABSAR	wikipron	-	-
afsâr	ɑwsɒːɾ	AWSR	wikipron	-	-
afsûn	afsuːn	APSUN	wikipron	-	-
Allâh	allɒːh	ALLH	wikipron	-	-
almaq	almaq	ALMAK	wikipron	-	-
alt	aːlt	ALT	wikipron	-	-
alta	alta	ALTA	wikipron	-	-
alta	ɑltɒ	ALT	wikipron	-	-
alta	ɒltɒ	LT	wikipron	-	-
altamıncı	altamɪnd͡ʒɪ	ALTAMINSI	wikipron	-	-
altmış	altmɪ̈ʃ	ALTMIS	wikipron	-	-
altmış	altmʊʃ	ALTMUS	wikipron	-	-
altmış	ɒltmiʃ	LTMIS	wikipron	-	-
alımla	alɪmla	ALIMLA	wikipron	-	-
alımla	alʊmla	ALUMLA	wikipron	-	-
alımla	alʊmlaˑ	ALUMLA	wikipron	-	-
alımla	alʊmlɑ	ALUMLA	wikipron	-	-
alımla	alʊ̜mla	ALUMLA	wikipron	-	-
alımla	alʏmla	ALMLA	wikipron	-	-
alımla	ɑlʊmlɒ	ALUML	wikipron	-	-
alımla	ɑlʊ̞mlɒ	ALUML	wikipron	-	-
ambur	ambʊɾ	AMBUR	wikipron	-	-
ammə	amːæ	AMA	wikipron	-	-
ammə	aˑmːæ	AMA	wikipron	-	-
ammə	æmːæ	AMA	wikipron	-	-
ammə	æ̞mːæ	AMA	wikipron	-	-
ammə	æ̞mːə	AME	wikipron	-	-
ammə	æ̞ˑmːæ	AMA	wikipron	-	-
ammə	ɑmːæ	AMA	wikipron	-	-
amrût	amɾuːʊ̯t	AMRUUT	wikipron	-	-
amı	amu	AMU	wikipron	-	-
amı	amu̞	AMU	wikipron	-	-
amı	amɪ	AMI	wikipron	-	-
amı	aˑmʊ	AMU	wikipron	-	-
amı	ɑmu	AMU	wikipron	-	-
amı	ɑmʊ	AMU	wikipron	-	-
amı	ɑˑmʊ	AMU	wikipron	-	-
anglamaq	aŋlamaq	ANLAMAK	wikipron	-	-
anguştər	aŋɡʊʃtæɾ	ANGUSTAR	wikipron	-	-
angûr	aŋɡuːɾ	ANGUR	wikipron	-	-
aqqar	aqɡ̊ɒˑɾ	AKGR	wikipron	-	-
aqqar	aqɢaɾ	AKGAR	wikipron	-	-
aqqar	aɢ̥ɢ̥ɒˑɾ	AGGR	wikipron	-	-
aqrab	aqɾab	AKRAB	wikipron	-	-
aqîdə	aʁiːdæ	ARIDA	wikipron	-	-
aqıl	aqɪ̈l	AKIL	wikipron	-	-
arpa	aɾpa	ARPA	wikipron	-	-
arqa	aɾqa	ARKA	wikipron	-	-
arxa	aɾχa	ARKA	wikipron	-	-
arzân	aɾzɒːn	ARSN	wikipron	-	-
arıtmaq	aɾʊtmaq	ARUTMAK	wikipron	-	-
arığ	aɾɪʁ	ARIR	wikipron	-	-
arığ	aɾɪ̈ʁ	ARIR	wikipron	-	-
arığ	aɾʊʁ	ARUR	wikipron	-	-
aslən	aslæn	ASLAN	wikipron	-	-
asra	asɾa	ASRA	wikipron	-	-
asra	aɾsa	ARSA	wikipron	-	-
ast	ɑsd̥	ASD	wikipron	-	-
ast	ɒsd̥	SD	wikipron	-	-
astana	astana	ASTANA	wikipron	-	-
astar	astaɾ	ASTAR	wikipron	-	-
axta	aχta	AKTA	wikipron	-	-
ayna	ajna	AYNA	wikipron	-	-
aşğırma	aʃʁʊɾma	ASRURMA	wikipron	-	-
aşğırmaq	aʃʁɪ̈ɾmaq	ASRIRMAK	wikipron	-	-
aşğırmaq	aʃʁʊɾmaq	ASRURMAK	wikipron	-	-
bala	bala	BALA	wikipron	-	-
baldız	balduz	BALDUS	wikipron	-	-
baldız	balduːs̥	BALDUS	wikipron	-	-
baldız	baldɪz	BALDIS	wikipron	-	-
baldız	baldɪ̹z	BALDIS	wikipron	-	-
baldız	baldʊz	BALDUS	wikipron	-	-
bara	baɾa	BARA	wikipron	-	-
barasıça	baɾasɪ̈t͡ʃa	BARASISA	wikipron	-	-
barmaq	baɾmaq	BARMAK	wikipron	-	-
barmaq	bɒɾmɒq	BRMK	wikipron	-	-
basmaq	basmaq	BASMAK	wikipron	-	-
bastırmaq	bastʊɾmaq	BASTURMAK	wikipron	-	-
basılmaq	basʊlmaq	BASULMAK	wikipron	-	-
batmaq	batmaq	BATMAK	wikipron	-	-
batmaq	bɒtmɒq	BTMK	wikipron	-	-
baxt	baχt	BAKT	wikipron	-	-
bayquş	baja̯ʁʊʃ	BAYARUS	wikipron	-	-
bağışlamaq	baʁɪ̈ʃlamaq	BARISLAMAK	wikipron	-	-
baş	baˑʃ	BAS	wikipron	-	-
baş	bæ̞ʃ	BAS	wikipron	-	-
