Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ma	ma	MA	abvd	COME	abvd_7_tocome_1
-vila	vila	BILA	abvd	TURN	abvd_8_toturn_66
badobado	badobado	BADOBADO	abvd	THICK	abvd_157_thick_18
batu	batu	BATU	abvd	BLUNT	abvd_82_dullblunt_25
be	be	BE	abvd	AND	abvd_192_and_24
beku	beku	BEKU	abvd	FALL	abvd_95_tofall_25
beya	beya	BEUA	abvd	WIDE	-
bidala	bidala	BIDALA	abvd	EARTH (SOIL)	abvd_119_earthsoil_90
bolimana	bolimana	BOLIMANA	abvd	WIND	abvd_136_wind_21
bulava	bulava	BULABA	abvd	ROPE	abvd_65_rope_84
bunubunu	bunubunu	BUNUBUNU	abvd	SKIN	abvd_12_skin_55
buta	buta	BUTA	abvd	WET	abvd_141_wet_20
bwaiga	bwaiga	BWAIGA	abvd	BIG	abvd_153_big_121
bwanene	bwanene	BWANENE	abvd	DIRTY	abvd_10_dirty_138
bwavu	bwavu	BWABU	abvd	DRY	abvd_140_dry_106
bwevu	bwevu	BWEBU	abvd	TWO	abvd_198_two_11
dagula	dagula	DAGULA	abvd	FEATHER	abvd_99_feather_13
dakevodi	dakevodi	DAKEBODI	abvd	WE	-
dayaga	dayaga	DAUAGA	abvd	BLOOD	abvd_23_blood_32
dibuna	dibuna	DIBUNA	abvd	BELOW OR UNDER	abvd_176_below_82
didi	didi	DIDI	abvd	BRANCH	abvd_113_branch_56
egavo	egavo	EGABO	abvd	WHO	-
ekavina	ekavina	EKABINA	abvd	HOLD	abvd_89_tohold_117
elaiga	elaiga	ELAIGA	abvd	LAUGH	abvd_33_tolaugh_82
elaumiya	elaumiya	ELAUMIUA	abvd	SIT	-
emu yemu	emuyemu	EMUUEMU	abvd	DRINK	abvd_40_todrink_65
enuwakivina	enuwakivina	ENUWAKIBINA	abvd	CHOOSE	-
etago	etago	ETAGO	abvd	COOK (SOMETHING)	abvd_39_tocook_27
fafe	fafe	PAPE	abvd	WING	abvd_100_wing_21
faisewa	faisewa	PAISEWA	abvd	WORK (ACTIVITY)	abvd_83_towork_20
faiyeta	faiyeta	PAIUETA	abvd	THUNDER	-
