Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abdestxane	ɑːbdɛstxɑːnɛ	ABDESTKANE	wikipron	-	-
abid	ɑːbɪd	ABID	wikipron	-	-
abone	ɑːboːnɛ	ABONE	wikipron	-	-
aborî	ɑːboːɾiː	ABORI	wikipron	-	-
aborînas	ɑːboːɾiːnɑːs	ABORINAS	wikipron	-	-
aborînasî	ɑːboːɾiːnɑːsiː	ABORINASI	wikipron	-	-
abring	ɑːbɾɪŋɡ	ABRING	wikipron	-	-
abrîng	ɑːbɾiːŋɡ	ABRING	wikipron	-	-
absans	ɑːbsɑːns	ABSANS	wikipron	-	-
acer	ɑːd͡ʒɛɾ	ASER	wikipron	-	-
aciz	ɑːd͡ʒɪz	ASIS	wikipron	-	-
aciz	ʕɑːd͡ʒɪz	HASIS	wikipron	-	-
acizayî	ɑːd͡ʒɪzɑːjiː	ASISAYI	wikipron	-	-
acizayî	ʕɑːd͡ʒɪzɑːjiː	HASISAYI	wikipron	-	-
acizî	ɑːd͡ʒɪziː	ASISI	wikipron	-	-
acûr	ɑːd͡ʒuːɾ	ASUR	wikipron	-	-
ada	ɑːdɑː	ADA	wikipron	-	-
adaptasyon	ɑːdɑːptɑːsjoːn	ADAPTASYON	wikipron	-	-
Adar	ɑːdɑːɾ	ADAR	wikipron	-	-
adar	adar	ADAR	northeuralex	MARCH	-
ade	ɑːdɛ	ADE	wikipron	-	-
adet	ɑːdɛt	ADET	wikipron	-	-
adet	ʕɑːdɛt	HADET	wikipron	-	-
adilî	ɑːdɪliː	ADILI	wikipron	-	-
adir	ɑːdɪɾ	ADIR	wikipron	-	-
adodik	ɑːdoːdɪk	ADODIK	wikipron	-	-
adrenalîn	ɑːdɾɛnɑːliːn	ADRENALIN	wikipron	-	-
adu	ɑːdʊ	ADU	wikipron	-	-
aduda	ɑːdʊdɑː	ADUDA	wikipron	-	-
adûde	ɑːduːdɛ	ADUDE	wikipron	-	-
ad͡ʒəz	adʒəz	ADSES	northeuralex	EVIL	-
ad͡ʒəz_kərən	adʒəzkərən	ADSESKEREN	northeuralex	DISTURB	-
aferandin	ɑːfɛɾɑːndɪn	APERANDIN	wikipron	-	-
Afganî	ɑːfɡɑːniː	APGANI	wikipron	-	-
afir	ɑːfɪr	APIR	wikipron	-	-
afir	ɑːfɪɾ	APIR	wikipron	-	-
afirand	ɑːfɪɾɑːnd	APIRAND	wikipron	-	-
afirandibe	ɑːfɪɾɑːndɪbɛ	APIRANDIBE	wikipron	-	-
afirandibim	ɑːfɪɾɑːndɪbɪm	APIRANDIBIM	wikipron	-	-
afirandibin	ɑːfɪɾɑːndɪbɪn	APIRANDIBIN	wikipron	-	-
afirandibî	ɑːfɪɾɑːndɪbiː	APIRANDIBI	wikipron	-	-
afirandibû	ɑːfɪɾɑːndɪbuː	APIRANDIBU	wikipron	-	-
afirandibûya	ɑːfɪɾɑːndɪbuːjɑː	APIRANDIBUYA	wikipron	-	-
afirandibûye	ɑːfɪɾɑːndɪbuːjɛ	APIRANDIBUYE	wikipron	-	-
afirandin	ɑːfɪɾɑːndɪn	APIRANDIN	wikipron	-	-
afirandiye	ɑːfɪɾɑːndɪjɛ	APIRANDIYE	wikipron	-	-
afirmend	ɑːfɪɾmɛnd	APIRMEND	wikipron	-	-
afirîner	ɑːfɪɾiːnɛɾ	APIRINER	wikipron	-	-
afret	ɑːfɾɛt	APRET	wikipron	-	-
afrîkansî	ɑːfɾiːkɑːnsiː	APRIKANSI	wikipron	-	-
afrîkayî	ɑːfɾiːkɑːjiː	APRIKAYI	wikipron	-	-
afrîkî	ɑːfɾiːkiː	APRIKI	wikipron	-	-
afrîqeyî	ɑːfɾiːqɛjiː	APRIKEYI	wikipron	-	-
afsûn	ɑːfsuːn	APSUN	wikipron	-	-
Afxanî	ɑːfxɑːniː	APKANI	wikipron	-	-
afû	ɑːfuː	APU	wikipron	-	-
aga	ɑːɡɑː	AGA	wikipron	-	-
agadar	ɑːɡɑːdɑːɾ	AGADAR	wikipron	-	-
agadarî	ɑːɡɑːdɑːɾiː	AGADARI	wikipron	-	-
agah	ɑːɡɑːh	AGAH	wikipron	-	-
agahdar	ɑːɡɑːhdɑːɾ	AGAHDAR	wikipron	-	-
agahdarî	ɑːɡɑːhdɑːɾiː	AGAHDARI	wikipron	-	-
agahî	ɑːɡɑːhiː	AGAHI	wikipron	-	-
ageh	ɑːɡɛh	AGEH	wikipron	-	-
agehdar	ɑːɡɛhdɑːɾ	AGEHDAR	wikipron	-	-
agehdarî	ɑːɡɛhdɑːɾiː	AGEHDARI	wikipron	-	-
agir	ɑːɡɪɾ	AGIR	wikipron	-	-
agirbazî	ɑːɡɪɾbɑːziː	AGIRBASI	wikipron	-	-
agirbest	ɑːɡɪɾbɛst	AGIRBEST	wikipron	-	-
agirkuj	ɑːɡɪɾkʊʒ	AGIRKUS	wikipron	-	-
agirparêz	ɑːɡɪɾpɑːɾeːz	AGIRPARES	wikipron	-	-
agirparêzî	ɑːɡɪɾpɑːɾeːziː	AGIRPARESI	wikipron	-	-
agirperes	ɑːɡɪɾpɛɾɛs	AGIRPERES	wikipron	-	-
agirperest	ɑːɡɪɾpɛɾɛst	AGIRPEREST	wikipron	-	-
agirperestî	ɑːɡɪɾpɛɾɛstiː	AGIRPERESTI	wikipron	-	-
agirperesî	ɑːɡɪɾpɛɾɛsiː	AGIRPERESI	wikipron	-	-
agirperist	ɑːɡɪɾpɛɾɪst	AGIRPERIST	wikipron	-	-
agonîzm	ɑːɡoːniːzm	AGONISM	wikipron	-	-
aheng	ɑːhɛŋɡ	AHENG	wikipron	-	-
ahengsazî	ɑːhɛŋɡsɑːziː	AHENGSASI	wikipron	-	-
ahûzarî	ɑːhuːzɑːɾiː	AHUSARI	wikipron	-	-
aj	ɑːʒ	AS	wikipron	-	-
ajalnasî	ɑːʒɑːlnɑːsiː	ASALNASI	wikipron	-	-
ajanda	ɑːʒɑːndɑː	ASANDA	wikipron	-	-
ajans	ɑːʒɑːns	ASANS	wikipron	-	-
ajnaberî	ɑːʒnɑːbɛɾiː	ASNABERI	wikipron	-	-
ajne	ɑːʒnɛ	ASNE	wikipron	-	-
ajnê	ɑːʒneː	ASNE	wikipron	-	-
ajo	ɑːʒoː	ASO	wikipron	-	-
ajok	ɑːʒoːk	ASOK	wikipron	-	-
ajokar	ɑːʒoːkɑːɾ	ASOKAR	wikipron	-	-
ajoname	ɑːʒoːnɑːmɛ	ASONAME	wikipron	-	-
ajotin	ɑːʒoːtɪn	ASOTIN	wikipron	-	-
ajotvan	ɑːʒoːtvɑːn	ASOTBAN	wikipron	-	-
ajovan	ɑːʒoːvɑːn	ASOBAN	wikipron	-	-
akincî	ɑːkɪnd͡ʒiː	AKINSI	wikipron	-	-
akoşke	ɑːkoːʃkɛ	AKOSKE	wikipron	-	-
akronîm	ɑːkɾoːniːm	AKRONIM	wikipron	-	-
aksiyon	ɑːksɪjoːn	AKSIYON	wikipron	-	-
aktîvîzm	ɑːktiːviːzm	AKTIBISM	wikipron	-	-
akûşke	ɑːkuːʃkɛ	AKUSKE	wikipron	-	-
al	ɑːl	AL	wikipron	-	-
ala	ɑːlɑː	ALA	wikipron	-	-
alan	ɑːlɑːn	ALAN	wikipron	-	-
alandibe	ɑːlɑːndɪbɛ	ALANDIBE	wikipron	-	-
alandibim	ɑːlɑːndɪbɪm	ALANDIBIM	wikipron	-	-
alandibin	ɑːlɑːndɪbɪn	ALANDIBIN	wikipron	-	-
alandibî	ɑːlɑːndɪbiː	ALANDIBI	wikipron	-	-
alandibû	ɑːlɑːndɪbuː	ALANDIBU	wikipron	-	-
alandibûya	ɑːlɑːndɪbuːjɑː	ALANDIBUYA	wikipron	-	-
alandin	ɑːlɑːndɪn	ALANDIN	wikipron	-	-
alandiye	ɑːlɑːndɪjɛ	ALANDIYE	wikipron	-	-
alanîn	ɑːlɑːniːn	ALANIN	wikipron	-	-
alastin	ɑːlɑːstɪn	ALASTIN	wikipron	-	-
alastən	alastən	ALASTEN	northeuralex	LICK	-
alav	ɑːlɑːv	ALAB	wikipron	-	-
Albanya	ɑːlbɑːnjɑː	ALBANYA	wikipron	-	-
albanî	ɑːlbɑːniː	ALBANI	wikipron	-	-
alegorî	ɑːlɛɡoːɾiː	ALEGORI	wikipron	-	-
alek	ɑːlɛk	ALEK	wikipron	-	-
alfabe	ɑːlfɑːbɛ	ALPABE	wikipron	-	-
alfavît	ɑːlfɑːviːt	ALPABIT	wikipron	-	-
alif	ɑːlɪf	ALIP	wikipron	-	-
alifba	ɑːlɪfbɑː	ALIPBA	wikipron	-	-
alik	ɑːlɪk	ALIK	wikipron	-	-
alikari	alikari	ALIKARI	northeuralex	HELP (ASSISTANCE)	-
alistin	ɑːlɪstɪn	ALISTIN	wikipron	-	-
alizîn	ɑːlɪziːn	ALISIN	wikipron	-	-
alkan	ɑːlkʰɑːn	ALKAN	wikipron	-	-
Almanya	ɑːlmɑːnjɑː	ALMANYA	wikipron	-	-
almanî	ɑːlmɑːniː	ALMANI	wikipron	-	-
almas	ɑːlmɑːs	ALMAS	wikipron	-	-
almast	ɑːlmɑːst	ALMAST	wikipron	-	-
almaz	ɑːlmɑːz	ALMAS	wikipron	-	-
alos	ɑːloːs	ALOS	wikipron	-	-
aloz	ɑːloːz	ALOS	wikipron	-	-
alozyan	ɑːloːzjɑːn	ALOSYAN	wikipron	-	-
alozî	ɑːloːziː	ALOSI	wikipron	-	-
alqut	ɑːlqʊt	ALKUT	wikipron	-	-
alqût	ɑːlquːt	ALKUT	wikipron	-	-
alt	ɑːlt	ALT	wikipron	-	-
alt	ɑːltʰ	ALT	wikipron	-	-
altax	ɑːltɑːx	ALTAK	wikipron	-	-
altaxî	ɑːltɑːxiː	ALTAKI	wikipron	-	-
altdar	ɑːltʰdɑːɾ	ALTDAR	wikipron	-	-
alternatîv	ɑːltɛɾnɑːtiːv	ALTERNATIB	wikipron	-	-
altindar	ɑːltʰɪndɑːɾ	ALTINDAR	wikipron	-	-
altindarî	ɑːltʰɪndɑːɾiː	ALTINDARI	wikipron	-	-
altker	ɑːltʰkɛɾ	ALTKER	wikipron	-	-
alêstin	ɑːleːstɪn	ALESTIN	wikipron	-	-
alî	ɑːliː	ALI	wikipron	-	-
alîgir	ɑːliːɡɪɾ	ALIGIR	wikipron	-	-
alîgirî	ɑːliːɡɪɾiː	ALIGIRI	wikipron	-	-
alîk	ɑːliːk	ALIK	wikipron	-	-
alîkar	ɑːliːkʰɑːɾ	ALIKAR	wikipron	-	-
alîkarî	ɑːliːkʰɑːɾiː	ALIKARI	wikipron	-	-
alîn	ɑːliːn	ALIN	wikipron	-	-
alînegir	ɑːliːnɛɡɪɾ	ALINEGIR	wikipron	-	-
alînok	ɑːliːnoːk	ALINOK	wikipron	-	-
alîsork	ɑːliːsoːɾk	ALISORK	wikipron	-	-
alîstin	ɑːliːstɪn	ALISTIN	wikipron	-	-
alû	ɑːluː	ALU	wikipron	-	-
alûce	ɑːluːd͡ʒɛ	ALUSE	wikipron	-	-
alûme	ɑːluːmɛ	ALUME	wikipron	-	-
alûçe	ɑːluːt͡ʃɛ	ALUSE	wikipron	-	-
aləqandən	aləqandən	ALEKANDEN	northeuralex	HANG UP	-
am	am	AM	northeuralex	UNCLE	-
