Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ba'tu	batu	BATU	abvd	STONE	abvd_120_stone_1
babing na manuk	babingnamanuk	BABINGNAMANUK	abvd	LOUSE	-
bagakwang	bagakwang	BAGAKWANG	abvd	BACK	-
bagu	bagu	BAGU	abvd	NEW	abvd_163_new_1
bakaʔ	bakaʔ	BAKAH	abvd	MOUTH	abvd_30_mouth_1
baklig	baklig	BAKLIG	abvd	OLD	-
balay	balay	BALAU	abvd	HOUSE	abvd_61_house_14
banggɨt	banggɨt	BANGGIT	abvd	FASTEN	-
bayad	bayad	BAUAD	abvd	BUY	abvd_91_tobuy_5
bayu	bayu	BAUU	abvd	POUND	abvd_93_topoundbeat_1
bilad	bilad	BILAD	abvd	DRY	abvd_140_dry_42
bintu	bintu	BINTU	abvd	THROW	abvd_94_tothrow_45
bitun	bitun	BITUN	abvd	STAR	abvd_130_star_1
boʔ	boʔ	BOH	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_71
bubay	bubay	BUBAU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bulak	bulak	BULAK	abvd	FLOWER	abvd_116_flower_22
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bunga	bunga	BUNGA	abvd	FRUIT	abvd_117_fruit_9
buntit	buntit	BUNTIT	abvd	BELLY	-
bɨktɨn	bɨktɨn	BIKTIN	abvd	HAND	abvd_1_hand_29
da:gat	dagat	DAGAT	abvd	SEA	abvd_124_sea_25
da:gɨm	dagɨm	DAGIM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dadanɨg	dadanɨg	DADANIG	abvd	THUNDER	-
dakulaʔ	dakulaʔ	DAKULAH	abvd	BIG	abvd_153_big_22
dalid	dalid	DALID	abvd	ROOT	abvd_115_root_9
danaw	danaw	DANAW	abvd	LAKE	abvd_126_lake_1
dawun	dawun	DAWUN	abvd	LEAF	abvd_114_leaf_1
dilaʔ	dilaʔ	DILAH	abvd	TONGUE	abvd_32_tongue_4
dilip magtalim	dilipmagtalim	DILIPMAGTALIM	abvd	BLUNT	-
diliʔ	diliʔ	DILIH	abvd	NO OR NOT	abvd_195_nonot_2
du'wa	duwa	DUWA	abvd	TWO	abvd_198_two_1
du'wam 'pulu	duwampulu	DUWAMPULU	abvd	TWENTY	abvd_207_twenty_3
dugsang	dugsang	DUGSANG	abvd	STAB	abvd_71_tostabpierce_36
duguʔ	duguʔ	DUGUH	abvd	BLOOD	abvd_23_blood_16
dɨngɨg	dɨngɨg	DINGIG	abvd	HEAR	abvd_44_tohear_1
dɨt	dɨt	DIT	abvd	HUNT	-
gabi	gabi	GABI	abvd	NIGHT	abvd_167_night_21
giling	giling	GILING	abvd	TURN	abvd_8_toturn_4
ka:n	kan	KAN	abvd	EAT	abvd_37_toeat_1
kadet	kadet	KADET	abvd	ALL	abvd_191_all_27
kagulangan	kagulangan	KAGULANGAN	abvd	FOREST	abvd_127_woodsforest_58
kalintu	kalintu	KALINTU	abvd	RIGHT	abvd_3_right_5
kamulamula	kamulamula	KAMULAMULA	abvd	SHY OR ASHAMED	-
kanu	kanu	KANU	abvd	WHEN	abvd_170_when_10
kapay	kapay	KAPAU	abvd	SWIM	abvd_9_toswim_33
katabaʔ	katabaʔ	KATABAH	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_23
katulug	katulug	KATULUG	abvd	SLEEP	abvd_48_tosleep_1
kawala	kawala	KAWALA	abvd	LEFT	abvd_2_left_25
kawuy	kawuy	KAWUU	abvd	STICK	abvd_79_stickwood_1
kaʔadiʔan	kaʔadiʔan	KAHADIHAN	abvd	KNOW (SOMETHING)	-
kilat	kilat	KILAT	abvd	LIGHTNING	abvd_135_lightning_1
kindal	kindal	KINDAL	abvd	SKIN	abvd_12_skin_39
kitaʔ	kitaʔ	KITAH	abvd	SEE	abvd_46_tosee_1
