Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ak	ak	AK	abvd	THROW	-
areas	areas	AREAS	abvd	FAR	abvd_180_far_32
aŋra	ara	ARA	abvd	GREEN	-
kama	kama	KAMA	abvd	WE	abvd_185_we_E
kimi	kimi	KIMI	abvd	YOU	abvd_186_you_1
kæmær	kmr	KMR	abvd	WE	-
lem	lem	LEM	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
lepʷol	lepol	LEPOL	abvd	FOREST	-
leβe-βæt	leet	LEET	abvd	NINE	abvd_205_nine_20
liβi-rœ	liir	LIIR	abvd	SEVEN	abvd_203_seven_13
liβi-te	liite	LIITE	abvd	SIX	abvd_202_six_20
liβi-tœl	liitl	LIITL	abvd	EIGHT	abvd_204_eight_5
liβit	liit	LIIT	abvd	FASTEN	abvd_66_totieupfasten_74
lon	lon	LON	abvd	IN	abvd_174_ininside_1
los	los	LOS	abvd	SWIM	abvd_9_toswim_8
lowo-ŋ	lowo	LOWO	abvd	TOOTH	abvd_31_tooth_1
luɣ	luɣ	LUG	abvd	COUNT	abvd_196_tocount_1
læŋ	l	L	abvd	WIND	abvd_136_wind_1
lœlœ	ll	LL	abvd	VOMIT	abvd_35_tovomit_8
mamrir	mamrir	MAMRIR	abvd	COLD	abvd_139_cold_1
mas	mas	MAS	abvd	DRY	abvd_140_dry_11
mat	mat	MAT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mat-sal	matsal	MATSAL	abvd	PATH OR ROAD	abvd_6_roadpath_1
mata-ŋ	mata	MATA	abvd	EYE	abvd_45_eye_1
matwut	matwut	MATWUT	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
mele-βæt	melet	MELET	abvd	SKY	abvd_128_sky_1
memsæɣ	memsɣ	MEMSG	abvd	BREATHE	abvd_28_tobreathe_14
mestul	mestul	MESTUL	abvd	HEAVY	abvd_142_heavy_33
miβinβin	miinin	MIININ	abvd	THIN	abvd_156_thin_1
mono	mono	MONO	abvd	COOK (SOMETHING)	abvd_39_tocook_21
musi	musi	MUSI	abvd	OLD	abvd_162_old_1
muɣ	muɣ	MUG	abvd	MOSQUITO	abvd_109_mosquito_1
muⁿdu-k	muduk	MUDUK	abvd	NOSE	abvd_27_nose_14
mæræn	mrn	MRN	abvd	DAY (NOT NIGHT)	abvd_168_day_6
mæræβ	mr	MR	abvd	FOG	abvd_132_fog_3
mæs	ms	MS	abvd	BIRD	abvd_97_bird_24
mætæstæs	mtsts	MTSTS	abvd	SHARP	abvd_81_sharp_1
mʷa	ma	MA	abvd	SNAKE	abvd_106_snake_12
mʷarat	marat	MARAT	abvd	HUSBAND	abvd_57_husband_63
mʷerat	merat	MERAT	abvd	MALE PERSON	abvd_54_manmale_73
mʷese	mese	MESE	abvd	STAR	abvd_130_star_13
mʷutœ	mut	MUT	abvd	RIGHT	abvd_3_right_5
na	na	NA	abvd	I	abvd_182_i_1
na-sa-ŋ	nasa	NASA	abvd	NAME	abvd_63_name_66
nau	nau	NAU	abvd	SEA	abvd_124_sea_42
naŋis	nais	NAIS	abvd	WHEN	abvd_170_when_1
ni	ni	NI	abvd	HE OR SHE	abvd_184_heshe_1
nik	nik	NIK	abvd	THOU	abvd_183_thou_1
nir	nir	NIR	abvd	THEY	abvd_187_they_1
notok	notok	NOTOK	abvd	DOG	abvd_96_dog_73
nus	nus	NUS	abvd	SPIT	abvd_36_tospit_14
ol	ol	OL	abvd	FLOW	-
on	on	ON	abvd	SAND	abvd_121_sand_1
os	os	OS	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
ra-ntu-ŋ	rantu	RANTU	abvd	CHILD	abvd_56_child_5
rakmi	rakmi	RAKMI	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_79
rara	rara	RARA	abvd	CRY	abvd_34_tocry_68
raɣa	raɣa	RAGA	abvd	STICK	abvd_79_stickwood_1
raβe	rae	RAE	abvd	MOTHER	abvd_59_mother_20
raᵏpʷa	rapa	RAPA	abvd	FEMALE PERSON	abvd_55_womanfemale_78
riŋ	ri	RI	abvd	BURN	abvd_144_toburn_9?
ro	ro	RO	abvd	TWO	abvd_198_two_1
roŋ	ro	RO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_19
roŋo-ŋ	roo	ROO	abvd	FOOT OR LEG	abvd_4_legfoot_17
sa	sa	SA	abvd	WHAT	abvd_188_what_1
saksaka	saksaka	SAKSAKA	abvd	HUNT	abvd_69_tohunt_68
saror	saror	SAROR	abvd	SIT	abvd_51_tosit_72
saŋβul	saul	SAUL	abvd	TEN	abvd_206_ten_5
se	se	SE	abvd	WHO	abvd_189_who_1
sene-ŋ	sene	SENE	abvd	INTESTINES	abvd_16_intestines_1
seri-k	serik	SERIK	abvd	BONE	abvd_15_bone_52
seŋ	se	SE	abvd	PAINFUL OR SICK	abvd_160_painfulsick_111
seɣ pʷæl	seɣpl	SEGPL	abvd	SPLIT	abvd_80_tosplit_1
susur	susur	SUSUR	abvd	SEW	abvd_67_tosew_15
susus	susus	SUSUS	abvd	SUCK	abvd_42_tosuck_25
süsu-ŋ	ssu	SSU	abvd	BREAST	abvd_18_breast_1
sœβ	s	S	abvd	FALL	abvd_95_tofall_13
tama-ŋ	tama	TAMA	abvd	FATHER	abvd_60_father_1
tar	tar	TAR	abvd	CUT OR HACK	abvd_78_tocuthack_1
tau	tau	TAU	abvd	YEAR	abvd_169_year_1
taɣa	taɣa	TAGA	abvd	NO OR NOT	abvd_195_nonot_10
taᵏpʷa-ŋ	tapa	TAPA	abvd	BELLY	abvd_14_belly_36
teβæ-lim	telim	TELIM	abvd	FIVE	abvd_201_five_1
tow	tow	TOW	abvd	STAB	abvd_71_tostabpierce_13
tuwal	tuwal	TUWAL	abvd	ONE	abvd_197_one_9
tuwasraɣa	tuwasraɣa	TUWASRAGA	abvd	FLOWER	abvd_116_flower_34
tuⁿdun	tudun	TUDUN	abvd	PERSON	abvd_53_personhumanbeing_4
tæs	ts	TS	abvd	LAKE	-
tæβrekæt	trekt	TREKT	abvd	STAND	abvd_52_tostand_74?
tæβæris	tris	TRIS	abvd	TURN	abvd_8_toturn_15
tœl	tl	TL	abvd	THREE	abvd_199_three_1
tœr	tr	TR	abvd	HOLD	abvd_89_tohold_35
tœrtœro	trtro	TRTRO	abvd	YELLOW	-
un	un	UN	abvd	DRINK	abvd_40_todrink_1
ur	ur	UR	abvd	LAUGH	abvd_33_tolaugh_13
uβ	u	U	abvd	BLOW (OF WIND)	abvd_137_toblow_4
we	we	WE	abvd	GOOD	abvd_164_good_1
wenwen	wenwen	WENWEN	abvd	WHITE	abvd_148_white_100
wet-ɣa	wetɣa	WETGA	abvd	ROPE	abvd_65_rope_25
weweriu	weweriu	WEWERIU	abvd	BLACK	abvd_147_black_29
wistik	wistik	WISTIK	abvd	SMALL	abvd_152_small_121
wolseto	wolseto	WOLSETO	abvd	EGG	abvd_98_egg_69
wutɣa-ŋ	wutɣa	WUTGA	abvd	BACK	abvd_13_back_80
wəɣiraɣa	wəɣiraɣa	WEGIRAGA	abvd	FRUIT	abvd_117_fruit_1
æsi-aβ	sia	SIA	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
æβur	ur	UR	abvd	DUST	abvd_11_dust_1
ŋolo	olo	OLO	abvd	WET	-
ŋor	or	OR	abvd	SLEEP	abvd_48_tosleep_63
ɣala	ɣala	GALA	abvd	LEFT	abvd_2_left_14
ɣap	ɣap	GAP	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_14
ɣarak	ɣarak	GARAK	abvd	NEW	abvd_163_new_9
ɣemra-ŋ	ɣemra	GEMRA	abvd	TONGUE	abvd_32_tongue_7
ɣil	ɣil	GIL	abvd	DIG	abvd_90_todig_1
ɣin	ɣin	GIN	abvd	WE	abvd_185_we_I
ɣolo-n	ɣolon	GOLON	abvd	TAIL	abvd_105_tail_24
