Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abaga	abaga	ABAGA	abvd	SHOULDER	abvd_19_shoulder_1
abo	abo	ABO	abvd	ASH	abvd_146_ashes_1
adlaw	adlaw	ADLAW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ako	ako	AKO	abvd	I	abvd_182_i_1
alima	alima	ALIMA	abvd	HAND	abvd_1_hand_1
amay	amay	AMAU	abvd	FATHER	abvd_60_father_1
amən	amən	AMEN	abvd	WE	abvd_185_we_1
ano	ano	ANO	abvd	WHAT	abvd_188_what_2
anyo	anyo	ANUO	abvd	YEAR	-
anəm	anəm	ANEM	abvd	SIX	abvd_202_six_1
apat	apat	APAT	abvd	FOUR	abvd_200_four_1
aragyan	aragyan	ARAGUAN	abvd	PATH OR ROAD	abvd_6_roadpath_56
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
aso	aso	ASO	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
atay	atay	ATAU	abvd	LIVER	abvd_17_liver_1
atop	atop	ATOP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
ayam	ayam	AUAM	abvd	DOG	abvd_96_dog_23
baba	baba	BABA	abvd	MOUTH	abvd_30_mouth_1
babaw	babaw	BABAW	abvd	ABOVE	abvd_175_above_2
bag o	bago	BAGO	abvd	NEW	abvd_163_new_1
bakal	bakal	BAKAL	abvd	BUY	abvd_91_tobuy_32
balabaw	balabaw	BALABAW	abvd	RAT	abvd_102_rat_1
balang	balang	BALANG	abvd	THROW	-
balas	balas	BALAS	abvd	SAND	abvd_121_sand_19
balay	balay	BALAU	abvd	HOUSE	abvd_61_house_14
bana	bana	BANA	abvd	HUSBAND	abvd_57_husband_1
bangət	bangət	BANGET	abvd	FASTEN	-
baras	baras	BARAS	abvd	SAND	abvd_121_sand_19
basa	basa	BASA	abvd	WET	abvd_141_wet_1
bata	bata	BATA	abvd	CHILD	abvd_56_child_16
batiis	batiis	BATIIS	abvd	FOOT OR LEG	abvd_4_legfoot_23
bato	bato	BATO	abvd	STONE	abvd_120_stone_1
bayi	bayi	BAUI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bis ak	bisak	BISAK	abvd	CUT OR HACK	-
bitoon	bitoon	BITOON	abvd	STAR	abvd_130_star_1
bonbon	bonbon	BONBON	abvd	SAND	-
bosong	bosong	BOSONG	abvd	BELLY	abvd_14_belly_107
bug at	bugat	BUGAT	abvd	HEAVY	abvd_142_heavy_1
buhok	buhok	BUHOK	abvd	HAIR	abvd_26_hair_1
buksan	buksan	BUKSAN	abvd	OPEN	abvd_92_toopenuncover_1
bukut	bukut	BUKUT	abvd	NO OR NOT	abvd_195_nonot_26
bulak	bulak	BULAK	abvd	FLOWER	abvd_116_flower_22
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bulbol	bulbol	BULBOL	abvd	FEATHER	abvd_99_feather_1
bulbolt	bulbolt	BULBOLT	abvd	HAIR	abvd_26_hair_26
buno	buno	BUNO	abvd	STAB	abvd_71_tostabpierce_26
bəkət	bəkət	BEKET	abvd	NO OR NOT	abvd_195_nonot_26
dagat	dagat	DAGAT	abvd	SEA	abvd_124_sea_25
dagə ob	dagəob	DAGEOB	abvd	THUNDER	abvd_134_thunder_93
dagəm	dagəm	DAGEM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dahon	dahon	DAHON	abvd	LEAF	abvd_114_leaf_1
daləm	daləm	DALEM	abvd	BELOW OR UNDER	abvd_176_below_20
damang	damang	DAMANG	abvd	SPIDER	abvd_110_spider_70
daməl	daməl	DAMEL	abvd	THICK	abvd_157_thick_21
darag	darag	DARAG	abvd	YELLOW	abvd_150_yellow_38
