Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-tːʊɑ	tːʊɑ	TUA	northeuralex	CAUSE TO (LET)	-
abie	ɑbie̯	ABIE	wikipron	-	-
abu	ɑbu	ABU	wikipron	-	-
abuiäni	ɑbuiæ̯nʲi	ABUIANI	wikipron	-	-
adivo	ɑdʲiʋo	ADIWO	wikipron	-	-
adra	ɑdrɑ	ADRA	wikipron	-	-
ahaš	ɑhɑʃ	AHAS	wikipron	-	-
ahašhengine	ɑhɑʒheŋɡinʲe	AHASHENGINE	wikipron	-	-
ahašhenkini	ɑhɑʃheŋkinʲi	AHASHENKINI	wikipron	-	-
ahe	ɑhe	AHE	wikipron	-	-
ahingo	ɑhiŋɡo	AHINGO	wikipron	-	-
ahinko	ɑhiŋko	AHINKO	wikipron	-	-
ahjo	ɑhjo	AHYO	wikipron	-	-
ahkera	ɑhkerɑ	AHKERA	wikipron	-	-
ahkivo	ɑhkiʋo	AHKIWO	wikipron	-	-
ahku	ɑhku	AHKU	wikipron	-	-
ahtivo	ɑhtʲiʋo	AHTIWO	wikipron	-	-
aida	ɑi̯dɑ	AIDA	wikipron	-	-
aiga	ɑi̯ɡɑ	AIGA	wikipron	-	-
aika	ɑi̯kɑ	AIKA	wikipron	-	-
ainoš	ɑi̯noʃ	AINOS	wikipron	-	-
airo	ɑi̯ro	AIRO	wikipron	-	-
aita	ɑi̯tɑ	AITA	wikipron	-	-
aitta	ɑi̯tːɑ	AITA	wikipron	-	-
aivot	ɑi̯ʋot	AIWOT	wikipron	-	-
akka	ɑkːɑ	AKA	wikipron	-	-
akottuo	ɑkotːuo̯	AKOTUO	wikipron	-	-
alah	ɑlɑh	ALAH	wikipron	-	-
allaviivata	ɑlːɑʋiːʋɑtɑ	ALAWIWATA	wikipron	-	-
allaš	ɑlːɑʃ	ALAS	wikipron	-	-
alliguator	ɑlʲːiɡuɑ̯tor	ALIGUATOR	wikipron	-	-
aloveh	ɑloʋeh	ALOWEH	wikipron	-	-
alovehellini	ɑlːoʋehelʲlʲinʲi	ALOWEHELLINI	wikipron	-	-
altina	ɑltʲinɑ	ALTINA	wikipron	-	-
ammatillini	ɑmːɑtʲilʲːinʲi	AMATILINI	wikipron	-	-
apie	ɑpie̯	APIE	wikipron	-	-
appi	ɑpːi	API	wikipron	-	-
appiukko	ɑpːiukːo	APIUKO	wikipron	-	-
apu	ɑpu	APU	wikipron	-	-
ativo	ɑtʲiʋo	ATIWO	wikipron	-	-
atra	ɑtrɑ	ATRA	wikipron	-	-
augusta	ɑu̯ɡustɑ	AUGUSTA	wikipron	-	-
autobušši	ɑu̯tobuʃːi	AUTOBUSI	wikipron	-	-
avtobussa	ɑʋtobusːɑ	AWTOBUSA	wikipron	-	-
bokko	bokːo	BOKO	wikipron	-	-
briha	brihɑ	BRIHA	wikipron	-	-
da	dɑ	DA	wikipron	-	-
dekabri	dʲekɑbrʲi	DEKABRI	wikipron	-	-
eklen	eklen	EKLEN	wikipron	-	-
elo	elo	ELO	wikipron	-	-
elokuu	elokuː	ELOKU	wikipron	-	-
feurali	feu̯rɑlʲi	PEURALI	wikipron	-	-
greču	ɡret͡ʃu	GRESU	wikipron	-	-
guada	ɡuɑ̯dɑ	GUADA	wikipron	-	-
haju	hɑju	HAYU	wikipron	-	-
hammas	hɑmːɑs	HAMAS	wikipron	-	-
hanhi	hɑnhi	HANHI	wikipron	-	-
hapan	hɑpɑn	HAPAN	wikipron	-	-
harakka	hɑrɑkːɑ	HARAKA	wikipron	-	-
harju	hɑrju	HARYU	wikipron	-	-
harmua	hɑrmuɑ̯	HARMUA	wikipron	-	-
harpata	hɑrpɑtɑ	HARPATA	wikipron	-	-
harpauš	hɑrpɑu̯ʃ	HARPAUS	wikipron	-	-
harppauš	hɑrpːɑu̯ʃ	HARPAUS	wikipron	-	-
hauda	hɑu̯dɑ	HAUDA	wikipron	-	-
haugi	hɑu̯ɡi	HAUGI	wikipron	-	-
hauki	hɑu̯ki	HAUKI	wikipron	-	-
hauta	hɑu̯tɑ	HAUTA	wikipron	-	-
hebo	hebo	HEBO	wikipron	-	-
heimo	hei̯mo	HEIMO	wikipron	-	-
heinä	hei̯nʲæ	HEINA	wikipron	-	-
heinäkuu	hei̯nʲækuː	HEINAKU	wikipron	-	-
hengi	heŋɡi	HENGI	wikipron	-	-
henki	heŋki	HENKI	wikipron	-	-
hepo	hepo	HEPO	wikipron	-	-
hibie	hibie̯	HIBIE	wikipron	-	-
hibiehiiri	hibie̯hiːri	HIBIEHIRI	wikipron	-	-
hiiri	hiːri	HIRI	wikipron	-	-
himɔ	himɔ	HIMO	northeuralex	LONGING (WISH)	-
hintɑ	hintɑ	HINTA	northeuralex	PRICE	-
hipie	hipie̯	HIPIE	wikipron	-	-
hipiehiiri	hipie̯hiːri	HIPIEHIRI	wikipron	-	-
hirvi	hirʋi	HIRWI	wikipron	-	-
hirvi	hirvi	HIRBI	northeuralex	ELK	-
hit͡ʃʊtːʊɑ	hitʃʊtːʊɑ	HITSUTUA	northeuralex	SHARPEN (SOMETHING)	-
hivʊs	hivʊs	HIBUS	northeuralex	HAIR	-
hivʊɔ	hivʊɔ	HIBUO	northeuralex	SHARPEN (SOMETHING)	-
hiän	hiæ̯n	HIAN	wikipron	-	-
hiæn	hiæn	HIAN	northeuralex	HE	-
hiɛmɑ	hiɛmɑ	HIEMA	northeuralex	SLEEVE	-
hiɛnɔ	hiɛnɔ	HIENO	northeuralex	FINE OR THIN	-
hiɛrʊɔ	hiɛrʊɔ	HIERUO	northeuralex	RUB	-
hiʊkɑjɑini	hiʊkɑjɑini	HIUKAYAINI	northeuralex	HUNGER	-
hiːli	hiːli	HILI	northeuralex	COAL	-
hiːlʊtʊs	hiːlʊtʊs	HILUTUS	northeuralex	FEVER	-
hiːri	hiːri	HIRI	northeuralex	MOUSE	-
hiːxnɑ	hiːxnɑ	HIKNA	northeuralex	LEASH	-
homeh	homeh	HOMEH	wikipron	-	-
honga	hoŋɡɑ	HONGA	wikipron	-	-
honka	hoŋkɑ	HONKA	wikipron	-	-
Hospodi	hospodʲi	HOSPODI	wikipron	-	-
huja	hujɑ	HUYA	wikipron	-	-
hukka	hukːɑ	HUKA	wikipron	-	-
huomena	huo̯menɑ	HUOMENA	wikipron	-	-
huuli	huːlʲi	HULI	wikipron	-	-
huːli	huːli	HULI	northeuralex	LIP	-
huːrːɛh	huːrːɛh	HUREH	northeuralex	HOARFROST	-
huːtʊɑ	huːtʊɑ	HUTUA	northeuralex	SHOUT	-
huːvvɛh	huːvvɛh	HUBBEH	northeuralex	FOG	-
huːxtʊɔ	huːxtʊɔ	HUKTUO	northeuralex	RINSE	-
hylætæ	hylætæ	HULATA	northeuralex	925_leave	-
hyppy	hypːy	HUPU	wikipron	-	-
hypætæ	hypætæ	HUPATA	northeuralex	JUMP	-
hyvin	hyvin	HUBIN	northeuralex	VERY	-
hyvä	hyʋæ	HUWA	wikipron	-	-
hyvæ	hyvæ	HUBA	northeuralex	GOOD	-
hyö	hyø̯	HUE	wikipron	-	-
hyœ	hyœ	HUE	northeuralex	THEY	-
hyœty	hyœty	HUETU	northeuralex	BENEFIT	-
hämehikki	hæmehikːi	HAMEHIKI	wikipron	-	-
hämähikkö	hæmæhikːø	HAMAHIKE	wikipron	-	-
hæilytːiæ	hæilytːiæ	HAILUTIA	northeuralex	JOG (SOMETHING)	-
hæiritæ	hæiritæ	HAIRITA	northeuralex	DISTURB	-
hækːi	hækːi	HAKI	northeuralex	BULL	-
hæly	hæly	HALU	northeuralex	NOISE	-
hæmæhikːi	hæmæhikːi	HAMAHIKI	northeuralex	SPIDER	-
hæmːɛntyæ	hæmːɛntyæ	HAMENTUA	northeuralex	STIR	-
hæntæ	hæntæ	HANTA	northeuralex	TAIL	-
hætæ	hætæ	HATA	northeuralex	BAD LUCK	-
hævitæ	hævitæ	HABITA	northeuralex	DISAPPEAR	-
hævitːyæ	hævitːyæ	HABITUA	northeuralex	DESTROY	-
höperö	høperø	HEPERE	wikipron	-	-
höyry	høy̯ry	HEURU	wikipron	-	-
hɑirivɔ	hɑirivɔ	HAIRIBO	northeuralex	MISTAKE	-
hɑisːɛlːɑ	hɑisːɛlːɑ	HAISELA	northeuralex	SMELL (PERCEIVE)	-
hɑjʊkɑs	hɑjʊkɑs	HAYUKAS	northeuralex	CLEVER	-
hɑlɑtɑ	hɑlɑtɑ	HALATA	northeuralex	CHOP (INTO PIECES)	-
hɑmːɑs	hɑmːɑs	HAMAS	northeuralex	TOOTH	-
hɑnhi	hɑnhi	HANHI	northeuralex	GOOSE	-
hɑpɑn	hɑpɑn	HAPAN	northeuralex	SOUR	-
hɑpɑtɑ	hɑpɑtɑ	HAPATA	northeuralex	SPOIL (BECOME SPOILED)	-
hɑpɛnɛt	hɑpɛnɛt	HAPENET	northeuralex	MOUSTACHE	-
hɑrmʊɑ	hɑrmʊɑ	HARMUA	northeuralex	GREY	-
