Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ah	a̤	A	wikipron	-	-
ahn	ã̤		wikipron	-	-
an	ã		wikipron	-	-
aq	aˤ	A	wikipron	-	-
aqn	ãˤ		wikipron	-	-
aʼ	aˀ	A	wikipron	-	-
Bh	b͡pʰ	B	wikipron	-	-
Dc	d͡tʃʼ	DS	wikipron	-	-
Dch	d͡tʃʰ	DS	wikipron	-	-
Dh	d͡tʰ	D	wikipron	-	-
djx	d͡tʃᵡ	DS	wikipron	-	-
Ds	d͡tsʼ	DS	wikipron	-	-
Dsh	d͡tsʰ	DS	wikipron	-	-
dx	d͡tᵡ	D	wikipron	-	-
eh	e̤	E	wikipron	-	-
eʼ	eˀ	E	wikipron	-	-
Gh	ɡ͡kʰ	G	wikipron	-	-
Gǀ	ᶢǀ	T	wikipron	-	-
gǀh	ᶢᵏǀʰ	T	wikipron	-	-
gǀk	ᶢᵏǀᵡʼ	T	wikipron	-	-
gǀx	ᶢᵏǀᵡ	T	wikipron	-	-
Gǁ	ᶢǁ	L	wikipron	-	-
gǁh	ᶢᵏǁʰ	L	wikipron	-	-
gǁk	ᶢᵏǁᵡʼ	L	wikipron	-	-
gǁx	ᶢᵏǁᵡ	L	wikipron	-	-
Gǂ	ᶢǂ	K	wikipron	-	-
gǂh	ᶢᵏǂʰ	K	wikipron	-	-
gǂk	ᶢᵏǂᵡʼ	K	wikipron	-	-
gǂx	ᶢᵏǂᵡ	K	wikipron	-	-
Gǃ	ᶢǃ	T	wikipron	-	-
gǃh	ᶢᵏǃʰ	T	wikipron	-	-
gǃk	ᶢᵏǃᵡʼ	T	wikipron	-	-
gǃkún	ᶢᵏǃ͡χʼṹ	T	wikipron	-	-
gǃx	ᶢᵏǃᵡ	T	wikipron	-	-
gǃòʼé	ᶢǃòˀé	T	wikipron	-	-
ih	i̤	I	wikipron	-	-
ihn	ĩ̤		wikipron	-	-
in	ĩ		wikipron	-	-
iʼ	iˀ	I	wikipron	-	-
Kh	kʰ	K	wikipron	-	-
Kx	kxʼ	KK	wikipron	-	-
Mh	m̤	M	wikipron	-	-
Mq	m̰	M	wikipron	-	-
Nǀ	ᵑǀ	T	wikipron	-	-
nǀh	ᵑǀʱ	T	wikipron	-	-
Nǁ	ᵑǁ	L	wikipron	-	-
nǁh	ᵑǁʱ	L	wikipron	-	-
Nǂ	ᵑǂ	K	wikipron	-	-
nǂh	ᵑǂʱ	K	wikipron	-	-
Nǃ	ᵑǃ	T	wikipron	-	-
nǃh	ᵑǃʱ	T	wikipron	-	-
oh	o̤	O	wikipron	-	-
ohn	õ̤		wikipron	-	-
on	õ		wikipron	-	-
oq	oˤ	O	wikipron	-	-
oqn	õˤ		wikipron	-	-
oʼ	oˀ	O	wikipron	-	-
Ph	pʰ	P	wikipron	-	-
Tc	tʃ	TS	wikipron	-	-
Tch	tʃʰ	TS	wikipron	-	-
tcx	tʃᵡ	TS	wikipron	-	-
Th	tʰ	T	wikipron	-	-
Tj	tʃʼ	TS	wikipron	-	-
tk	tᵡʼ	T	wikipron	-	-
Tsh	tsʰ	TS	wikipron	-	-
tsx	tsᵡ	TS	wikipron	-	-
tx	tᵡ	T	wikipron	-	-
Tz	tsʼ	TS	wikipron	-	-
uh	ṳ		wikipron	-	-
uhn	ṳ̃		wikipron	-	-
un	ũ		wikipron	-	-
uʼ	uˀ	U	wikipron	-	-
ǀ	ᵏǀ	T	wikipron	-	-
ǀH	ᵏǀʰ	T	wikipron	-	-
ǀK	ᵏǀᵡʼ	T	wikipron	-	-
ǀx	ᵏǀᵡ	T	wikipron	-	-
ǀʼ	ᵑ̊ǀˀ	T	wikipron	-	-
ǀʼh	ᵑ̊ǀʰ	T	wikipron	-	-
ǁ	ᵏǁ	L	wikipron	-	-
ǁH	ᵏǁʰ	L	wikipron	-	-
ǁK	ᵏǁᵡʼ	L	wikipron	-	-
ǁx	ᵏǁᵡ	L	wikipron	-	-
ǁʼ	ᵑ̊ǁˀ	L	wikipron	-	-
ǁʼh	ᵑ̊ǁʰ	L	wikipron	-	-
ǂ	ᵏǂ	K	wikipron	-	-
ǂH	ᵏǂʰ	K	wikipron	-	-
ǂK	ᵏǂᵡʼ	K	wikipron	-	-
ǂx	ᵏǂᵡ	K	wikipron	-	-
ǂʼ	ᵑ̊ǂˀ	K	wikipron	-	-
ǂʼh	ᵑ̊ǂʰ	K	wikipron	-	-
ǃ	ᵏǃ	T	wikipron	-	-
ǃH	ᵏǃʰ	T	wikipron	-	-
ǃhú	ǃʰú	T	wikipron	-	-
ǃK	ᵏǃᵡʼ	T	wikipron	-	-
ǃx	ᵏǃᵡ	T	wikipron	-	-
ǃʼ	ᵑ̊ǃˀ	T	wikipron	-	-
ǃʼh	ᵑ̊ǃʰ	T	wikipron	-	-
ǳx	d͡tsᵡ	DS	wikipron	-	-
