Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
afe	afe	APE	abvd	FLOW	abvd_123_toflow_10
afola	afola	APOLA	abvd	WIDE	-
agasi-a	agasia	AGASIA	abvd	SEE	-
ai	ai	AI	abvd	PERSON	-
akʷai	akai	AKAI	abvd	YAWN	abvd_47_toyawn_19
aliŋa-na	aliana	ALIANA	abvd	EAR	abvd_43_ear_1
ani	ani	ANI	abvd	CRY	abvd_34_tocry_1
anomi-a	anomia	ANOMIA	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
asi	asi	ASI	abvd	SALT	abvd_125_salt_20
aʔe-a	aʔea	AHEA	abvd	OPEN	-
baba|lao	babalao	BABALAO	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
balaʔau	balaʔau	BALAHAU	abvd	SWIM	abvd_9_toswim_61
baʔita	baʔita	BAHITA	abvd	BIG	abvd_153_big_15
bibibiliʔa	bibibiliʔa	BIBIBILIHA	abvd	DIRTY	abvd_10_dirty_13
bilaʔo	bilaʔo	BILAHO	abvd	GROW	abvd_86_togrow_16
bobolaʔa	bobolaʔa	BOBOLAHA	abvd	BLACK	abvd_147_black_67
bobou-na	bobouna	BOBOUNA	abvd	BACK	abvd_13_back_108
bole-a	bolea	BOLEA	abvd	DREAM (SOMETHING)	abvd_50_todream_10
boʔo	boʔo	BOHO	abvd	SWELL	abvd_87_toswell_24
bulasi-a	bulasia	BULASIA	abvd	TURN	abvd_8_toturn_32
bulubulu	bulubulu	BULUBULU	abvd	STAR	abvd_130_star_14
daa	daa	DAA	abvd	SMOKE (EXHAUST)	-
dai	dai	DAI	abvd	WHO	abvd_189_who_1
dau	dau	DAU	abvd	HOLD	abvd_89_tohold_17
da|ulu	daulu	DAULU	abvd	WE	abvd_185_we_6
ele	ele	ELE	abvd	FIRE	abvd_143_fire_7
eno	eno	ENO	abvd	SLEEP	abvd_48_tosleep_8
fai	fai	PAI	abvd	WHERE	abvd_181_where_3
fai-a	faia	PAIA	abvd	SCRATCH	-
fakalu-na	fakaluna	PAKALUNA	abvd	EGG	abvd_98_egg_9
falisi	falisi	PALISI	abvd	GRASS	abvd_118_grass_1
fana	fana	PANA	abvd	HUNT	abvd_69_tohunt_53
fane	fane	PANE	abvd	CLIMB	abvd_172_toclimb_1
fasiʔo-na	fasiʔona	PASIHONA	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
