Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abang	abaŋ	ABAN	wikipron	-	-
abiskita	abiskita	ABISKITA	abvd	YOU	-
abuk	abuk	ABUK	wikipron	-	-
acang	at͡ʃaŋ	ASAN	wikipron	-	-
adi	adi	ADI	wikipron	-	-
aing	aiŋ	AIN	wikipron	-	-
ais	ais	AIS	wikipron	-	-
ajai	ad͡ʒaj	ASAY	wikipron	-	-
aku	aku	AKU	abvd	I	abvd_182_i_1
alis	alis	ALIS	wikipron	-	-
amas	amas	AMAS	wikipron	-	-
amba	amba	AMBA	abvd	I	abvd_182_i_9
ambuk	ambuk	AMBUK	wikipron	-	-
ampat	ampat	AMPAT	abvd	FOUR	abvd_200_four_1
ampir	ampir	AMPIR	wikipron	-	-
ampir	hampiː	HAMPI	wikipron	-	-
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
anam	anam	ANAM	wikipron	-	-
anggur	aŋɡur	ANGUR	wikipron	-	-
angin	aŋin	ANIN	wikipron	-	-
angin	angin	ANGIN	abvd	WIND	abvd_136_wind_1
angsa	aŋsa	ANSA	wikipron	-	-
ani	ani	ANI	abvd	THIS	abvd_177_this_1
anjing	and͡ʒiŋ	ANSIN	wikipron	-	-
antu	antu	ANTU	wikipron	-	-
api	api	API	wikipron	-	-
ari	ari	ARI	abvd	DAY (NOT NIGHT)	abvd_168_day_17
arnab	arnap	ARNAP	wikipron	-	-
asap	asap	ASAP	wikipron	-	-
atap	atap	ATAP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
ati	ati	ATI	wikipron	-	-
ati	hati	HATI	wikipron	-	-
atu	atu	ATU	abvd	THAT	abvd_178_that_16
awan	awan	AWAN	wikipron	-	-
awar	awar	AWAR	abvd	SHY OR ASHAMED	-
ayam	ajam	AYAM	wikipron	-	-
ayam	hajam	HAYAM	wikipron	-	-
aying	aying	AUING	abvd	WATER	abvd_122_water_2?
babu	babu	BABU	abvd	MOTHER	-
baburu	baburu	BABURU	abvd	HUNT	abvd_69_tohunt_23
badam	badam	BADAM	wikipron	-	-
badiri	badiri	BADIRI	abvd	STAND	abvd_52_tostand_1
baharu	baharu	BAHARU	abvd	NEW	abvd_163_new_1
bajalan	bajalan	BAYALAN	abvd	WALK	abvd_5_towalk_21
bakaraja	bakaraja	BAKARAYA	abvd	WORK (ACTIVITY)	abvd_83_towork_23
balai	balai	BALAI	abvd	HOUSE	abvd_61_house_14
bamimpi	bamimpi	BAMIMPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
banapas	banapas	BANAPAS	abvd	BREATHE	abvd_28_tobreathe_29
banar	banar	BANAR	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1
bantal	bantal	BANTAL	wikipron	-	-
bapa	bapa	BAPA	abvd	FATHER	abvd_60_father_5
bapikir	bapikir	BAPIKIR	abvd	THINK	abvd_21_tothink_22
baras	baras	BARAS	wikipron	-	-
barat	barat	BARAT	abvd	HEAVY	abvd_142_heavy_1
baru	baru	BARU	wikipron	-	-
barucap	barucap	BARUKAP	abvd	SAY	-
basar	basar	BASAR	wikipron	-	-
basi	basi	BASI	wikipron	-	-
basing	basiŋ	BASIN	wikipron	-	-
batapuk	batapuk	BATAPUK	abvd	HIDE	-
batat	batat	BATAT	wikipron	-	-
batis	batis	BATIS	wikipron	-	-
batiup	batiup	BATIUP	abvd	BLOW (OF WIND)	abvd_137_toblow_1
batu	batu	BATU	wikipron	-	-
bau	bau	BAU	wikipron	-	-
bayi	baji	BAYI	wikipron	-	-
baʷu	bau	BAU	abvd	SHOULDER	abvd_19_shoulder_17
beranang	bəranaŋ	BERANAN	wikipron	-	-
beta	beta	BETA	abvd	I	abvd_182_i_10
betina	bətina	BETINA	wikipron	-	-
biabas	biabas	BIABAS	wikipron	-	-
bida	bidaˀ	BIDA	wikipron	-	-
bikaola	bikaola	BIKAOLA	abvd	YOU	-
bila	bila	BILA	abvd	WHEN	abvd_170_when_13
biluk	biluk	BILUK	abvd	TURN	abvd_8_toturn_24
bini	bini	BINI	wikipron	-	-
bini-bini	binibini	BINIBINI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bintang	bintaŋ	BINTAN	wikipron	-	-
biru	biru	BIRU	wikipron	-	-
bisamba	bisamba	BISAMBA	abvd	YOU	-
bisdia	bisdia	BISDIA	abvd	THEY	-
biskita	biskita	BISKITA	abvd	YOU	-
bispanomba	bispanomba	BISPANOMBA	abvd	YOU	-
buah	buah	BUAH	wikipron	-	-
buaya	boja	BOYA	wikipron	-	-
buaya	buaja	BUAYA	wikipron	-	-
buaya	bwaja	BWAYA	wikipron	-	-
bukit	bukit	BUKIT	wikipron	-	-
buku	buku	BUKU	wikipron	-	-
bula	bula	BULA	wikipron	-	-
bulan	bulan	BULAN	wikipron	-	-
bulu	bulu	BULU	wikipron	-	-
bunga	buŋa	BUNA	wikipron	-	-
bungi	buŋi	BUNI	wikipron	-	-
buntak	buntak	BUNTAK	wikipron	-	-
bunyi	buɲi	BUNI	wikipron	-	-
buruk	buruk	BURUK	abvd	ROTTEN	abvd_112_rotten_1
burung	buruŋ	BURUN	wikipron	-	-
butul	butul	BUTUL	wikipron	-	-
cacak	t͡ʃat͡ʃak	SASAK	wikipron	-	-
cacing	t͡ʃat͡ʃiŋ	SASIN	wikipron	-	-
cadar	t͡ʃadar	SADAR	wikipron	-	-
cahaya	t͡ʃahaja	SAHAYA	wikipron	-	-
cawan	t͡ʃawan	SAWAN	wikipron	-	-
cerah	t͡ʃərah	SERAH	wikipron	-	-
cincin	t͡ʃint͡ʃin	SINSIN	wikipron	-	-
cuaca	t͡ʃuat͡ʃa	SUASA	wikipron	-	-
cuaca	t͡ʃwat͡ʃa	SWASA	wikipron	-	-
cucu	t͡ʃut͡ʃu	SUSU	wikipron	-	-
cuik	t͡ʃuik	SUIK	wikipron	-	-
curut	t͡ʃurut	SURUT	wikipron	-	-
daging	daɡiŋ	DAGIN	wikipron	-	-
dakat	dakat	DAKAT	wikipron	-	-
dama	dama	DAMA	abvd	NAME	abvd_63_name_12
damam	damam	DAMAM	abvd	PAINFUL OR SICK	-
damit	damit	DAMIT	wikipron	-	-
danau	danau	DANAU	abvd	LAKE	abvd_126_lake_1
dangan	dangan	DANGAN	abvd	AND	abvd_192_and_64
dangsanak	daŋsanak	DANSANAK	wikipron	-	-
dapur	dapur	DAPUR	wikipron	-	-
darah	darah	DARAH	abvd	BLOOD	abvd_23_blood_1
darat	darat	DARAT	wikipron	-	-
datang	datang	DATANG	abvd	COME	abvd_7_tocome_14
daun	daun	DAUN	wikipron	-	-
didih	didih	DIDIH	wikipron	-	-
dinding	dindiŋ	DINDIN	wikipron	-	-
doktor	dokto	DOKTO	wikipron	-	-
doktor	doktor	DOKTOR	wikipron	-	-
dua	dua	DUA	wikipron	-	-
duduk	duduk	DUDUK	abvd	SIT	abvd_51_tosit_35
durian	durian	DURIAN	wikipron	-	-
ekon	ekon	EKON	wikipron	-	-
ekon	ikun	IKUN	wikipron	-	-
esbok	esbok	ESBOK	wikipron	-	-
extension	ekstenʃən	EKSTENSEN	wikipron	-	-
gadong	ɡadoŋ	GADON	wikipron	-	-
gadung	ɡaduŋ	GADUN	wikipron	-	-
gagak	ɡaɡak	GAGAK	wikipron	-	-
gajah	ɡad͡ʒah	GASAH	wikipron	-	-
galagah	ɡɐlaɡah	GALAGAH	wikipron	-	-
galap	ɡalap	GALAP	wikipron	-	-
galas	ɡalas	GALAS	wikipron	-	-
galat	galat	GALAT	abvd	SHY OR ASHAMED	-
galugut	ɡaluɡut	GALUGUT	wikipron	-	-
garam	ɡaam	GAAM	wikipron	-	-
garam	ɡaram	GARAM	wikipron	-	-
garpu	ɡarpu	GARPU	wikipron	-	-
garpu	ɡərpu	GERPU	wikipron	-	-
gelugut	ɡəluɡut	GELUGUT	wikipron	-	-
gigi	ɡiɡi	GIGI	wikipron	-	-
gigi	gigi	GIGI	abvd	TOOTH	abvd_31_tooth_17
giuk	ɡiuk	GIUK	wikipron	-	-
gua	ɡua	GUA	wikipron	-	-
gugur	gugur	GUGUR	abvd	FALL	abvd_95_tofall_67
gula	ɡula	GULA	wikipron	-	-
gulai	ɡulaj	GULAY	wikipron	-	-
gunung	ɡunuŋ	GUNUN	wikipron	-	-
guruh	ɡuruh	GURUH	wikipron	-	-
guruh	guruh	GURUH	abvd	THUNDER	abvd_134_thunder_1
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
