Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
agayo	agayo	AGAUO	abvd	BIG	-
akapal	akapal	AKAPAL	abvd	THICK	abvd_157_thick_1
alaab	alaab	ALAAB	abvd	WIDE	-
alasu'	alasu	ALASU	abvd	WARM	-
amu'	amu	AMU	abvd	NO OR NOT	-
anaru	anaru	ANARU	abvd	LONG	-
apat	apat	APAT	abvd	FOUR	abvd_200_four_1
araat	araat	ARAAT	abvd	BAD OR EVIL	abvd_165_badevil_1
aragang	aragang	ARAGANG	abvd	RED	-
atandai	atandai	ATANDAI	abvd	THIN	-
atarom	atarom	ATAROM	abvd	SHARP	-
awagat	awagat	AWAGAT	abvd	HEAVY	-
botung dot agayo	botungdotagayo	BOTUNGDOTAGAUO	abvd	LAKE	-
dalat	dalat	DALAT	abvd	NEEDLE (FOR SEWING)	-
dila'	dila	DILA	abvd	TONGUE	abvd_32_tongue_4
duwo	duwo	DUWO	abvd	TWO	-
duwo nohopod	duwonohopod	DUWONOHOPOD	abvd	TWENTY	-
gakod	gakod	GAKOD	abvd	FOOT OR LEG	-
gamut	gamut	GAMUT	abvd	ROOT	abvd_115_root_3
gibang	gibang	GIBANG	abvd	LEFT	abvd_2_left_24
gouton	gouton	GOUTON	abvd	FOREST	-
hatus	hatus	HATUS	abvd	HUNDRED	-
hawun	hawun	HAWUN	abvd	CLOUD	-
hilo id	hiloid	HILOID	abvd	AT	-
honggo	honggo	HONGGO	abvd	WHERE	-
hopod	hopod	HOPOD	abvd	TEN	-
hulu	hulu	HULU	abvd	FEATHER	abvd_99_feather_1
id sawat	idsawat	IDSAWAT	abvd	ABOVE	-
id siriba'	idsiriba	IDSIRIBA	abvd	BELOW OR UNDER	-
id sodu'	idsodu	IDSODU	abvd	FAR	-
id somok	idsomok	IDSOMOK	abvd	NEAR	-
id suang	idsuang	IDSUANG	abvd	IN	-
ilo'	ilo	ILO	abvd	THAT	-
isai	isai	ISAI	abvd	WHO	abvd_189_who_1
iso'	iso	ISO	abvd	ONE	-
iti	iti	ITI	abvd	THIS	abvd_177_this_10
iya'	iya	IUA	abvd	THOU	-
iyahai	iyahai	IUAHAI	abvd	WE	-
iyati'	iyati	IUATI	abvd	WE	-
iyau	iyau	IUAU	abvd	HE OR SHE	abvd_184_heshe_1
iyoho'	iyoho	IUOHO	abvd	I	-
iyokoyu	iyokoyu	IUOKOUU	abvd	YOU	-
iyolo'	iyolo	IUOLO	abvd	THEY	-
kabang	kabang	KABANG	abvd	MOUTH	-
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kodumaat	kodumaat	KODUMAAT	abvd	LIGHTNING	-
koinsanai	koinsanai	KOINSANAI	abvd	ALL	-
korut	korut	KORUT	abvd	SPIDER	-
kulit	kulit	KULIT	abvd	SKIN	abvd_12_skin_1
kumaau	kumaau	KUMAAU	abvd	SWIM	-
kumilong	kumilong	KUMILONG	abvd	TURN	abvd_8_toturn_63
kusai	kusai	KUSAI	abvd	MALE PERSON	-
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
lapap	lapap	LAPAP	abvd	FOOT OR LEG	-
lihawa	lihawa	LIHAWA	abvd	SHOULDER	-
likud	likud	LIKUD	abvd	BACK	abvd_13_back_1
limo	limo	LIMO	abvd	FIVE	abvd_201_five_1
limo nohopod	limonohopod	LIMONOHOPOD	abvd	FIFTY	-
liou	liou	LIOU	abvd	NECK	-
lisun	lisun	LISUN	abvd	SMOKE (EXHAUST)	abvd_145_smoke_19
longon	longon	LONGON	abvd	HAND	abvd_1_hand_37
lumii	lumii	LUMII	abvd	LIE DOWN	-
lumisok	lumisok	LUMISOK	abvd	HIDE	-
lumoho	lumoho	LUMOHO	abvd	FALL	-
lumonit	lumonit	LUMONIT	abvd	SWELL	-
lumuyung	lumuyung	LUMUUUNG	abvd	FLOW	-
lunok	lunok	LUNOK	abvd	FAT (ORGANIC SUBSTANCE)	-
magasu	magasu	MAGASU	abvd	HUNT	-
makan	makan	MAKAN	abvd	EAT	abvd_37_toeat_1
mamaga'	mamaga	MAMAGA	abvd	SQUEEZE	-
mamalapak	mamalapak	MAMALAPAK	abvd	SPLIT	-
mamana'	mamana	MAMANA	abvd	SHOOT	abvd_70_toshoot_1
mamanau	mamanau	MAMANAU	abvd	WALK	abvd_5_towalk_2
mamatai	mamatai	MAMATAI	abvd	KILL	-
managad	managad	MANAGAD	abvd	CUT OR HACK	-
manakau	manakau	MANAKAU	abvd	STEAL	abvd_73_tosteal_1
mananom	mananom	MANANOM	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
matai	matai	MATAI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mato	mato	MATO	abvd	EYE	abvd_45_eye_1
mihad	mihad	MIHAD	abvd	CRY	-
mindahu'	mindahu	MINDAHU	abvd	WORK (ACTIVITY)	-
mindakoi	mindakoi	MINDAKOI	abvd	CLIMB	-
mingkakat	mingkakat	MINGKAKAT	abvd	STAND	-
minum	minum	MINUM	abvd	DRINK	abvd_40_todrink_1
mirikau	mirikau	MIRIKAU	abvd	SIT	-
moddosi	moddosi	MODDOSI	abvd	FEAR (BE AFRAID)	-
modop	modop	MODOP	abvd	SLEEP	abvd_48_tosleep_30
moginggat	moginggat	MOGINGGAT	abvd	CHEW	-
mogonsok	mogonsok	MOGONSOK	abvd	COOK (SOMETHING)	-
mokinongou	mokinongou	MOKINONGOU	abvd	HEAR	-
molohing	molohing	MOLOHING	abvd	OLD	-
momili'	momili	MOMILI	abvd	CHOOSE	-
momobog	momobog	MOMOBOG	abvd	HIT	-
momodula'	momodula	MOMODULA	abvd	SPIT	-
momoli	momoli	MOMOLI	abvd	BUY	-
momonguyom	momonguyom	MOMONGUUOM	abvd	CHEW	-
momoros	momoros	MOMOROS	abvd	SAY	-
momuhobo	momuhobo	MOMUHOBO	abvd	BREATHE	-
momusorou	momusorou	MOMUSOROU	abvd	THINK	-
mongilob	mongilob	MONGILOB	abvd	VOMIT	-
mongintob	mongintob	MONGINTOB	abvd	COUNT	-
mongipi	mongipi	MONGIPI	abvd	DREAM (SOMETHING)	-
mongirak	mongirak	MONGIRAK	abvd	LAUGH	-
mongogos	mongogos	MONGOGOS	abvd	FASTEN	-
mongokot	mongokot	MONGOKOT	abvd	BITE	-
mongonggom	mongonggom	MONGONGGOM	abvd	HOLD	abvd_89_tohold_129
mongukab	mongukab	MONGUKAB	abvd	OPEN	abvd_92_toopenuncover_28
mongukad	mongukad	MONGUKAD	abvd	DIG	-
mongukut	mongukut	MONGUKUT	abvd	SCRATCH	-
monguwab	monguwab	MONGUWAB	abvd	YAWN	abvd_47_toyawn_19
moningud	moningud	MONINGUD	abvd	SMELL (PERCEIVE)	-
monobok	monobok	MONOBOK	abvd	STAB	-
monombir	monombir	MONOMBIR	abvd	SEW	-
monosop	monosop	MONOSOP	abvd	SUCK	-
monowogi'	monowogi	MONOWOGI	abvd	BLOW (OF WIND)	-
montong	montong	MONTONG	abvd	SEE	-
monutu	monutu	MONUTU	abvd	POUND	abvd_93_topoundbeat_20
monutud	monutud	MONUTUD	abvd	BURN	-
napasa'	napasa	NAPASA	abvd	ROTTEN	-
ngaran	ngaran	NGARAN	abvd	NAME	abvd_63_name_12
nipon	nipon	NIPON	abvd	TOOTH	abvd_31_tooth_1
noinggaralan	noinggaralan	NOINGGARALAN	abvd	BLUNT	-
