Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ກມ	kɔː˩˧mɔː˧˥	KOMO	wikipron	-	-
ກມ	kɔː˩˨mɔː˩˨	KOMO	wikipron	-	-
ກວາງ	kuːə̯ŋ˩˧	KUEN	wikipron	-	-
ກວາງ	kuːə̯ŋ˩˨	KUEN	wikipron	-	-
ກວາດ	kuːə̯t̚˥˥˨	KUET	wikipron	-	-
ກວາດ	kuːə̯t̚˧˩	KUET	wikipron	-	-
ກວຽນ	kʷiːə̯n˩˧	KIEN	wikipron	-	-
ກວຽນ	kʷiːə̯n˩˨	KIEN	wikipron	-	-
ກວ່າ	kuːə̯˧	KUE	wikipron	-	-
ກວ່າ	kuːə̯˧˨	KUE	wikipron	-	-
ກວ້າງ	kuːə̯ŋ˥˨	KUEN	wikipron	-	-
ກວ້າງ	kuːə̯ŋ˧˦	KUEN	wikipron	-	-
ກອງ	kɔːŋ˩˧	KON	wikipron	-	-
ກອງ	kɔːŋ˩˨	KON	wikipron	-	-
ກອງທັບ	kɔːŋ˩˧tʰap̚˧	KONTAP	wikipron	-	-
ກອງທັບ	kɔːŋ˩˨tʰap̚˧˨	KONTAP	wikipron	-	-
ກອງທັບບົກ	kɔːŋ˩˧tʰap̚˧bok̚˧˥	KONTAPBOK	wikipron	-	-
ກອງທັບບົກ	kɔːŋ˩˨tʰap̚˧˨bok̚˩˨	KONTAPBOK	wikipron	-	-
ກອງທັບອາກາດ	kɔːŋ˩˧tʰap̚˧ʔaː˩˧kaːt̚˧˩	KONTAPHAKAT	wikipron	-	-
ກອງທັບອາກາດ	kɔːŋ˩˨tʰap̚˧˨ʔaː˩˨kaːt̚˥˥˨	KONTAPHAKAT	wikipron	-	-
ກອດ	kɔːt̚˥˥˨	KOT	wikipron	-	-
ກອດ	kɔːt̚˧˩	KOT	wikipron	-	-
ກະດານ	kaʔ˧˥daːn˩˧	KAHDAN	wikipron	-	-
ກະດານ	kaʔ˩˨daːn˩˨	KAHDAN	wikipron	-	-
ກະດິງ	kaʔ˧˥diŋ˩˧	KAHDIN	wikipron	-	-
ກະດິງ	kaʔ˩˨diŋ˩˨	KAHDIN	wikipron	-	-
ກະດຸມ	kaʔ˧˥dum˩˧	KAHDUM	wikipron	-	-
