Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'badyuk	badyuk	BADUUK	abvd	STAB	abvd_71_tostabpierce_42
'bayu	bayu	BAUU	abvd	POUND	abvd_93_topoundbeat_1
'bilaŋ	bila	BILA	abvd	COUNT	abvd_196_tocount_1
'bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
'dagum	dagum	DAGUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
'dala	dala	DALA	abvd	BLOOD	abvd_23_blood_1
'daya	daya	DAUA	abvd	SKY	abvd_128_sky_22
'daʔit	daʔit	DAHIT	abvd	SEW	abvd_67_tosew_2
'daʔul	daʔul	DAHUL	abvd	BELOW OR UNDER	abvd_176_below_33
'dila	dila	DILA	abvd	TONGUE	abvd_32_tongue_4
'gɨgɨd	gɨgɨd	GIGID	abvd	CUT OR HACK	abvd_78_tocuthack_45
'kalab	kalab	KALAB	abvd	CLIMB	abvd_172_toclimb_17
'kalɨt	kalɨt	KALIT	abvd	DIRTY	abvd_10_dirty_57
'kaʔɨw	kaʔɨw	KAHIW	abvd	STICK	abvd_79_stickwood_1
'kulɨŋ	kulɨ	KULI	abvd	EAR	abvd_43_ear_46
'kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
'libu	libu	LIBU	abvd	THOUSAND	abvd_210_onethousand_5
'lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
'luta	luta	LUTA	abvd	EARTH (SOIL)	abvd_119_earthsoil_25
'lutu	lutu	LUTU	abvd	COOK (SOMETHING)	abvd_39_tocook_20
'pili	pili	PILI	abvd	CHOOSE	abvd_85_tochoose_1
'pukɨl	pukɨl	PUKIL	abvd	SHOULDER	abvd_19_shoulder_32
'pulu	pulu	PULU	abvd	TEN	abvd_206_ten_5
'sinɨ	sinɨ	SINI	abvd	WHO	abvd_189_who_14
'susu	susu	SUSU	abvd	BREAST	abvd_18_breast_1
'suŋsuŋ	susu	SUSU	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_9
'sɨyɨp	sɨyɨp	SIUIP	abvd	SLEEP	abvd_48_tosleep_31
'tabun	tabun	TABUN	abvd	HIDE	abvd_171_tohide_19
'tayaw	tayaw	TAUAW	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_83
'tubba	tubba	TUBBA	abvd	SPIT	abvd_36_tospit_44
'tubu	tubu	TUBU	abvd	LEAF	abvd_114_leaf_23
'yapit	yapit	UAPIT	abvd	THIN	abvd_156_thin_1
'ŋadan	adan	ADAN	abvd	NAME	abvd_63_name_1
