Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
afi	afi	API	abvd	FEMALE PERSON	abvd_55_womanfemale_1
aidz	aidz	AIDS	abvd	LEFT	abvd_2_left_15
ante	ante	ANTE	abvd	NEAR	-
banaŋ	bana	BANA	abvd	THICK	-
baro-n	baron	BARON	abvd	BACK	abvd_13_back_104
baŋi-n	bain	BAIN	abvd	HAND	abvd_1_hand_14
besen	besen	BESEN	abvd	IN	-
bid	bid	BID	abvd	IF	-
bini	bini	BINI	abvd	SQUEEZE	-
biŋan	bian	BIAN	abvd	NAME	-
boafob	boafob	BOAPOB	abvd	ROTTEN	-
boampon en	boamponen	BOAMPONEN	abvd	WET	-
boap	boap	BOAP	abvd	FLOWER	-
boaŋar	boaar	BOAAR	abvd	SPLIT	-
bobof	bobof	BOBOP	abvd	DUST	-
bubuŋ	bubu	BUBU	abvd	WIDE	-
buri	buri	BURI	abvd	SIT	-
bād	bd	BD	abvd	IF	-
daro	daro	DARO	abvd	HUNT	-
dau	dau	DAU	abvd	FOREST	-
denteŋ	dente	DENTE	abvd	HIT	-
doŋ	do	DO	abvd	BURN	-
dzi	dzi	DSI	abvd	FLESH OR MEAT	abvd_103_meatflesh_51
dzif	dzif	DSIP	abvd	FLY (MOVE THROUGH AIR)	-
dzig en	dzigen	DSIGEN	abvd	TURN	-
dzin	dzin	DSIN	abvd	SAY	-
dziridzir	dziridzir	DSIRIDSIR	abvd	PAINFUL OR SICK	-
dzofon	dzofon	DSOPON	abvd	PLANT (SOMETHING)	-
edza	edza	EDSA	abvd	I	abvd_182_i_1
efakana	efakana	EPAKANA	abvd	HOW	-
en	en	EN	abvd	AT	abvd_173_at_8
enek	enek	ENEK	abvd	SMALL	-
fa-n	fan	PAN	abvd	FOOT OR LEG	abvd_4_legfoot_20
fane	fane	PANE	abvd	LAUGH	-
fani	fani	PANI	abvd	SHOOT	abvd_70_toshoot_1
fariŋ	fari	PARI	abvd	BIG	-
faro	faro	PARO	abvd	FASTEN	abvd_66_totieupfasten_131
fentso	fentso	PENTSO	abvd	FASTEN	-
fid	fid	PID	abvd	SPIT	-
fim	fim	PIM	abvd	YELLOW	-
fir	fir	PIR	abvd	SWELL	-
fiririŋ	firiri	PIRIRI	abvd	FLOW	-
fo	fo	PO	abvd	SWELL	-
foaŋ	foa	POA	abvd	OPEN	-
fofo-n	fofon	POPON	abvd	HAIR	abvd_26_hair_13
fompob	fompob	POMPOB	abvd	HIDE	-
fose	fose	POSE	abvd	BLACK	-
fug	fug	PUG	abvd	SQUEEZE	-
fun	fun	PUN	abvd	OTHER	-
furun	furun	PURUN	abvd	FRUIT	abvd_117_fruit_30
fuŋ	fu	PU	abvd	BLOW (OF WIND)	abvd_137_toblow_17
fāŋ	f	P	abvd	STAND	-
gafagef	gafagef	GAPAGEP	abvd	FEAR (BE AFRAID)	-
gafar	gafar	GAPAR	abvd	SCRATCH	-
gair	gair	GAIR	abvd	BITE	abvd_41_tobite_1?
gamu	gamu	GAMU	abvd	SWIM	-
ganti	ganti	GANTI	abvd	TOOTH	-
gaogao	gaogao	GAOGAO	abvd	DIRTY	-
garafu	garafu	GARAPU	abvd	CHILD	abvd_56_child_45
garagab	garagab	GARAGAB	abvd	PERSON	-
gaŋkan	gakan	GAKAN	abvd	SKIN	abvd_12_skin_66
gea	gea	GEA	abvd	HE OR SHE	abvd_184_heshe_1
geaŋ	gea	GEA	abvd	BITE	-
ges	ges	GES	abvd	THEY	abvd_187_they_62
gofom	gofom	GOPOM	abvd	HOLD	-
gom	gom	GOM	abvd	WORK (ACTIVITY)	abvd_83_towork_1
gor	gor	GOR	abvd	LOUSE	abvd_108_louse_1
goreg	goreg	GOREG	abvd	WATER	-
gots	gots	GOTS	abvd	TAIL	-
gru	gru	GRU	abvd	STEAL	-
gʷaŋon	gaon	GAON	abvd	BELLY	-
i	i	I	abvd	SLEEP	-
idzum	idzum	IDSUM	abvd	DOG	-
iri kana	irikana	IRIKANA	abvd	WHEN	-
its	its	ITS	abvd	HIT	-
jadz	jadz	YADS	abvd	FAT (ORGANIC SUBSTANCE)	-
jadzof	jadzof	YADSOP	abvd	THUNDER	-
jaer	jaer	YAER	abvd	WE	-
jafan	jafan	YAPAN	abvd	LEAF	-
jaga	jaga	YAGA	abvd	WE	-
jai	jai	YAI	abvd	THOU	abvd_183_thou_35
jami	jami	YAMI	abvd	RAIN (PRECIPITATION)	-
jare	jare	YARE	abvd	STAB	-
jatin	jatin	YATIN	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_35
joto	joto	YOTO	abvd	HIT	-
kai	kai	KAI	abvd	THAT	-
kana	kana	KANA	abvd	WHERE	-
kani	kani	KANI	abvd	THIS	abvd_177_this_1
kaŋ	ka	KA	abvd	BIRD	-
kiŋ	ki	KI	abvd	SWELL	-
koats	koats	KOATS	abvd	SHORT	-
konoŋkon	konokon	KONOKON	abvd	SKY	-
kuts	kuts	KUTS	abvd	ROPE	-
ma	ma	MA	abvd	AND	abvd_192_and_2
ma-n	man	MAN	abvd	TONGUE	abvd_32_tongue_7
madzeats	madzeats	MADSEATS	abvd	RAT	-
mag	mag	MAG	abvd	SAND	abvd_121_sand_14
mamar	mamar	MAMAR	abvd	BREATHE	-
mar	mar	MAR	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mara-n	maran	MARAN	abvd	EYE	abvd_45_eye_1
maro	maro	MARO	abvd	MALE PERSON	abvd_54_manmale_66
meap	meap	MEAP	abvd	CLIMB	-
meats	meats	MEATS	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
mimi	mimi	MIMI	abvd	LIVER	-
moab	moab	MOAB	abvd	SWIM	-
moadzi	moadzi	MOADSI	abvd	PATH OR ROAD	-
moagaf	moagaf	MOAGAP	abvd	FOG	abvd_132_fog_1
moarar	moarar	MOARAR	abvd	ROTTEN	-
moaru	moaru	MOARU	abvd	RIGHT	abvd_3_right_5
moatsro	moatsro	MOATSRO	abvd	FALL	-
motat	motat	MOTAT	abvd	DIRTY	-
mra	mra	MRA	abvd	EARTH (SOIL)	-
mu-n	mun	MUN	abvd	MOUTH	-
muaŋom	muaom	MUAOM	abvd	RAT	-
mun	mun	MUN	abvd	SHARP	-
mur	mur	MUR	abvd	SNAKE	abvd_106_snake_12
mūf	mf	MP	abvd	CLOUD	-
nabanab	nabanab	NABANAB	abvd	THIN	-
nae-n	naen	NAEN	abvd	EAR	-
nain	nain	NAIN	abvd	DAY (NOT NIGHT)	-
naro-n	naron	NARON	abvd	CHILD	abvd_56_child_5
naŋ	na	NA	abvd	BURN	abvd_144_toburn_27
nidzin	nidzin	NIDSIN	abvd	FRUIT	-
no	no	NO	abvd	VOMIT	abvd_35_tovomit_8
noferan	noferan	NOPERAN	abvd	FAT (ORGANIC SUBSTANCE)	-
nom	nom	NOM	abvd	DRINK	abvd_40_todrink_1
nub	nub	NUB	abvd	MOSQUITO	-
num	num	NUM	abvd	DRINK	abvd_40_todrink_1
nū-n	nn	NN	abvd	LIVER	-
ofo	ofo	OPO	abvd	IN	-
ogean	ogean	OGEAN	abvd	FLOWER	-
ono waro	onowaro	ONOWARO	abvd	HEAD	-
orog	orog	OROG	abvd	STICK	-
orots	orots	OROTS	abvd	ONE	-
oŋan	oan	OAN	abvd	OTHER	-
paem	paem	PAEM	abvd	BUY	-
paraparats	paraparats	PARAPARATS	abvd	GREEN	-
parats	parats	PARATS	abvd	BE ALIVE	-
pas	pas	PAS	abvd	WIND	-
pasre	pasre	PASRE	abvd	FLESH OR MEAT	abvd_103_meatflesh_99
paŋampaŋ	paampa	PAAMPA	abvd	CRY	-
pin	pin	PIN	abvd	CHOOSE	abvd_85_tochoose_1
po	po	PO	abvd	WATER	abvd_122_water_45
po ton	poton	POTON	abvd	LAKE	-
poafo	poafo	POAPO	abvd	DREAM (SOMETHING)	-
poaru	poaru	POARU	abvd	OLD	-
pof	pof	POP	abvd	GROW	-
pom	pom	POM	abvd	WALK	-
poropoa	poropoa	POROPOA	abvd	SPLIT	abvd_80_tosplit_1
poŋompoŋ	poompo	POOMPO	abvd	DUST	-
pu	pu	PU	abvd	STAB	-
puf	puf	PUP	abvd	WHITE	-
pum	pum	PUM	abvd	SWELL	-
pāp	pp	PP	abvd	ASH	-
pī-n	pn	PN	abvd	WING	abvd_100_wing_2
ra	ra	RA	abvd	CUT OR HACK	abvd_78_tocuthack_1
rab	rab	RAB	abvd	BUY	-
raf	raf	RAP	abvd	DIG	abvd_90_todig_12
rai teret	raiteret	RAITERET	abvd	INTESTINES	abvd_16_intestines_29
rama-n	raman	RAMAN	abvd	FATHER	abvd_60_father_1
ramub	ramub	RAMUB	abvd	POUND	-
rapun	rapun	RAPUN	abvd	TURN	-
rasera	rasera	RASERA	abvd	WHAT	-
rena-n	renan	RENAN	abvd	MOTHER	abvd_59_mother_1
rene-n	renen	RENEN	abvd	SKIN	-
rere	rere	RERE	abvd	SAY	-
rero	rero	RERO	abvd	HEAR	-
reŋes	rees	REES	abvd	DRY	abvd_140_dry_1
rid	rid	RID	abvd	FLOW	abvd_123_toflow_52
riŋ	ri	RI	abvd	CRY	abvd_34_tocry_1
roron	roron	RORON	abvd	BELOW OR UNDER	-
rots	rots	ROTS	abvd	THINK	-
rowe	rowe	ROWE	abvd	EGG	-
ru	ru	RU	abvd	COOK (SOMETHING)	abvd_39_tocook_9
ruruf	ruruf	RURUP	abvd	NARROW	-
ruts	ruts	RUTS	abvd	SEA	-
sani	sani	SANI	abvd	FEATHER	-
sarot	sarot	SAROT	abvd	STAB	-
saŋen	saen	SAEN	abvd	WATER	-
sef	sef	SEP	abvd	DIG	-
sefa	sefa	SEPA	abvd	LIGHTNING	-
sefo	sefo	SEPO	abvd	NIGHT	-
segra	segra	SEGRA	abvd	EARTH (SOIL)	-
sem	sem	SEM	abvd	THINK	-
sera	sera	SERA	abvd	WHO	abvd_189_who_1
serok	serok	SEROK	abvd	TWO	-
serok a serok	serokaserok	SEROKASEROK	abvd	FOUR	-
serok orots	serokorots	SEROKOROTS	abvd	THREE	-
seso-n	seson	SESON	abvd	BREAST	abvd_18_breast_1
sid	sid	SID	abvd	WHITE	-
simis	simis	SIMIS	abvd	SAND	-
siŋis	siis	SIIS	abvd	COUNT	-
so	so	SO	abvd	NEEDLE (FOR SEWING)	-
so-n	son	SON	abvd	NOSE	abvd_27_nose_1
sogwarep	sogwarep	SOGWAREP	abvd	LIGHTNING	-
sos	sos	SOS	abvd	BREAST	abvd_18_breast_1
sū	s	S	abvd	DAY (NOT NIGHT)	-
sū-n	sn	SN	abvd	HUSBAND	abvd_57_husband_2
ta	ta	TA	abvd	LIE DOWN	abvd_49_toliedown_51
tab	tab	TAB	abvd	GROW	abvd_86_togrow_11
tae	tae	TAE	abvd	CUT OR HACK	abvd_78_tocuthack_1
taf en	tafen	TAPEN	abvd	BREATHE	-
tan	tan	TAN	abvd	STAB	-
tao	tao	TAO	abvd	SEE	abvd_46_tosee_116
tao ono waro	taoonowaro	TAOONOWARO	abvd	THATCH OR ROOF	-
tefetof	tefetof	TEPETOP	abvd	COLD	-
tepa	tepa	TEPA	abvd	SHOULDER	-
tofot	tofot	TOPOT	abvd	BLUNT	-
toŋes	toes	TOES	abvd	SMELL (PERCEIVE)	-
tsaru	tsaru	TSARU	abvd	STONE	-
tsats	tsats	TSATS	abvd	BAD OR EVIL	abvd_165_badevil_1
tsaŋap	tsaap	TSAAP	abvd	OPEN	abvd_92_toopenuncover_40
tsets	tsets	TSETS	abvd	DRY	-
tsetseaŋ	tsetsea	TSETSEA	abvd	COOK (SOMETHING)	-
tsetso	tsetso	TSETSO	abvd	HUNT	-
tsi	tsi	TSI	abvd	FASTEN	-
