Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ai'	ai	AI	abvd	AND	abvd_192_and_67
akoo	akoo	AKOO	abvd	STEAL	abvd_73_tosteal_1
alus	alus	ALUS	abvd	SMALL	abvd_152_small_34
anjang	anjang	ANYANG	abvd	LONG	abvd_155_long_24
api	api	API	abvd	FIRE	abvd_143_fire_1
atee	atee	ATEE	abvd	LIVER	abvd_17_liver_1
baloo	baloo	BALOO	abvd	HAIR	abvd_26_hair_31
bao	bao	BAO	abvd	ABOVE	abvd_175_above_2
bawe	bawe	BAWE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bayu	bayu	BAUU	abvd	NEW	abvd_163_new_1
begawii	begawii	BEGAWII	abvd	WORK (ACTIVITY)	-
bekesong	bekesong	BEKESONG	abvd	BREATHE	-
belay	belay	BELAU	abvd	HOUSE	-
beleso'	beleso	BELESO	abvd	RAT	abvd_102_rat_1
belo	belo	BELO	abvd	NO OR NOT	-
beloh	beloh	BELOH	abvd	NO OR NOT	-
beta	beta	BETA	abvd	CORRECT (RIGHT)	-
biung	biung	BIUNG	abvd	NECK	abvd_25_neck_131
boar	boar	BOAR	abvd	PAINFUL OR SICK	-
bogol	bogol	BOGOL	abvd	FAT (ORGANIC SUBSTANCE)	-
bolum	bolum	BOLUM	abvd	BE ALIVE	abvd_76_tolivebealive_11
bosa	bosa	BOSA	abvd	WET	abvd_141_wet_1
botis	botis	BOTIS	abvd	FOOT OR LEG	abvd_4_legfoot_23
bowaa	bowaa	BOWAA	abvd	MOUTH	abvd_30_mouth_1
boyan	boyan	BOUAN	abvd	PATH OR ROAD	-
boyat	boyat	BOUAT	abvd	HEAVY	abvd_142_heavy_1
bua'	bua	BUA	abvd	FRUIT	abvd_117_fruit_1
buen	buen	BUEN	abvd	GOOD	-
bura'	bura	BURA	abvd	WHITE	abvd_148_white_3
butung	butung	BUTUNG	abvd	BELLY	abvd_14_belly_29
buyung	buyung	BUUUNG	abvd	BLACK	-
daan	daan	DAAN	abvd	BRANCH	abvd_113_branch_1
dad	dad	DAD	abvd	BAD OR EVIL	-
danum	danum	DANUM	abvd	WATER	abvd_122_water_1
daon	daon	DAON	abvd	LEAF	abvd_114_leaf_1
dasoy	dasoy	DASOU	abvd	THATCH OR ROOF	-
dasu	dasu	DASU	abvd	HUNT	abvd_69_tohunt_42
dayaa	dayaa	DAUAA	abvd	BLOOD	abvd_23_blood_1
dempet	dempet	DEMPET	abvd	NEAR	-
dero'	dero	DERO	abvd	THEY	abvd_187_they_1
dikur	dikur	DIKUR	abvd	BACK	abvd_13_back_1
dikut	dikut	DIKUT	abvd	GRASS	abvd_118_grass_45
dolaa	dolaa	DOLAA	abvd	TONGUE	abvd_32_tongue_4
dundung	dundung	DUNDUNG	abvd	HOUSE	-
duo'	duo	DUO	abvd	TWO	abvd_198_two_1
eka-eka	ekaeka	EKAEKA	abvd	ALL	-
ena	ena	ENA	abvd	IF	abvd_193_if_82
enah	enah	ENAH	abvd	THAT	-
endel	endel	ENDEL	abvd	SHORT	-
endo	endo	ENDO	abvd	THIS	-
ene	ene	ENE	abvd	THAT	abvd_178_that_1
engus	engus	ENGUS	abvd	SMELL (PERCEIVE)	-
entaa	entaa	ENTAA	abvd	ALL	-
erai	erai	ERAI	abvd	ONE	abvd_197_one_21
esa'	esa	ESA	abvd	FISH	abvd_111_fish_25
genali'	genali	GENALI	abvd	DIG	abvd_90_todig_1
ido'	ido	IDO	abvd	THIS	-
idok	idok	IDOK	abvd	SMALL	-
iko'	iko	IKO	abvd	YOU	-
ikuy	ikuy	IKUU	abvd	TAIL	abvd_105_tail_1
ine'	ine	INE	abvd	MOTHER	abvd_59_mother_1
isaq	isaq	ISAK	abvd	CRY	-
ise	ise	ISE	abvd	WHO	abvd_189_who_1
ise'	ise	ISE	abvd	WHAT	-
iwa	iwa	IWA	abvd	BELOW OR UNDER	abvd_176_below_1
iwoy	iwoy	IWOU	abvd	SPIT	-
jatus	jatus	YATUS	abvd	HUNDRED	abvd_209_onehundred_4
jumo'	jumo	YUMO	abvd	FOG	-
kalor	kalor	KALOR	abvd	BLUNT	-
kapal	kapal	KAPAL	abvd	THICK	abvd_157_thick_1
karan	karan	KARAN	abvd	NAME	abvd_63_name_1
katimbe'	katimbe	KATIMBE	abvd	HOW	-
katione	katione	KATIONE	abvd	HOW	-
kayang	kayang	KAUANG	abvd	HAND	-
kekee	kekee	KEKEE	abvd	DRY	-
kersik	kersik	KERSIK	abvd	SAND	abvd_121_sand_24
ketek	ketek	KETEK	abvd	SHOOT	-
kikit	kikit	KIKIT	abvd	BITE	abvd_41_tobite_20
kiongo	kiongo	KIONGO	abvd	MOSQUITO	-
koka'	koka	KOKA	abvd	LAUGH	-
koko'	koko	KOKO	abvd	DOG	abvd_96_dog_103
kola	kola	KOLA	abvd	WHEN	-
kukut	kukut	KUKUT	abvd	TOOTH	-
kuman	kuman	KUMAN	abvd	EAT	abvd_37_toeat_1
kurut	kurut	KURUT	abvd	HOLD	-
la	la	LA	abvd	AT	abvd_173_at_2
langot	langot	LANGOT	abvd	WARM	-
lati alas	latialas	LATIALAS	abvd	FOREST	abvd_127_woodsforest_1
latuu	latuu	LATUU	abvd	FALL	abvd_95_tofall_28?
lemit	lemit	LEMIT	abvd	YELLOW	-
limo'	limo	LIMO	abvd	FIVE	abvd_201_five_1
lipis	lipis	LIPIS	abvd	THIN	abvd_156_thin_1
lou'	lou	LOU	abvd	HOUSE	abvd_61_house_12
lumbi'	lumbi	LUMBI	abvd	LIE DOWN	-
mai'	mai	MAI	abvd	SHY OR ASHAMED	-
mak	mak	MAK	abvd	OTHER	-
makse	makse	MAKSE	abvd	OTHER	-
malan	malan	MALAN	abvd	WALK	abvd_5_towalk_1
malom	malom	MALOM	abvd	NIGHT	abvd_167_night_20
mato'	mato	MATO	abvd	EYE	abvd_45_eye_1
mea'	mea	MEA	abvd	RED	abvd_149_red_1
mengket	mengket	MENGKET	abvd	CLIMB	abvd_172_toclimb_33
merota'	merota	MEROTA	abvd	DIRTY	-
mili'	mili	MILI	abvd	CHOOSE	abvd_85_tochoose_1
milii	milii	MILII	abvd	FLOW	abvd_123_toflow_56
mios	mios	MIOS	abvd	SQUEEZE	abvd_88_tosqueeze_42
misop	misop	MISOP	abvd	DRINK	-
mite	mite	MITE	abvd	SEE	abvd_46_tosee_1
moli'	moli	MOLI	abvd	BUY	abvd_91_tobuy_1
moloo	moloo	MOLOO	abvd	DAY (NOT NIGHT)	-
mombe'	mombe	MOMBE	abvd	WHERE	-
mone	mone	MONE	abvd	WHERE	-
mpulu	mpulu	MPULU	abvd	BIRD	abvd_97_bird_23
muli'	muli	MULI	abvd	TURN	-
nayu'	nayu	NAUU	abvd	LIGHTNING	-
neket	neket	NEKET	abvd	BURN	-
nempatee	nempatee	NEMPATEE	abvd	KILL	abvd_74_tokill_2
ngempoo	ngempoo	NGEMPOO	abvd	SWELL	-
ngendike'	ngendike	NGENDIKE	abvd	BE DEAD OR DIE	-
ngendingo'	ngendingo	NGENDINGO	abvd	HEAR	abvd_44_tohear_1
ngenupi'	ngenupi	NGENUPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
ngerongoi	ngerongoi	NGERONGOI	abvd	HEAR	abvd_44_tohear_1
ngulo'	ngulo	NGULO	abvd	PLANT (SOMETHING)	abvd_84_toplant_1
nipo'	nipo	NIPO	abvd	SNAKE	abvd_106_snake_1
nse'	nse	NSE	abvd	WHAT	-
nuta'	nuta	NUTA	abvd	VOMIT	abvd_35_tovomit_1
nyakat	nyakat	NUAKAT	abvd	STAND	-
nyompa	nyompa	NUOMPA	abvd	CHEW	abvd_38_tochew_66
nyongap	nyongap	NUONGAP	abvd	YAWN	-
odet	odet	ODET	abvd	COME	-
oki	oki	OKI	abvd	I	-
olai	olai	OLAI	abvd	BIG	-
onom	onom	ONOM	abvd	SIX	abvd_202_six_1
ontus	ontus	ONTUS	abvd	SAY	-
opat	opat	OPAT	abvd	FOUR	abvd_200_four_1
oroo	oroo	OROO	abvd	FAR	abvd_180_far_1
osot	osot	OSOT	abvd	SEW	-
pea'	pea	PEA	abvd	CHILD	abvd_56_child_101
peluko'	peluko	PELUKO	abvd	SHOULDER	-
pentau'	pentau	PENTAU	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_1
pilos	pilos	PILOS	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_14
popal	popal	POPAL	abvd	HIT	-
renset	renset	RENSET	abvd	SPLIT	-
riut	riut	RIUT	abvd	WIND	abvd_136_wind_24
rongin	rongin	RONGIN	abvd	COLD	abvd_139_cold_1
saee	saee	SAEE	abvd	WIDE	-
sanan	sanan	SANAN	abvd	RIGHT	abvd_3_right_1
sapoo	sapoo	SAPOO	abvd	THATCH OR ROOF	abvd_62_thatchroof_15
sei'	sei	SEI	abvd	LEFT	abvd_2_left_1
selanguy	selanguy	SELANGUU	abvd	SWIM	abvd_9_toswim_1
sepuluu	sepuluu	SEPULUU	abvd	TEN	abvd_206_ten_5
siee	siee	SIEE	abvd	NINE	abvd_205_nine_5
siet	siet	SIET	abvd	PAINFUL OR SICK	-
siret	siret	SIRET	abvd	FASTEN	abvd_66_totieupfasten_137
siyo	siyo	SIUO	abvd	HE OR SHE	abvd_184_heshe_1
song	song	SONG	abvd	MALE PERSON	-
suang	suang	SUANG	abvd	IN	abvd_174_ininside_13
suyok	suyok	SUUOK	abvd	HIDE	-
taka	taka	TAKA	abvd	WE	abvd_185_we_2
tali	tali	TALI	abvd	ROPE	abvd_65_rope_1
tana'	tana	TANA	abvd	EARTH (SOIL)	abvd_119_earthsoil_1
tarom	tarom	TAROM	abvd	SHARP	abvd_81_sharp_1
tasik	tasik	TASIK	abvd	SEA	abvd_124_sea_1
telingo'	telingo	TELINGO	abvd	EAR	abvd_43_ear_1
tembiling	tembiling	TEMBILING	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_97
toli	toli	TOLI	abvd	EGG	abvd_98_egg_1
tolu'	tolu	TOLU	abvd	THREE	abvd_199_three_1
tondok	tondok	TONDOK	abvd	COOK (SOMETHING)	-
totoq	totoq	TOTOK	abvd	CUT OR HACK	abvd_78_tocuthack_3
towok	towok	TOWOK	abvd	STAB	abvd_71_tostabpierce_28
tunge'	tunge	TUNGE	abvd	SIT	-
tungkot	tungkot	TUNGKOT	abvd	STICK	-
tuo	tuo	TUO	abvd	OLD	abvd_162_old_1
turak	turak	TURAK	abvd	THROW	abvd_94_tothrow_1
turi	turi	TURI	abvd	SLEEP	abvd_48_tosleep_1
turui	turui	TURUI	abvd	SLEEP	abvd_48_tosleep_1
turuu	turuu	TURUU	abvd	SEVEN	abvd_203_seven_4
