Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-al	al	AL	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_75
-brɛvninoq	brɛvninoq	BREBNINOK	abvd	BREATHE	abvd_28_tobreathe_77
-gitgitᵐbʷoɾi	gitgitboɾi	GITGITBORI	abvd	DREAM (SOMETHING)	abvd_50_todream_10
-iaŋiam	iaiam	IAIAM	abvd	YELLOW	abvd_150_yellow_9?
-iaŋiaŋ	iaia	IAIA	abvd	YELLOW	abvd_150_yellow_9
-ioviop	ioviop	IOBIOP	abvd	WHITE	abvd_148_white_41
-ioviop˺	ioviop	IOBIOP	abvd	WHITE	abvd_148_white_41
-is	is	IS	abvd	BAD OR EVIL	abvd_165_badevil_1
-kan	kan	KAN	abvd	EAT	abvd_37_toeat_1
-koko	koko	KOKO	abvd	HUNT	abvd_69_tohunt_77
-lapinoqi	lapinoqi	LAPINOKI	abvd	STEAL	abvd_73_tosteal_1
-laᵐblaᵐb	lablab	LABLAB	abvd	BIG	abvd_153_big_10
-lele	lele	LELE	abvd	SMALL	abvd_152_small_66
-lem	lem	LEM	abvd	COME	abvd_7_tocome_1
-les	les	LES	abvd	SWIM	abvd_9_toswim_8
-lialu	lialu	LIALU	abvd	VOMIT	abvd_35_tovomit_8
-lik	lik	LIK	abvd	FASTEN	abvd_66_totieupfasten_1
-lis	lis	LIS	abvd	FEAR (BE AFRAID)	abvd_22_tofear_73
-lix	lix	LIK	abvd	SEW	abvd_67_tosew_64
-lu	lu	LU	abvd	SHORT	-
-lɛm	lɛm	LEM	abvd	COME	abvd_7_tocome_1
-lɛs	lɛs	LES	abvd	SWIM	abvd_9_toswim_8
-maor	maor	MAOR	abvd	BE ALIVE	abvd_76_tolivebealive_1
-map˺	map	MAP	abvd	HEAVY	abvd_142_heavy_46
-mas	mas	MAS	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-masɪmas	masɪmas	MASIMAS	abvd	DRY	abvd_140_dry_11
-matur	matur	MATUR	abvd	SLEEP	abvd_48_tosleep_1
-maur	maur	MAUR	abvd	BE ALIVE	abvd_76_tolivebealive_1
-maᵑgal	magal	MAGAL	abvd	SHARP	abvd_81_sharp_14
-mial	mial	MIAL	abvd	RED	abvd_149_red_1
-mimin	mimin	MIMIN	abvd	DRINK	abvd_40_todrink_1
-mimɛɣan	mimɛɣan	MIMEGAN	abvd	SHY OR ASHAMED	abvd_161_shyashamed_55
-minio	minio	MINIO	abvd	DRINK	abvd_40_todrink_1
-momo	momo	MOMO	abvd	ROTTEN	abvd_112_rotten_51
-mɛtmɛt	mɛtmɛt	METMET	abvd	BLACK	abvd_147_black_1
-mɪlaɣɪⁿt͡s	mɪlaɣɪt͡s	MILAGIS	abvd	GREEN	abvd_151_green_8
-mʷɪn	mɪn	MIN	abvd	DRINK	abvd_40_todrink_1
-pre	pre	PRE	abvd	SPIT	abvd_36_tospit_35
-pus	pus	PUS	abvd	SQUEEZE	abvd_88_tosqueeze_18
-pəre	pəre	PERE	abvd	SPIT	abvd_36_tospit_35
-rap	rap	RAP	abvd	LAUGH	abvd_33_tolaugh_46
-raβ	ra	RA	abvd	LAUGH	abvd_33_tolaugh_46
-roŋ	ro	RO	abvd	HEAR	abvd_44_tohear_1
-roŋ-	ro	RO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_19
-roŋil	roil	ROIL	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_19
-roⁿdʳok	rodok	RODOK	abvd	HEAR	abvd_44_tohear_1
-ruβix	ruix	RUIK	abvd	GOOD	abvd_164_good_108
-ruβʊx	ruʊx	RUUK	abvd	GOOD	abvd_164_good_108
-saka	saka	SAKA	abvd	CLIMB	abvd_172_toclimb_2
-saqa	saqa	SAKA	abvd	CLIMB	abvd_172_toclimb_2
-sarsar	sarsar	SARSAR	abvd	FLOW	abvd_123_toflow_67
-sil	sil	SIL	abvd	BURN	abvd_144_toburn_4
-sis-	sis	SIS	abvd	THINK	abvd_21_tothink_39
-sisian	sisian	SISIAN	abvd	THINK	abvd_21_tothink_39
-siŋda	sida	SIDA	abvd	LIE DOWN	abvd_49_toliedown_92
-solix	solix	SOLIK	abvd	HIDE	abvd_171_tohide_51
-sop	sop	SOP	abvd	STAB	abvd_71_tostabpierce_17
-sor	sor	SOR	abvd	SAY	abvd_64_tosay_113
-suŋsuŋ	susu	SUSU	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_9
-te	te	TE	abvd	HIT	abvd_72_tohit_133
-te imas	teimas	TEIMAS	abvd	KILL	abvd_74_tokill_89
-teimas	teimas	TEIMAS	abvd	KILL	abvd_74_tokill_89
-tete	tete	TETE	abvd	POUND	abvd_93_topoundbeat_49
-teᵐbur	tebur	TEBUR	abvd	SPLIT	abvd_80_tosplit_1
-teᵐbʷir	tebir	TEBIR	abvd	CUT OR HACK	abvd_78_tocuthack_100
-titn	titn	TITN	abvd	COOK (SOMETHING)	abvd_39_tocook_9
-tlean	tlean	TLEAN	abvd	OTHER	abvd_190_other_54
-toro	toro	TORO	abvd	OLD	abvd_162_old_27
-tur	tur	TUR	abvd	STAB	abvd_71_tostabpierce_14
-turtur	turtur	TURTUR	abvd	STAND	abvd_52_tostand_2
-turturu	turturu	TURTURU	abvd	STAND	abvd_52_tostand_2
-tutmon	tutmon	TUTMON	abvd	COUNT	-
-tuβ	tu	TU	abvd	THROW	abvd_94_tothrow_88
-tœtŋon	tton	TTON	abvd	COUNT	abvd_196_tocount_42
-tɛx	tɛx	TEK	abvd	LAUGH	abvd_33_tolaugh_94
-tɪɾo	tɪɾo	TIRO	abvd	OLD	abvd_162_old_27
-vorvor	vorvor	BORBOR	abvd	SIT	abvd_51_tosit_136
-xamo	xamo	KAMO	abvd	YAWN	abvd_47_toyawn_36
-xas	xas	KAS	abvd	BITE	abvd_41_tobite_1
-ŋar	ar	AR	abvd	CRY	abvd_34_tocry_5
-ŋaβŋaβ	aa	AA	abvd	BREATHE	abvd_28_tobreathe_69
-ŋokman	okman	OKMAN	abvd	COUNT	-
-ɣigit	ɣigit	GIGIT	abvd	SEE	abvd_46_tosee_1
-ɣihit	ɣihit	GIHIT	abvd	SEE	abvd_46_tosee_1
-ɣil	ɣil	GIL	abvd	DIG	abvd_90_todig_1
-ɣitərox	ɣitərox	GITEROK	abvd	SEE	abvd_46_tosee_1
-ɣorɣor	ɣorɣor	GORGOR	abvd	SCRATCH	abvd_77_toscratch_12
-ɳar	ɳar	NAR	abvd	CRY	abvd_34_tocry_5
-βaβo	ao	AO	abvd	WALK	abvd_5_towalk_98
-βaβu	au	AU	abvd	WALK	abvd_5_towalk_98
-βiβa	ia	IA	abvd	NEW	abvd_163_new_1
-βorβor	oror	OROR	abvd	SIT	abvd_51_tosit_136
-βoβu	ou	OU	abvd	BLOW (OF WIND)	abvd_137_toblow_6?
-βrok	rok	ROK	abvd	HOLD	abvd_89_tohold_34?
-βuβ	u	U	abvd	BLOW (OF WIND)	abvd_137_toblow_4
-ᴩəre	əre	ERE	abvd	SPIT	abvd_36_tospit_35
-ᵐbaɣavo	baɣavo	BAGABO	abvd	PLANT (SOMETHING)	abvd_84_toplant_60
-ᵐborvor	borvor	BORBOR	abvd	SIT	abvd_51_tosit_136
-ᵐbrɛv nonoq	brɛvnonoq	BREBNONOK	abvd	BREATHE	abvd_28_tobreathe_77
-ᵐbuaβu	buau	BUAU	abvd	WALK	abvd_5_towalk_98
-ᵐbugil	bugil	BUGIL	abvd	DIG	abvd_90_todig_61
-ᵐbulu	bulu	BULU	abvd	SHOOT	-
-ᵐbute	bute	BUTE	abvd	CUT OR HACK	-
-ᵐbɛᵐbarᵐbar	bɛbarbar	BEBARBAR	abvd	HIDE	-
-ᵐʙarus	ʙarus	BARUS	abvd	OPEN	-
-ᵐʙrulɛn	ʙrulɛn	BRULEN	abvd	COME	abvd_7_tocome_25?
-ᵐʙul	ʙul	BUL	abvd	BUY	abvd_91_tobuy_1
-ᵐʙuwɛr	ʙuwɛr	BUWER	abvd	SAY	abvd_64_tosay_30
-ᵐʙʷɛr	ʙɛr	BER	abvd	SAY	abvd_64_tosay_30
-ᵑga	ga	GA	abvd	FASTEN	abvd_66_totieupfasten_103
-ᵑgil	gil	GIL	abvd	DIG	abvd_90_todig_1
-ᵑgitᵑgitᵐbori	gitgitbori	GITGITBORI	abvd	DREAM (SOMETHING)	abvd_50_todream_10
-ᵑgulɛs	gulɛs	GULES	abvd	SWIM	abvd_9_toswim_8
-ⁿdake	dake	DAKE	abvd	FALL	abvd_95_tofall_95
-ⁿdakei	dakei	DAKEI	abvd	FALL	abvd_95_tofall_95
-ⁿdʳi	di	DI	abvd	TURN	abvd_8_toturn_34
-ⁿdʳoh	doh	DOH	abvd	HOLD	abvd_89_tohold_89?
-ⁿdʳur	dur	DUR	abvd	WORK (ACTIVITY)	-
-ⁿt͡sal	t͡sal	SAL	abvd	PAINFUL OR SICK	abvd_160_painfulsick_35
-ⁿt͡suŋt͡suŋ	t͡sut͡su	SUSU	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_9
-ⁿʧuŋʧuŋ naᵐʙʊn	ʧuʧunaʙʊn	UUNABUN	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_9
0mial	mial	MIAL	abvd	RED	abvd_149_red_1
ale	ale	ALE	abvd	FAR	abvd_180_far_74
arle	arle	ARLE	abvd	THAT	-
arɣa	arɣa	ARGA	abvd	ABOVE	abvd_175_above_25
aŋas	aas	AAS	abvd	WHEN	abvd_170_when_1
aᵐbi	abi	ABI	abvd	WHERE	abvd_181_where_3
aⁿdlean	adlean	ADLEAN	abvd	OTHER	abvd_190_other_54
aⁿdʳ	ad	AD	abvd	THEY	abvd_187_they_55
aⁿdʳiaⁿdʳ	adiad	ADIAD	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_74
aⁿdʳomox	adomox	ADOMOK	abvd	THEY	abvd_187_they_55
barat-	barat	BARAT	abvd	RIGHT	abvd_3_right_30
buxut	buxut	BUKUT	abvd	IN	abvd_174_ininside_50
e	e	E	abvd	AND	abvd_192_and_1?
ei	ei	EI	abvd	HE OR SHE	abvd_184_heshe_1
hale	hale	HALE	abvd	FAR	abvd_180_far_74
hi-tusuˑ	hitusu	HITUSU	abvd	SALT	abvd_125_salt_20?
horɛᵑgan	horɛgan	HOREGAN	abvd	IF	abvd_193_if_62
horɛⁿdaŋ	horɛda	HOREDA	abvd	IF	abvd_193_if_62
i-laᵐblaᵐb	ilablab	ILABLAB	abvd	BIG	abvd_153_big_10
i-lele	ilele	ILELE	abvd	SMALL	abvd_152_small_66
i-lim	ilim	ILIM	abvd	FIVE	abvd_201_five_1
i-mas	imas	IMAS	abvd	COOK (SOMETHING)	abvd_39_tocook_19
