Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'hot	hot	HOT	abvd	WARM	-
a bou	abou	ABOU	abvd	HUNT	-
a mwi	amwi	AMWI	abvd	HUNT	-
abasa	abasa	ABASA	abvd	LAUGH	-
abudon	abudon	ABUDON	abvd	THINK	abvd_21_tothink_90
ada	ada	ADA	abvd	SEW	-
adai imek	adaiimek	ADAIIMEK	abvd	KILL	abvd_74_tokill_2
ade-	ade	ADE	abvd	LIVER	abvd_17_liver_1
ade-m	adem	ADEM	abvd	LIVER	abvd_17_liver_1
adek	adek	ADEK	abvd	WALK	-
aden	aden	ADEN	abvd	CRY	abvd_34_tocry_1
ado	ado	ADO	abvd	YOU	abvd_186_you_1
aha	aha	AHA	abvd	YOU	-
aheh	aheh	AHEH	abvd	WHERE	abvd_181_where_8
ahi	ahi	AHI	abvd	DIG	-
ahon	ahon	AHON	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_1
ai	ai	AI	abvd	EAT	abvd_37_toeat_1
ajah	ajah	AYAH	abvd	DIRTY	-
ajuhi	ajuhi	AYUHI	abvd	COOK (SOMETHING)	abvd_39_tocook_8
akadi	akadi	AKADI	abvd	SQUEEZE	-
akahei	akahei	AKAHEI	abvd	THROW	-
ales	ales	ALES	abvd	LIE DOWN	-
alibi	alibi	ALIBI	abvd	POUND	-
alon	alon	ALON	abvd	OLD	-
aluhi	aluhi	ALUHI	abvd	BLOW (OF WIND)	abvd_137_toblow_71
amadin	amadin	AMADIN	abvd	SLEEP	abvd_48_tosleep_1
amak	amak	AMAK	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
amar	amar	AMAR	abvd	DRY	-
ame	ame	AME	abvd	COME	abvd_7_tocome_1
ameh	ameh	AMEH	abvd	DREAM (SOMETHING)	abvd_50_todream_1
amok	amok	AMOK	abvd	VOMIT	abvd_35_tovomit_1
amwenen	amwenen	AMWENEN	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_87
amweʔes	amweʔes	AMWEHES	abvd	GOOD	-
an	an	AN	abvd	AT	abvd_173_at_22
andra	andra	ANDRA	abvd	BRANCH	abvd_113_branch_1
andri	andri	ANDRI	abvd	BELOW OR UNDER	-
androm	androm	ANDROM	abvd	COUNT	abvd_196_tocount_84
ani	ani	ANI	abvd	BITE	abvd_41_tobite_38
anoh	anoh	ANOH	abvd	FEAR (BE AFRAID)	abvd_22_tofear_7
anuhun	anuhun	ANUHUN	abvd	HEAR	-
anya	anya	ANUA	abvd	SAY	-
anyek	anyek	ANUEK	abvd	CLIMB	abvd_172_toclimb_47
anyimon	anyimon	ANUIMON	abvd	EAT	-
