Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ᤀ	ɔ	O	wikipron	-	-
ᤀᤠᤀᤡᤴ	ain	AIN	wikipron	-	-
ᤀᤠᤀᤡᤴᤋᤠᤴᤍᤡᤰ	aintandik	AINTANDIK	wikipron	-	-
ᤀᤠᤂᤧᤴ	akʰɛn	AKEN	wikipron	-	-
ᤀᤠᤏᤡ	ani	ANI	wikipron	-	-
ᤀᤠᤑᤠᤗᤣ	apʰale	APALE	wikipron	-	-
ᤀᤠᤱᤃᤠ	aŋɡa	ANGA	wikipron	-	-
ᤀᤠᤳᤋᤡᤴ	attin	ATTIN	wikipron	-	-
ᤀᤠᤴᤇᤡ	ant͡ɕʰi	ANSI	wikipron	-	-
ᤀᤠᤶᤒᤡ	ambi	AMBI	wikipron	-	-
ᤀᤠᤸᤗᤠᤣ	allo	ALLO	wikipron	-	-
ᤀᤡᤰᤗᤣᤰ	iklek	IKLEK	wikipron	-	-
ᤀᤡᤱᤄᤱ	iŋɡʱɔŋ	INGON	wikipron	-	-
ᤀᤡᤶᤔᤠ	imma	IMMA	wikipron	-	-
ᤀᤧᤄᤠᤱ	ɛɡʱaŋ	EGAN	wikipron	-	-
ᤁ	kɔ	KO	wikipron	-	-
ᤁᤴ	kɔn	KON	wikipron	-	-
ᤁᤴᤇᤡ	kɔnt͡ɕʰi	KONSI	wikipron	-	-
ᤁᤴᤏᤠ	kɔnna	KONNA	wikipron	-	-
ᤁᤴᤜᤠ	kɔnɦa	KONHA	wikipron	-	-
ᤂ	kʰɔ	KO	wikipron	-	-
ᤂᤠᤍᤠᤶᤔᤠ	kʰadamma	KADAMMA	wikipron	-	-
ᤃ	ɡɔ	GO	wikipron	-	-
ᤄ	ɡʱɔ	GO	wikipron	-	-
ᤅ	ŋɔ	NO	wikipron	-	-
ᤅᤠᤛᤡ	ŋasi	NASI	wikipron	-	-
ᤆ	t͡ɕɔ	SO	wikipron	-	-
ᤆᤠᤜᤠᤒᤠ	t͡ɕaɦaba	SAHABA	wikipron	-	-
