Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aa	ɐaː	AA	wikipron	-	-
aa	ɐɐ	AA	wikipron	-	-
abatas	ɐbaːtɐs	ABATAS	wikipron	-	-
abatija	ɐbaːtʲɪjɐ	ABATIYA	wikipron	-	-
abatijai	ɐbaːtʲɪjɐɪ̯	ABATIYAI	wikipron	-	-
abatijas	ɐbaːtʲɪjɐs	ABATIYAS	wikipron	-	-
abatijos	ɐbaːtʲɪjoːs	ABATIYOS	wikipron	-	-
abatė	ɐbaːtʲeː	ABATE	wikipron	-	-
abažūras	ɐbɐʒuːrɐs	ABASURAS	wikipron	-	-
abchazas	ɐpxaːzɐs	APKASAS	wikipron	-	-
Abchazija	ɐpxaːzɪjɐ	APKASIYA	wikipron	-	-
Abchazijai	ɐpxaːzɪjɐɪ̯	APKASIYAI	wikipron	-	-
Abchazijoje	ɐpxaːzɪjoːjɛ	APKASIYOYE	wikipron	-	-
Abchazijos	ɐpxaːzɪjoːs	APKASIYOS	wikipron	-	-
Abchaziją	ɐpxaːzɪjaː	APKASIYA	wikipron	-	-
abchazė	ɐpxaːzʲeː	APKASE	wikipron	-	-
abejaip	ɐbʲɛjɐɪ̯ˑp	ABEYAIP	wikipron	-	-
absoliučiai	ɐbsɔlʲʊt͡ʃʲɪɐɪ	ABSOLUSIAI	wikipron	-	-
abu	ɐbʊ	ABU	wikipron	-	-
abudu	ɐbʊdʊ	ABUDU	wikipron	-	-
abėcėlė	ɐbʲeːt͡sʲěːlʲeː	ABESLE	wikipron	-	-
adata	aːdɐtɐ	ADATA	wikipron	-	-
agnus	ɐɡnʊs	AGNUS	wikipron	-	-
agrastas	ɐɡraːstɐs	AGRASTAS	wikipron	-	-
aguona	ɐɡu͡ənɐ	AGUNA	wikipron	-	-
ai	a͡ɪ	A	wikipron	-	-
ai	ɐ͡ɪ	A	wikipron	-	-
aidas	aɪdɐs	AIDAS	wikipron	-	-
aidas	ɐɪdɐs	AIDAS	wikipron	-	-
aikštė	ɐɪkɕtʲeː	AIKSTE	wikipron	-	-
ainis	ɐ͡ɪnɪs	ANIS	wikipron	-	-
aiškus	a͡ɪʂkʊs	ASKUS	wikipron	-	-
aiškus	ɐ͡ɪʂkʊs	ASKUS	wikipron	-	-
aklavietė	akɫɑːvʲɪɛtʲeː	AKLABIETE	wikipron	-	-
alavas	aːlɐvɐs	ALABAS	wikipron	-	-
aliai	ɐlʲæɪ	ALAI	wikipron	-	-
aliejus	ɐlʲɪəjʊs	ALIEYUS	wikipron	-	-
alyva	ɐlʲiːʋɐ	ALIWA	wikipron	-	-
Alžyras	alʒʲɪrɐs	ALSIRAS	wikipron	-	-
amalas	aːmɐlɐs	AMALAS	wikipron	-	-
Amerika	ɐmʲɛrʲɪkɐ	AMERIKA	wikipron	-	-
anglis	ɐŋʲɡʲlʲɪs	ANGLIS	wikipron	-	-
ankštas	ɐŋkʃtɐs	ANKSTAS	wikipron	-	-
antras	ɐ͡n̩trɐs	ATRAS	wikipron	-	-
apniukti	ɐpnʲʊktʲɪ	APNUKTI	wikipron	-	-
apniūkti	ɐpnʲuːktʲɪ	APNUKTI	wikipron	-	-
apsišaukėlis	apsʲɪʃauˑkʲeːlʲɪs	APSISAUKELIS	wikipron	-	-
apuokas	ɐpuəkɐs	APUEKAS	wikipron	-	-
apynys	ɐpʲiːnʲǐːs	APINS	wikipron	-	-
apyvarta	apʲiːvarta	APIBARTA	wikipron	-	-
aras	ǎːrɐs̪	RAS	wikipron	-	-
arbata	ɐrbɐtɐ	ARBATA	wikipron	-	-
arklas	arklɐs	ARKLAS	wikipron	-	-
arkliukas	ɐrklʲʊkɐs	ARKLUKAS	wikipron	-	-
arklys	ɐrklʲiːs	ARKLIS	wikipron	-	-
armuo	armuə	ARMUE	wikipron	-	-
arti	artʲɪ	ARTI	wikipron	-	-
