Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ajé	aj	AY	abvd	ROPE	abvd_65_rope_6
aku	aku	AKU	abvd	I	abvd_182_i_1
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
apa	apa	APA	abvd	WHAT	abvd_188_what_1
api	api	API	abvd	FIRE	abvd_143_fire_1
ata	ata	ATA	abvd	PERSON	abvd_53_personhumanbeing_4
ata fai	atafai	ATAPAI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
ata haki	atahaki	ATAHAKI	abvd	MALE PERSON	abvd_54_manmale_7
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
até	at	AT	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
awu	awu	AWU	abvd	DUST	abvd_11_dust_1
aē	a	A	abvd	WATER	abvd_122_water_2
aŋi	ai	AI	abvd	WIND	abvd_136_wind_1
bara	bara	BARA	abvd	WHITE	abvd_148_white_3
bhənu	bhənu	BHENU	abvd	SWELL	abvd_87_toswell_1?
bhəri	bhəri	BHERI	abvd	GOOD	-
boko	boko	BOKO	abvd	SHORT	abvd_154_short_3
bua	bua	BUA	abvd	FEATHER	abvd_99_feather_1?
buka	buka	BUKA	abvd	OPEN	abvd_92_toopenuncover_1
béla	bla	BLA	abvd	THUNDER	abvd_134_thunder_7
bélo	blo	BLO	abvd	TURN	abvd_8_toturn_24
béu	bu	BU	abvd	FAR	-
béwa	bwa	BWA	abvd	LONG	abvd_155_long_6?
bērē	br	BR	abvd	FLOW	abvd_123_toflow_3
bəlé	bəl	BEL	abvd	WING	abvd_100_wing_76
dara	dara	DARA	abvd	STAR	abvd_130_star_4
dari	dari	DARI	abvd	STAND	abvd_52_tostand_1
dhula	dhula	DHULA	abvd	SKIN	-
dubu	dubu	DUBU	abvd	BLUNT	abvd_82_dullblunt_38
duʔa	duʔa	DUHA	abvd	OLD	abvd_162_old_1
déo	do	DO	abvd	HOLD	abvd_89_tohold_5
dəmi	dəmi	DEMI	abvd	IF	-
fai	fai	PAI	abvd	WIFE	abvd_58_wife_31
fu	fu	PU	abvd	HAIR	abvd_26_hair_1
galé	gal	GAL	abvd	CHOOSE	abvd_85_tochoose_3
garé	gar	GAR	abvd	SAY	abvd_64_tosay_6
ghale one	ghaleone	GHALEONE	abvd	IN	-
ghale wəna	ghalewəna	GHALEWENA	abvd	BELOW OR UNDER	abvd_176_below_1
gharu	gharu	GHARU	abvd	THAT	-
gheta wawo	ghetawawo	GHETAWAWO	abvd	ABOVE	abvd_175_above_5?
ghéa	gha	GHA	abvd	AT	-
ghēa	gha	GHA	abvd	THAT	-
gəté	gət	GET	abvd	CUT OR HACK	-
