Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
afadatəŋ	afadatə	APADATE	abvd	BAD OR EVIL	-
alaka	alaka	ALAKA	abvd	WHAT	-
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
ao	ao	AO	abvd	DOG	abvd_96_dog_1
ape	ape	APE	abvd	FIRE	abvd_143_fire_1
apu	apu	APU	abvd	FOG	abvd_132_fog_1?
arapira	arapira	ARAPIRA	abvd	WHEN	-
atadikã	atadik	ATADIK	abvd	PERSON	abvd_53_personhumanbeing_4
aŋi	ai	AI	abvd	WIND	abvd_136_wind_1
bapa	bapa	BAPA	abvd	FATHER	abvd_60_father_5
bati	bati	BATI	abvd	HUNT	-
batã	bat	BAT	abvd	HEAVY	-
belarâ	belar	BELAR	abvd	PAINFUL OR SICK	abvd_160_painfulsick_8
belo	belo	BELO	abvd	CUT OR HACK	abvd_78_tocuthack_110
belomã	belom	BELOM	abvd	IN	-
belã	bel	BEL	abvd	BIG	-
blã	bl	BL	abvd	LONG	-
bolak	bolak	BOLAK	abvd	POUND	-
botã	bot	BOT	abvd	SAND	-
boŋã	bo	BO	abvd	FASTEN	-
buka	buka	BUKA	abvd	OPEN	abvd_92_toopenuncover_1
burã	bur	BUR	abvd	WHITE	abvd_148_white_3
bã	b	B	abvd	FLOW	abvd_123_toflow_9
bəka	bəka	BEKA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
bərəkə	bərəkə	BEREKE	abvd	SHARP	-
bəso	bəso	BESO	abvd	COME	-
dae	dae	DAE	abvd	NEAR	-
dei	dei	DEI	abvd	STAND	abvd_52_tostand_1
die	die	DIE	abvd	BLOW (OF WIND)	-
diga	diga	DIGA	abvd	WHERE	-
doe	doe	DOE	abvd	FAR	-
dəna	dəna	DENA	abvd	COOK (SOMETHING)	-
dəŋa	dəa	DEA	abvd	HEAR	abvd_44_tohear_1
efel	efel	EPEL	abvd	TONGUE	abvd_32_tongue_29
fai	fai	PAI	abvd	WATER	abvd_122_water_2
faine	faine	PAINE	abvd	RIGHT	-
fakahae	fakahae	PAKAHAE	abvd	ALL	-
fato	fato	PATO	abvd	STONE	-
forã	for	POR	abvd	FAT (ORGANIC SUBSTANCE)	-
fu	fu	PU	abvd	NEW	abvd_163_new_1
fuli	fuli	PULI	abvd	NECK	abvd_25_neck_120
fulã	ful	PUL	abvd	FRUIT	-
fãu	fu	PU	abvd	ROTTEN	-
fəfã	fəf	PEP	abvd	MOUTH	abvd_30_mouth_1
garo	garo	GARO	abvd	SCRATCH	abvd_77_toscratch_1
geak	geak	GEAK	abvd	OTHER	-
geba	geba	GEBA	abvd	THROW	abvd_94_tothrow_107
geka	geka	GEKA	abvd	LAUGH	abvd_33_tolaugh_6?
goe	goe	GOE	abvd	I	-
goka	goka	GOKA	abvd	FALL	-
goki	goki	GOKI	abvd	BITE	-
gui	gui	GUI	abvd	DIG	-
gələtã	gələt	GELET	abvd	COLD	-
hau	hau	HAU	abvd	SEW	abvd_67_tosew_10
heku	heku	HEKU	abvd	WHO	-
hik	hik	HIK	abvd	FLESH OR MEAT	-
hipet	hipet	HIPET	abvd	NARROW	-
