Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
arine	arine	ARINE	abvd	RIGHT	abvd_3_right_54
aðni-	ani	ANI	abvd	SHOULDER	-
bono	bono	BONO	abvd	ROTTEN	abvd_112_rotten_52
faleðe	falee	PALEE	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
farsin bili-	farsinbili	PARSINBILI	abvd	HAND	abvd_1_hand_41
fatlu-	fatlu	PATLU	abvd	EGG	abvd_98_egg_1
faɣri-	faɣri	PAGRI	abvd	BONE	abvd_15_bone_27
fele-	fele	PELE	abvd	TAIL	abvd_105_tail_64
fereyən	fereyən	PEREUEN	abvd	SAY	abvd_64_tosay_30
feðen	feen	PEEN	abvd	OTHER	abvd_190_other_64
fi-	fi	PI	abvd	FRUIT	abvd_117_fruit_1
fo-nsɨ	fonsɨ	PONSI	abvd	CHILD	abvd_56_child_5
fok	fok	POK	abvd	VOMIT	abvd_35_tovomit_27
fri-	fri	PRI	abvd	SKIN	abvd_12_skin_1
fulu	fulu	PULU	abvd	MOON	abvd_129_moon_1
fulu-	fulu	PULU	abvd	HAIR	abvd_26_hair_31
furo-	furo	PURO	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_45
fuð	fu	PU	abvd	BLACK	abvd_147_black_74
fɨr	fɨr	PIR	abvd	LOUSE	abvd_108_louse_1
fɨrɨr	fɨrɨr	PIRIR	abvd	BITE	abvd_41_tobite_64
kankan	kankan	KANKAN	abvd	SHARP	abvd_81_sharp_14
kanəm	kanəm	KANEM	abvd	WE	abvd_185_we_2
kar	kar	KAR	abvd	RED	abvd_149_red_53
karsim	karsim	KARSIM	abvd	SPIT	abvd_36_tospit_14
koytˢə	koytə	KOUTE	abvd	WALK	abvd_5_towalk_103
ku	ku	KU	abvd	DRY	abvd_140_dry_29?
kənim	kənim	KENIM	abvd	YOU	abvd_186_you_1
la	la	LA	abvd	HOLD	abvd_89_tohold_71
laline	laline	LALINE	abvd	MALE PERSON	abvd_54_manmale_1
laplak	laplak	LAPLAK	abvd	THROW	abvd_94_tothrow_86
la·ror	laror	LAROR	abvd	CLOUD	abvd_131_cloud_90
laŋlaŋ	lala	LALA	abvd	WORK (ACTIVITY)	abvd_83_towork_87
laɣar far	laɣarfar	LAGARPAR	abvd	THUNDER	abvd_134_thunder_15
leə	leə	LEE	abvd	WHEN	abvd_170_when_74
linə	linə	LINE	abvd	FIVE	abvd_201_five_1
linə-raθ	linəra	LINERA	abvd	SIX	abvd_202_six_35
lusu-	lusu	LUSU	abvd	NOSE	abvd_27_nose_1
lye	lye	LUE	abvd	FASTEN	abvd_66_totieupfasten_1
ləbʷatˢe	ləbate	LEBATE	abvd	SKY	-
ma-ŋ	ma	MA	abvd	MOTHER	abvd_59_mother_5
