Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-abót	abt	ABT	abvd	COME	abvd_7_tocome_15
-bahól	bahl	BAHL	abvd	BIG	abvd_153_big_93
-higút	higt	HIGT	abvd	FASTEN	abvd_66_totieupfasten_1
-hábaʔ	hbaʔ	HBAH	abvd	LONG	abvd_155_long_27
-hígkuʔ	hgkuʔ	HGKUH	abvd	DIRTY	abvd_10_dirty_11
-húyaʔ	hyaʔ	HUAH	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
-itúm	itm	ITM	abvd	BLACK	abvd_147_black_1
-labug	labug	LABUG	abvd	LONG	abvd_155_long_108
-lapad-	lapad	LAPAD	abvd	WIDE	abvd_159_wide_48
-matáy	maty	MATU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-nipis	nipis	NIPIS	abvd	NARROW	-
-niwaŋ	niwa	NIWA	abvd	NARROW	-
-pula	pula	PULA	abvd	RED	abvd_149_red_28
-putíʔ	putʔ	PUTH	abvd	WHITE	abvd_148_white_1
-rapít	rapt	RAPT	abvd	NEAR	abvd_179_near_36
-tarúm	tarm	TARM	abvd	SHARP	abvd_81_sharp_1
-wayaŋ	waya	WAUA	abvd	WIDE	-
abága	abga	ABGA	abvd	SHOULDER	abvd_19_shoulder_1
abó	ab	AB	abvd	ASH	abvd_146_ashes_1
abú	ab	AB	abvd	ASH	abvd_146_ashes_1
akó	ak	AK	abvd	I	abvd_182_i_1
akú	ak	AK	abvd	I	abvd_182_i_1
alikabók	alikabk	ALIKABK	abvd	DUST	abvd_11_dust_1
alíma	alma	ALMA	abvd	HAND	abvd_1_hand_1
amíhan	amhan	AMHAN	abvd	WIND	-
anda	anda	ANDA	abvd	THEY	abvd_187_they_1
anó	an	AN	abvd	WHAT	abvd_188_what_2
anú	an	AN	abvd	WHAT	abvd_188_what_2
asáwa	aswa	ASWA	abvd	WIFE	abvd_58_wife_1
asín	asn	ASN	abvd	SALT	abvd_125_salt_3
asó	as	AS	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
asú	as	AS	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
aton	aton	ATON	abvd	WE	-
atáy	aty	ATU	abvd	LIVER	abvd_17_liver_1
atóp	atp	ATP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atúp	atp	ATP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
babáyi	babyi	BABUI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bahól	bahl	BAHL	abvd	GROW	abvd_86_togrow_34
bahúl	bahl	BAHL	abvd	BIG	abvd_153_big_93
bakál	bakl	BAKL	abvd	BUY	abvd_91_tobuy_32
balahíbo	balahbo	BALAHBO	abvd	FEATHER	abvd_99_feather_21
baláy	baly	BALU	abvd	HOUSE	abvd_61_house_14
balík	balk	BALK	abvd	TURN	abvd_8_toturn_4
barahúl	barahl	BARAHL	abvd	BIG	abvd_153_big_93
barás	bars	BARS	abvd	SAND	abvd_121_sand_19
batíʔ	batʔ	BATH	abvd	HEAR	abvd_44_tohear_20
bató	bat	BAT	abvd	STONE	abvd_120_stone_1
batú	bat	BAT	abvd	STONE	abvd_120_stone_1
baʔbaʔ	baʔbaʔ	BAHBAH	abvd	MOUTH	abvd_30_mouth_1
baʔóg	baʔg	BAHG	abvd	ROTTEN	-
baʔúg	baʔg	BAHG	abvd	ROTTEN	-
bituʔún	bituʔn	BITUHN	abvd	STAR	abvd_130_star_1
bitín	bitn	BITN	abvd	SNAKE	abvd_106_snake_77
bitúʔon	bitʔon	BITHON	abvd	STAR	abvd_130_star_1
buhiʔán	buhiʔn	BUHIHN	abvd	BE ALIVE	abvd_76_tolivebealive_14
buhíʔ	buhʔ	BUHH	abvd	BE ALIVE	abvd_76_tolivebealive_14
buhók	buhk	BUHK	abvd	HAIR	abvd_26_hair_1
buhúk	buhk	BUHK	abvd	HAIR	abvd_26_hair_1
bukás	buks	BUKS	abvd	OPEN	abvd_92_toopenuncover_1
bukáʔ	bukʔ	BUKH	abvd	SPLIT	abvd_80_tosplit_102
bukón	bukn	BUKN	abvd	NO OR NOT	abvd_195_nonot_26
bukún	bukn	BUKN	abvd	NO OR NOT	abvd_195_nonot_26
bukút matarúm	buktmatarm	BUKTMATARM	abvd	BLUNT	-
buláklak	bulklak	BULKLAK	abvd	FLOWER	abvd_116_flower_22
bulóŋ	bul	BUL	abvd	LEAF	abvd_114_leaf_18
bulúŋ	bul	BUL	abvd	LEAF	abvd_114_leaf_18
bunóʔ	bunʔ	BUNH	abvd	STAB	abvd_71_tostabpierce_26
buʔól	buʔl	BUHL	abvd	HOLD	abvd_89_tohold_123
buʔót	buʔt	BUHT	abvd	IN	-
buʔúl	buʔl	BUHL	abvd	HOLD	abvd_89_tohold_123
bágo	bgo	BGO	abvd	NEW	abvd_163_new_1
bágʔo	bgʔo	BGHO	abvd	NEW	abvd_163_new_1
báhoʔ	bhoʔ	BHOH	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_71
bálon	blon	BLON	abvd	BUY	-
bánok	bnok	BNOK	abvd	HIT	abvd_72_tohit_24
bánʔus	bnʔus	BNHUS	abvd	ROTTEN	abvd_112_rotten_122
bátaʔ	btaʔ	BTAH	abvd	CHILD	abvd_56_child_16
báyi	byi	BUI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
