Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wikipron	-	-
aba	aba	ABA	wikipron	-	-
absurds	apsùrt͡s	APSRS	wikipron	-	-
acis	at͡sʲis	ASIS	wikipron	-	-
acs	at͡sʲsʲ	ASS	wikipron	-	-
acteņa	at͡sʲtʲænʲa	ASTANA	wikipron	-	-
aforizms	afɔrizms	APORISMS	wikipron	-	-
akmiņs	akʲmʲinʲt͡sʲ	AKMINS	wikipron	-	-
apdūmeigs	abdùːmʲæ̀i̯ks	ABDMAIKS	wikipron	-	-
ar	âr	R	wikipron	-	-
as	as	AS	wikipron	-	-
aseite	asʲɛ̀i̯tʲæ	ASEITA	wikipron	-	-
ass	ass	ASS	wikipron	-	-
ass	asʲsʲ	ASS	wikipron	-	-
atzeit	ad͡zʲæ̀i̯tʲ	ASAIT	wikipron	-	-
audzieknis	âu̯d͡zʲîɛ̯kʲnʲisʲ	USEKNIS	wikipron	-	-
aļteņš	àlʲtʲænʲt͡ʃ	LTANS	wikipron	-	-
baba	baba	BABA	wikipron	-	-
babeņa	babʲænʲa	BABANA	wikipron	-	-
bet	bʲæt	BAT	wikipron	-	-
bez	bʲɛs	BES	wikipron	-	-
bierneņš	bʲìɛ̯rnʲænʲt͡ʃ	BERNANS	wikipron	-	-
bolts	bɔ̀lt͡s	BOLS	wikipron	-	-
bolūds	bɔlûːt͡sʲ	BOLS	wikipron	-	-
bruoleits	brùɔ̯lʲɛ̀i̯t͡sʲ	BROLEIS	wikipron	-	-
bruoļ	brùɔ̯lʲ	BROL	wikipron	-	-
bruoļs	brùɔ̯lʲs	BROLS	wikipron	-	-
buoba	bùɔ̯ba	BOBA	wikipron	-	-
buobeņa	bùɔ̯bʲænʲa	BOBANA	wikipron	-	-
byut	bɨ̂u̯tʲ	BIUT	wikipron	-	-
bārns	bàːrnt͡s	BRNS	wikipron	-	-
calms	t͡sâlms	SLMS	wikipron	-	-
catūrts	t͡satûːrt͡s	SATRS	wikipron	-	-
celeņš	t͡sʲɛlʲænʲt͡ʃ	SELANS	wikipron	-	-
cept	t͡sʲæpʲtʲ	SAPT	wikipron	-	-
ceuka	t͡sʲɛu̯ka	SEUKA	wikipron	-	-
ceļt	t͡sʲæ̂lʲtʲ	SALT	wikipron	-	-
ceļš	t͡sʲɛ̀lʲʃ	SELS	wikipron	-	-
cik	t͡sʲik	SIK	wikipron	-	-
cjoce	t͡sjɔt͡sʲæ	SYOSA	wikipron	-	-
cjoceite	t͡sjɔt͡sʲɛ̀i̯tʲæ	SYOSEITA	wikipron	-	-
cylvāks	t͡sɨ̀lvàːks	SILBKS	wikipron	-	-
cyuka	t͡sɨ̀u̯ka	SIUKA	wikipron	-	-
cīmeņš	t͡sʲìːmʲænʲt͡ʃ	SMANS	wikipron	-	-
cīms	t͡sʲìːmʲsʲ	SMS	wikipron	-	-
cīnejams	t͡sʲìːnʲæjams	SNAYAMS	wikipron	-	-
cīts	t͡sʲîːt͡s	SS	wikipron	-	-
cīši	t͡sʲîːʃi	SSI	wikipron	-	-
darbeņš	dârbʲænʲt͡ʃ	DRBANS	wikipron	-	-
dasmyts	dasmɨt͡s	DASMIS	wikipron	-	-
daudz	dàut͡s	DUS	wikipron	-	-
debeseits	dʲæbʲæsʲɛ̀i̯t͡sʲ	DABASEIS	wikipron	-	-
debess	dʲæbʲæss	DABASS	wikipron	-	-
debesteņš	dʲæbʲæsʲtʲænʲt͡ʃ	DABASTANS	wikipron	-	-
desmit	dʲɛsʲmʲit	DESMIT	wikipron	-	-
deveits	dʲɛvʲɛ̂i̯t͡s	DEBEIS	wikipron	-	-
deveni	dʲɛvʲɛnʲi	DEBENI	wikipron	-	-
devenis	dʲɛvʲɛnʲis	DEBENIS	wikipron	-	-
dieleņš	dʲîɛ̯lʲænʲt͡ʃ	DELANS	wikipron	-	-
direktors	dʲiræktɔ̀rs	DIRAKTORS	wikipron	-	-
div	dʲif	DIP	wikipron	-	-
diveji	dʲivʲɛji	DIBEYI	wikipron	-	-
divejis	dʲivʲɛjis	DIBEYIS	wikipron	-	-
divi	dʲivʲi	DIBI	wikipron	-	-
docātuojs	dɔt͡sàːtûɔ̯js	DOSTOYS	wikipron	-	-
dorbs	dɔ̂rps	DORPS	wikipron	-	-
draudzeņš	dràu̯d͡zʲænʲt͡ʃ	DRUSANS	wikipron	-	-
draudzine	dràu̯d͡zʲinʲæ	DRUSINA	wikipron	-	-
draudzineite	dràu̯d͡zʲinʲɛ̀i̯tʲæ	DRUSINEITA	wikipron	-	-
draugs	dràu̯ks	DRUKS	wikipron	-	-
dreizs	dræ̀i̯ss	DRAISS	wikipron	-	-
dreiži	dræ̀i̯ʒi	DRAISI	wikipron	-	-
dreižuok	dræ̀i̯ʒûɔ̯k	DRAISOK	wikipron	-	-
duorgs	dùɔ̯rks	DORKS	wikipron	-	-
duraks	duraks	DURAKS	wikipron	-	-
dyžan	dɨʒan	DISAN	wikipron	-	-
dzaltona	d͡zâltɔna	SLTONA	wikipron	-	-
dzaltons	d͡zâltɔnt͡s	SLTONS	wikipron	-	-
