Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ʼนะ	ˀnaʔ	NAH	wikipron	-	-
กรัจ	krac	KRAK	wikipron	-	-
กรา	kra	KRA	wikipron	-	-
กลัจ	klac	KLAK	wikipron	-	-
กวง	kua̯ŋ	KUAN	wikipron	-	-
กอก	kɔk	KOK	wikipron	-	-
กอฺ	kɒ	K	wikipron	-	-
กะ	kaʔ	KAH	wikipron	-	-
กัก	kak	KAK	wikipron	-	-
กัญ	kaɲ	KAN	wikipron	-	-
กัด	kat	KAT	wikipron	-	-
กัม	kam	KAM	wikipron	-	-
กัว	kua̯	KUA	wikipron	-	-
กิฮ	kih	KIH	wikipron	-	-
กึด	kɨt	KIT	wikipron	-	-
ครัก	kʰrak	KRAK	wikipron	-	-
คลัก	kʰlak	KLAK	wikipron	-	-
คุด	kʰut	KUT	wikipron	-	-
ฆ̱อ	ᵑɡɔ	GO	wikipron	-	-
ฆ̱ับ	ᵑɡap	GAP	wikipron	-	-
งอ	ŋɔ	NO	wikipron	-	-
งอง	ŋɔŋ	NON	wikipron	-	-
จวง	cua̯ŋ	KUAN	wikipron	-	-
จอ	cɔ	KO	wikipron	-	-
จะ	caʔ	KAH	wikipron	-	-
จัก	cak	KAK	wikipron	-	-
จึง	cɨŋ	KIN	wikipron	-	-
จุดวู	cutwu	KUTWU	wikipron	-	-
จุบเจียบ	cupcia̯p	KUPKIAP	wikipron	-	-
ซครัก	sᵊkʰrak	SKRAK	wikipron	-	-
ซคลัก	sᵊkʰlak	SKLAK	wikipron	-	-
ซคา	sᵊkʰa	SKA	wikipron	-	-
ซงา	sᵊŋa	SNA	wikipron	-	-
ซตะ	sᵊtaʔ	STAH	wikipron	-	-
ซตัญ	sᵊtaɲ	STAN	wikipron	-	-
ซปะ	sᵊpaʔ	SPAH	wikipron	-	-
ซมา	sᵊma	SMA	wikipron	-	-
ซอง	sɔŋ	SON	wikipron	-	-
ซอัง	sᵊʔaŋ	SHAN	wikipron	-	-
ซัก	sak	SAK	wikipron	-	-
ซัง	saŋ	SAN	wikipron	-	-
ซัญ	saɲ	SAN	wikipron	-	-
ซัด	sat	SAT	wikipron	-	-
ซเกิญ	sᵊkəɲ	SKEN	wikipron	-	-
ซเงะ	sᵊŋeʔ	SNEH	wikipron	-	-
ซเงีย	sᵊŋia̯	SNIA	wikipron	-	-
ซเบิง	sᵊɓəŋ	SBEN	wikipron	-	-
ซเอฮ	sᵊʔeh	SHEH	wikipron	-	-
ซเอิง	sᵊʔəŋ	SHEN	wikipron	-	-
