Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ა	ɑ	A	wikipron	-	-
აბაზა	ɑbɑzɑ	ABASA	wikipron	-	-
აბარენ	ɑbɑɹɛn	ABAREN	wikipron	-	-
აბდეზი	ɑbdɛzi	ABDESI	wikipron	-	-
აბდეზხანა	ɑbdɛzxɑnɑ	ABDESKANA	wikipron	-	-
აბჯაკატუ	ɑbd͡ʒɑkʼɑtʼu	ABSAKATU	wikipron	-	-
ათინა	ɑtʰinɑ	ATINA	wikipron	-	-
ალი	ɑli	ALI	wikipron	-	-
ანტამა	ɑntʼɑmɑ	ANTAMA	wikipron	-	-
არაბი	ɑɹɑbi	ARABI	wikipron	-	-
არაბი	ɑɾɑbi	ARABI	wikipron	-	-
არტაშენი	ɑɾtʼɑʃɛni	ARTASENI	wikipron	-	-
არქაბი	ɑɹkʰɑbi	ARKABI	wikipron	-	-
აში	ɑʃi	ASI	wikipron	-	-
ბაგენი	bɑɡɛni	BAGENI	wikipron	-	-
ბაქლავა	bɑkʰlɑvɑ	BAKLABA	wikipron	-	-
ბერე	bɛɹɛ	BERE	wikipron	-	-
ბერე	bɛɾɛ	BERE	wikipron	-	-
ბერენა	bɛɾɛnɑ	BERENA	wikipron	-	-
ბიბი	bibi	BIBI	wikipron	-	-
ბიგა	biɡɑ	BIGA	wikipron	-	-
ბიჲა	bijɑ	BIYA	wikipron	-	-
ბონძოლა	bɔnd͡zɔlɑ	BONSOLA	wikipron	-	-
ბულგარი	bulɡɑɹi	BULGARI	wikipron	-	-
ბულგარი	bulɡɑɾi	BULGARI	wikipron	-	-
ბულგარისთანი	bulɡɑɹistʰɑni	BULGARISTANI	wikipron	-	-
ბულგარისთანი	bulɡɑɾistʰɑni	BULGARISTANI	wikipron	-	-
გ	ɡ	G	wikipron	-	-
გ	ɡʲ	G	wikipron	-	-
გამაზურზამს	ɡɑmɑzuɹzɑms	GAMASURSAMS	wikipron	-	-
გარაჟი	ɡɑɹɑʒi	GARASI	wikipron	-	-
გარაჟი	ɡɑɾɑʒi	GARASI	wikipron	-	-
გარიბი	ɡɑɹibi	GARIBI	wikipron	-	-
გარიბი	ɡɑɾibi	GARIBI	wikipron	-	-
გეგაფა	ɡɛɡɑpʰɑ	GEGAPA	wikipron	-	-
გვაკორენ	ɡvɑkʼɔɾɛn	GBAKOREN	wikipron	-	-
გვერდი	ɡvɛɹdi	GBERDI	wikipron	-	-
გვერდი	ɡwɛɹdi	GWERDI	wikipron	-	-
გოინთხენ	ɡɔintʰxɛn	GOINTKEN	wikipron	-	-
გომფანობა	ɡɔmpʰɑnɔbɑ	GOMPANOBA	wikipron	-	-
გრიფი	ɡɹipʰi	GRIPI	wikipron	-	-
გრიფი	ɡɾipʰi	GRIPI	wikipron	-	-
გუჟუღი	ɡuʒuɣi	GUSUGI	wikipron	-	-
გური	ɡuɹi	GURI	wikipron	-	-
გური	ɡuɾi	GURI	wikipron	-	-
გურპიჯი	ɡuɹpʼid͡ʒi	GURPISI	wikipron	-	-
