Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
अन्न	ənnᵊ	ENN	wikipron	-	-
अहाँ	əɦãː	EH	wikipron	-	-
अहाँक	əɦãːk	EHK	wikipron	-	-
अहाँलऽ	əɦãːləː	EHLE	wikipron	-	-
अहें	əɦẽː	EH	wikipron	-	-
अहꣿँ	əɦəĕ̃	EHE	wikipron	-	-
अहꣿँ	əɦɛ̃	EHE	wikipron	-	-
अहꣿं	əɦəĕ̃	EHE	wikipron	-	-
अहꣿं	əɦɛ̃	EHE	wikipron	-	-
अऽ	əː	E	wikipron	-	-
अ꣱	ɔ	O	wikipron	-	-
आएब	aːĕb	AB	wikipron	-	-
आएब	æb	AB	wikipron	-	-
आखर	aːkʰəɾ	AKER	wikipron	-	-
आठ	aːʈʰ	AT	wikipron	-	-
इएँ	ɪẽː	I	wikipron	-	-
इसपात	ɪsᵊpaːt	ISPAT	wikipron	-	-
इसलाम	ɪsᵊlaːm	ISLAM	wikipron	-	-
इऺ	ɪ̆	I	wikipron	-	-
ई	iː	I	wikipron	-	-
उएँ	ʊẽː	U	wikipron	-	-
उड़ब	ʊɽəb	UREB	wikipron	-	-
उड़ब	ʊɾəb	UREB	wikipron	-	-
उनैस	ʊnəɪs	UNEIS	wikipron	-	-
उऺ	ʊ̆	U	wikipron	-	-
ऊ	uː	U	wikipron	-	-
ऎकरा	ekᵊɾaː	EKRA	wikipron	-	-
ऎकराल	ekᵊɾaːl	EKRAL	wikipron	-	-
ऎकरेँ	ekᵊɾẽː	EKR	wikipron	-	-
ऎकरें	ekᵊɾẽː	EKR	wikipron	-	-
ए	eː	E	wikipron	-	-
एक	eːk	EK	wikipron	-	-
एकर	eːkəɾ	EKER	wikipron	-	-
एकरा	ekᵊɾaː	EKRA	wikipron	-	-
एकराल	ekᵊɾaːl	EKRAL	wikipron	-	-
एकरें	ekᵊɾẽː	EKR	wikipron	-	-
ऒकरा	okᵊɾaː	OKRA	wikipron	-	-
ऒकराल	okᵊɾaːl	OKRAL	wikipron	-	-
ऒकरें	okᵊɾẽː	OKR	wikipron	-	-
ओ	oː	O	wikipron	-	-
ओकर	oːkəɾ	OKER	wikipron	-	-
ओकरा	okᵊɾaː	OKRA	wikipron	-	-
ओकराल	okᵊɾaːl	OKRAL	wikipron	-	-
ओकरें	okᵊɾẽː	OKR	wikipron	-	-
करब	kəɾəb	KEREB	wikipron	-	-
कहब	kəɦəb	KEHEB	wikipron	-	-
काटब	kaːʈəb	KATEB	wikipron	-	-
किताप	kɪtaːp	KITAP	wikipron	-	-
खाएब	kʰaːĕb	KAB	wikipron	-	-
खाएब	kʰæb	KAB	wikipron	-	-
खिखिर	kʰɪkʰɪɾ	KIKIR	wikipron	-	-
खोलब	kʰoːləb	KOLEB	wikipron	-	-
गवैया	ɡəʋəɪjaː	GEWEIYA	wikipron	-	-
गहुँत	ɡəɦʊ̃t	GEHUT	wikipron	-	-
गहूँ	ɡəɦũː	GEH	wikipron	-	-
गाछ	ɡaːt͡ɕʰ	GAS	wikipron	-	-
गाजर	ɡaːd͡ʑəɾ	GASER	wikipron	-	-
गाय	ɡaːĕ	GA	wikipron	-	-
गाय	ɡæ	GA	wikipron	-	-
घोसब	ɡʱoːsəb	GOSEB	wikipron	-	-
चलचित्र	t͡ɕəlᵊt͡ɕɪtɾᵊ	SELSITR	wikipron	-	-
चलब	t͡ɕələb	SELEB	wikipron	-	-
चानी	t͡ɕaːniː	SANI	wikipron	-	-
चारि	t͡ɕaːɪɾ	SAIR	wikipron	-	-
चारि	t͡ɕaːɾɪ̆	SARI	wikipron	-	-
चाहब	t͡ɕaːɦəb	SAHEB	wikipron	-	-
चीठी	tɕiːʈʰiː	TSITI	wikipron	-	-
छऒ	t͡ɕʰɔ	SO	wikipron	-	-
छऒ	t͡ɕʰəŏ	SE	wikipron	-	-
जाएब	d͡ʑaːĕb	SAB	wikipron	-	-
जाएब	d͡ʑæb	SAB	wikipron	-	-
जानब	d͡ʑaːnəb	SANEB	wikipron	-	-
जापत्री	d͡ʑapətɾiː	SAPETRI	wikipron	-	-
डिम्मा	ɖɪmmaː	DIMMA	wikipron	-	-
ताग	taːɡ	TAG	wikipron	-	-
तीन	tiːn	TIN	wikipron	-	-
तॊहरा	toɦᵊɾaː	TOHRA	wikipron	-	-
तॊहराल	toɦᵊɾaːl	TOHRAL	wikipron	-	-
तॊहरें	toɦᵊɾẽː	TOHR	wikipron	-	-
तोह	tõːɦ	TH	wikipron	-	-
तोहर	toːɦəɾ	TOHER	wikipron	-	-
तोहरा	toɦᵊɾaː	TOHRA	wikipron	-	-
तोहराल	toɦᵊɾaːl	TOHRAL	wikipron	-	-
तोहरें	toɦᵊɾẽː	TOHR	wikipron	-	-
तोहें	toːɦẽː	TOH	wikipron	-	-
थाकब	tʰaːkəb	TAKEB	wikipron	-	-
दिल्ली	dɪlliː	DILLI	wikipron	-	-
दू	duː	DU	wikipron	-	-
देखब	deːkʰəb	DEKEB	wikipron	-	-
दौड़ब	dəʊɽəb	DEUREB	wikipron	-	-
दौड़ब	dəʊɾəb	DEUREB	wikipron	-	-
धरि	dʱəɪɾ	DEIR	wikipron	-	-
धरि	dʱəɾɪ̆	DERI	wikipron	-	-
नऒ	nɔ	NO	wikipron	-	-
नऒ	nəŏ	NE	wikipron	-	-
नून	nuːn	NUN	wikipron	-	-
पढ़ब	pəɽʱəb	PEREB	wikipron	-	-
पढ़ब	pəɾʱəb	PEREB	wikipron	-	-
पन्द्रह	pəndɾəɦ	PENDREH	wikipron	-	-
पाएब	paːĕb	PAB	wikipron	-	-
पाएब	pæb	PAB	wikipron	-	-
पान	paːn	PAN	wikipron	-	-
पानि	paːnɪ̆	PANI	wikipron	-	-
पानि	paːɪn	PAIN	wikipron	-	-
पिठार	pɪʈʰaːɾ	PITAR	wikipron	-	-
पीसब	piːsəb	PISEB	wikipron	-	-
पीसली	pisᵊliː	PISLI	wikipron	-	-
पुस्तक	pʊstək	PUSTEK	wikipron	-	-
पेआजु	peaːʊd͡ʑ	PEAUS	wikipron	-	-
