Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
bahas	bahas	BAHAS	abvd	FRUIT	abvd_117_fruit_15
balɨy	balɨy	BALIU	abvd	HOUSE	abvd_61_house_14
bataʔ	bataʔ	BATAH	abvd	CHILD	abvd_56_child_16
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
binsul	binsul	BINSUL	abvd	BURN	abvd_144_toburn_38
birang	birang	BIRANG	abvd	COUNT	abvd_196_tocount_1
bitukaʔ	bitukaʔ	BITUKAH	abvd	INTESTINES	abvd_16_intestines_21
bituʔɨn	bituʔɨn	BITUHIN	abvd	STAR	abvd_130_star_1
bukaan	bukaan	BUKAAN	abvd	OPEN	abvd_92_toopenuncover_1
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bulβul	bulul	BULUL	abvd	HAIR	abvd_26_hair_26
bɨhu	bɨhu	BIHU	abvd	NEW	abvd_163_new_1
bɨlad	bɨlad	BILAD	abvd	HAND	abvd_1_hand_31
bɨʔbaʔ	bɨʔbaʔ	BIHBAH	abvd	MOUTH	abvd_30_mouth_1
bɨβayu	bɨayu	BIAUU	abvd	POUND	abvd_93_topoundbeat_1
dahat	dahat	DAHAT	abvd	SEA	abvd_124_sea_25
dalid	dalid	DALID	abvd	ROOT	abvd_115_root_9
dawun	dawun	DAWUN	abvd	LEAF	abvd_114_leaf_1
dihis	dihis	DIHIS	abvd	SCRATCH	abvd_77_toscratch_45
dilaʔ	dilaʔ	DILAH	abvd	TONGUE	abvd_32_tongue_4
diʔdiʔ	diʔdiʔ	DIHDIH	abvd	COOK (SOMETHING)	abvd_39_tocook_44
dɨkɨlaʔ	dɨkɨlaʔ	DIKILAH	abvd	BIG	abvd_153_big_22
dɨruwa	dɨruwa	DIRUWA	abvd	TWO	abvd_198_two_1
dɨruwa nɨ puluʔ	dɨruwanɨpuluʔ	DIRUWANIPULUH	abvd	TWENTY	abvd_207_twenty_3
dɨʔisɨk	dɨʔisɨk	DIHISIK	abvd	SMALL	abvd_152_small_1
gatus	gatus	GATUS	abvd	HUNDRED	abvd_209_onehundred_4
gɨlɨbɨk	gɨlɨbɨk	GILIBIK	abvd	WORK (ACTIVITY)	abvd_83_towork_107
gɨtɨk	gɨtɨk	GITIK	abvd	BELLY	abvd_14_belly_55
hinawa	hinawa	HINAWA	abvd	BREATHE	abvd_28_tobreathe_1
hiβang	hiang	HIANG	abvd	LEFT	abvd_2_left_24
kagkag	kagkag	KAGKAG	abvd	DRY	abvd_140_dry_27
kahat	kahat	KAHAT	abvd	BITE	abvd_41_tobite_1
kahi	kahi	KAHI	abvd	SAY	abvd_64_tosay_1
kalut	kalut	KALUT	abvd	DIG	abvd_90_todig_54
karad	karad	KARAD	abvd	CUT OR HACK	abvd_78_tocuthack_48
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kaʔan	kaʔan	KAHAN	abvd	EAT	abvd_37_toeat_1
kilala	kilala	KILALA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
kilat	kilat	KILAT	abvd	LIGHTNING	abvd_135_lightning_1
kita	kita	KITA	abvd	SEE	abvd_46_tosee_1
kuming	kuming	KUMING	abvd	BREAST	abvd_18_breast_28
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kɨkibukaran	kɨkibukaran	KIKIBUKARAN	abvd	FLOWER	abvd_116_flower_22
kɨlawaʔlawaʔ	kɨlawaʔlawaʔ	KILAWAHLAWAH	abvd	SPIDER	abvd_110_spider_1
kɨmkɨm	kɨmkɨm	KIMKIM	abvd	HOLD	abvd_89_tohold_1
kɨmɨs	kɨmɨs	KIMIS	abvd	SQUEEZE	abvd_88_tosqueeze_30
kɨramag	kɨramag	KIRAMAG	abvd	WIND	abvd_136_wind_42
kɨtkɨt	kɨtkɨt	KITKIT	abvd	SCRATCH	abvd_77_toscratch_97
kɨtɨlunan	kɨtɨlunan	KITILUNAN	abvd	FOREST	abvd_127_woodsforest_30
kɨwanan	kɨwanan	KIWANAN	abvd	RIGHT	abvd_3_right_1
kɨʔɨnu	kɨʔɨnu	KIHINU	abvd	WHEN	abvd_170_when_10
langit	langit	LANGIT	abvd	SKY	abvd_128_sky_1
langun	langun	LANGUN	abvd	ALL	abvd_191_all_40
