Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	I	abvd_182_i_1
ai	ai	AI	abvd	HE OR SHE	abvd_184_heshe_1
airon	airon	AIRON	abvd	OLD	-
aiti	aiti	AITI	abvd	WE	-
an	an	AN	abvd	WE	abvd_185_we_2
anamo	anamo	ANAMO	abvd	MALE PERSON	-
ando	ando	ANDO	abvd	SKIN	-
andor	andor	ANDOR	abvd	SKIN	-
asa	asa	ASA	abvd	NAME	abvd_63_name_1
asaŋ	asa	ASA	abvd	NAME	abvd_63_name_1
ate	ate	ATE	abvd	IF	-
ava su	avasu	ABASU	abvd	HOW	-
avai-ni	avaini	ABAINI	abvd	WHAT	abvd_188_what_1
avan	avan	ABAN	abvd	WHAT	-
avasu	avasu	ABASU	abvd	HOW	-
bagi	bagi	BAGI	abvd	STEAL	-
bera na	berana	BERANA	abvd	FLOWER	abvd_116_flower_17
berana	berana	BERANA	abvd	FLOWER	abvd_116_flower_17
besi	besi	BESI	abvd	STICK	-
biri	biri	BIRI	abvd	LIGHTNING	abvd_135_lightning_26
birii	birii	BIRII	abvd	LIGHTNING	abvd_135_lightning_26
boboran	boboran	BOBORAN	abvd	NEAR	-
bongavi	bongavi	BONGABI	abvd	STICK	-
boresi	boresi	BORESI	abvd	GOOD	-
borun	borun	BORUN	abvd	RAIN (PRECIPITATION)	-
bosa	bosa	BOSA	abvd	ROTTEN	-
bubu	bubu	BUBU	abvd	FEATHER	abvd_99_feather_25
bududu	bududu	BUDUDU	abvd	SHORT	-
buran	buran	BURAN	abvd	FOREST	abvd_127_woodsforest_116
buro kone	burokone	BUROKONE	abvd	WORK (ACTIVITY)	-
damana	damana	DAMANA	abvd	STAR	-
darei	darei	DAREI	abvd	PATH OR ROAD	abvd_6_roadpath_1
dire	dire	DIRE	abvd	HUNT	-
dodova	dodova	DODOBA	abvd	FEATHER	-
e	e	E	abvd	THOU	abvd_183_thou_1
ei	ei	EI	abvd	THEY	-
en	en	EN	abvd	WE	-
faafi	faafi	PAAPI	abvd	HUSBAND	-
faake	faake	PAAKE	abvd	OPEN	-
fafii	fafii	PAPII	abvd	HUSBAND	-
fake	fake	PAKE	abvd	HAND	-
faketi tarosi	faketitarosi	PAKETITAROSI	abvd	FIVE	-
fara	fara	PARA	abvd	LEAF	-
faraa	faraa	PARAA	abvd	LEAF	-
faya	faya	PAUA	abvd	RIGHT	-
fe	fe	PE	abvd	FALL	-
fefe	fefe	PEPE	abvd	WING	abvd_100_wing_21
feri	feri	PERI	abvd	THROW	-
fi-i	fii	PII	abvd	BIRD	-
fii	fii	PII	abvd	BIRD	-
foin	foin	POIN	abvd	NIGHT	abvd_167_night_1
fonji	fonji	PONYI	abvd	DUST	-
fonjii	fonjii	PONYII	abvd	DUST	-
forogi	forogi	POROGI	abvd	CLOUD	-
forogii	forogii	POROGII	abvd	CLOUD	-
fotuna	fotuna	POTUNA	abvd	THICK	abvd_157_thick_18
foyan	foyan	POUAN	abvd	TAIL	-
funa	funa	PUNA	abvd	SKIN	-
funaa	funaa	PUNAA	abvd	SKIN	-
fusese	fusese	PUSESE	abvd	FOUR	-
fwe	fwe	PWE	abvd	WHITE	abvd_148_white_67
fwee	fwee	PWEE	abvd	WHITE	abvd_148_white_67
gab-bubi	gabbubi	GABBUBI	abvd	BLACK	-
gabo	gabo	GABO	abvd	YELLOW	-
gaiti	gaiti	GAITI	abvd	DIRTY	-
gaitii	gaitii	GAITII	abvd	DIRTY	-
gambubi	gambubi	GAMBUBI	abvd	BLACK	-
garuga	garuga	GARUGA	abvd	GREEN	-
giruwa	giruwa	GIRUWA	abvd	FAT (ORGANIC SUBSTANCE)	-
gor	gor	GOR	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_90
gorobu	gorobu	GOROBU	abvd	RAT	abvd_102_rat_19
gou	gou	GOU	abvd	FAT (ORGANIC SUBSTANCE)	-
