Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ɲe-	ɲe	NE	northeuralex	WANT	-
adʲeˑlams	adʲeˑlams	ADELAMS	northeuralex	FINISH	-
af	af	AP	northeuralex	NOT	-
af_fka_laˑt͡soɲ	affkalaˑtsoɲ	APPKALATSON	northeuralex	DIFFERENT	-
af_kadoms_vajmama	afkadomsvajmama	APKADOMSBAYMAMA	northeuralex	BOTHER (HARASS)	-
af_lama	aflama	APLAMA	northeuralex	A LITTLE	-
af_mzʲaˑrdonɡa	afmzʲaˑrdonga	APMSARDONGA	northeuralex	NEVER	-
af_piˑtɲi	afpiˑtɲi	APPITNI	northeuralex	CHEAP	-
af_sodaf	afsodaf	APSODAP	northeuralex	FOREIGN	-
af_ʲit͡ɕkozdʲeɲ	afjitɕkozdʲeɲ	APYITSKOSDEN	northeuralex	NEAR	-
af_ʲoɲu	afjoɲu	APYONU	northeuralex	STUPID	-
afkuksoɲ	afkuksoɲ	APKUKSON	northeuralex	TRUE	-
aka	aka	AKA	northeuralex	SISTER	-
akʃa	akʃa	AKSA	northeuralex	WHITE	-
al	al	AL	northeuralex	EGG	-
ala	ala	ALA	northeuralex	LOW	-
alu	alu	ALU	northeuralex	DOWN	-
alʲa	alʲa	ALA	northeuralex	MAN	-
alʲi	alʲi	ALI	northeuralex	OR	-
anoklams	anoklams	ANOKLAMS	northeuralex	PREPARE	-
aralams	aralams	ARALAMS	northeuralex	RESCUE	-
arams	arams	ARAMS	northeuralex	BECOME	-
ardoms	ardoms	ARDOMS	northeuralex	DRIVE	-
aru	aru	ARU	northeuralex	CLEAN	-
arxtombʲalʲ	arxtombʲalʲ	ARKTOMBAL	northeuralex	PAINT (PIGMENTS)	-
arɲems	arɲems	ARNEMS	northeuralex	RUN	-
arʲsʲems	arʲsʲems	ARSEMS	northeuralex	902_wish	-
asʲkolks	asʲkolks	ASKOLKS	northeuralex	294_step	-
asʲkolʲams	asʲkolʲams	ASKOLAMS	northeuralex	STEP (VERB)	-
atʲa	atʲa	ATA	northeuralex	GRANDFATHER	-
atʲam	atʲam	ATAM	northeuralex	THUNDER	-
at͡sam	atsam	ATSAM	northeuralex	BED	-
ava	ava	ABA	northeuralex	WOMAN	-
avakata	avakata	ABAKATA	northeuralex	CAT	-
avardʲems	avardʲems	ABARDEMS	northeuralex	CRY	-
azks	azks	ASKS	northeuralex	STORY	-
azoms	azoms	ASOMS	northeuralex	SAY	-
azor	azor	ASOR	northeuralex	BOSS	-
azorksʃi	azorksʃi	ASORKSSI	northeuralex	POWER	-
azorondama	azorondama	ASORONDAMA	northeuralex	POWER	-
azorondams	azorondams	ASORONDAMS	northeuralex	RULE	-
aɕt͡ɕʲems_ozada	aɕtɕʲemsozada	ASTSEMSOSADA	northeuralex	SIT	-
aɲt͡sʲek	aɲtsʲek	ANTSEK	northeuralex	ONLY	-
aʒnams	aʒnams	ASNAMS	northeuralex	BREATHE	-
aˑnams	aˑnams	ANAMS	northeuralex	ASK (REQUEST)	-
aˑndoms	aˑndoms	ANDOMS	northeuralex	FEED	-
aˑnɡorʲams	aˑngorʲams	ANGORAMS	northeuralex	SCRAPE	-
aˑpak_ut͡ɕt	aˑpakutɕt	APAKUTST	northeuralex	SUDDENLY	-
aˑralams	aˑralams	ARALAMS	northeuralex	PROTECT	-
aˑroptoms	aˑroptoms	AROPTOMS	northeuralex	CLEAN (SOMETHING)	-
aˑrxtoms	aˑrxtoms	ARKTOMS	northeuralex	DYE	-
aˑrʲsʲems	aˑrʲsʲems	ARSEMS	northeuralex	COUNT	-
aˑtʲakʃ	aˑtʲakʃ	ATAKS	northeuralex	ROOSTER	-
aˑtʲaməʲonɡa	aˑtʲaməjonga	ATAMEYONGA	northeuralex	RAINBOW	-
aˑzondoms	aˑzondoms	ASONDOMS	northeuralex	TELL	-
