Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'a'a	aa	AA	abvd	LAUGH	abvd_33_tolaugh_68
'a'e	ae	AE	abvd	LIVER	abvd_17_liver_1
'a'i'ina	aiina	AIINA	abvd	SCRATCH	abvd_77_toscratch_58
'a'o	ao	AO	abvd	FLESH OR MEAT	-
'a'u	au	AU	abvd	SEA	abvd_124_sea_19
'agau	agau	AGAU	abvd	CLIMB	-
'aniani	aniani	ANIANI	abvd	EAT	abvd_37_toeat_1
'apepe	apepe	APEPE	abvd	CRY	abvd_34_tocry_64
'apuapu	apuapu	APUAPU	abvd	CLOUD	-
'e'a	ea	EA	abvd	HOUSE	abvd_61_house_75
'e'ele	eele	EELE	abvd	SMALL	-
'i'a	ia	IA	abvd	WE	abvd_185_we_1
'i'ifo	iifo	IIPO	abvd	SALT	-
'ima'ima	imaima	IMAIMA	abvd	WORM	abvd_107_wormearthworm_48
'o'o	oo	OO	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_22
'u	u	U	abvd	LOUSE	abvd_108_louse_1
'ufa	ufa	UPA	abvd	SKY	abvd_128_sky_17
'uga	uga	UGA	abvd	VOMIT	abvd_35_tovomit_7
'upe	upe	UPE	abvd	SPIT	abvd_36_tospit_19
'upi 'ofaofa	upiofaofa	UPIOPAOPA	abvd	THATCH OR ROOF	abvd_62_thatchroof_69
-ai	ai	AI	abvd	AT	abvd_173_at_12
a'oni	aoni	AONI	abvd	ABOVE	abvd_175_above_1
ae|apu	aeapu	AEAPU	abvd	DUST	abvd_11_dust_1
afa	afa	APA	abvd	BUY	abvd_91_tobuy_66
afia	afia	APIA	abvd	HOLD	abvd_89_tohold_23
afua	afua	APUA	abvd	THICK	abvd_157_thick_69
aga	aga	AGA	abvd	BRANCH	abvd_113_branch_1
agafa	agafa	AGAPA	abvd	ASH	-
agao	agao	AGAO	abvd	ONE	abvd_197_one_14
agawa	agawa	AGAWA	abvd	HUSBAND	abvd_57_husband_2
age	age	AGE	abvd	MOUTH	abvd_30_mouth_15
ageage	ageage	AGEAGE	abvd	GREEN	abvd_151_green_84
agoa	agoa	AGOA	abvd	EARTH (SOIL)	abvd_119_earthsoil_94
agu	agu	AGU	abvd	SIT	abvd_51_tosit_159
agu-agu	aguagu	AGUAGU	abvd	CLOUD	-
ai	ai	AI	abvd	WE	-
aia-ma	aiama	AIAMA	abvd	IF	-
aina	aina	AINA	abvd	EAR	abvd_43_ear_1
aina logo	ainalogo	AINALOGO	abvd	HEAR	abvd_44_tohear_1
aisa-ma	aisama	AISAMA	abvd	IF	abvd_193_if_3
aisama	aisama	AISAMA	abvd	IF	abvd_193_if_3
aiso	aiso	AISO	abvd	NECK	abvd_25_neck_1
aka	aka	AKA	abvd	NAME	abvd_63_name_1
akafa	akafa	AKAPA	abvd	HUSBAND	abvd_57_husband_2
akai	akai	AKAI	abvd	FAR	abvd_180_far_1
akaikia	akaikia	AKAIKIA	abvd	BIG	-
akava	akava	AKABA	abvd	HUSBAND	abvd_57_husband_2
ake	ake	AKE	abvd	MOUTH	abvd_30_mouth_15
ako	ako	AKO	abvd	SHARP	-
aku	aku	AKU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ala koa	alakoa	ALAKOA	abvd	HOW	-
alakoa	alakoa	ALAKOA	abvd	HOW	-
alo	alo	ALO	abvd	IN	abvd_174_ininside_1
alo-ŋa-ai	aloaai	ALOAAI	abvd	IN	abvd_174_ininside_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
ameku	ameku	AMEKU	abvd	WIND	-
amu'e	amue	AMUE	abvd	DOG	abvd_96_dog_102
amuʔe	amuʔe	AMUHE	abvd	DOG	abvd_96_dog_102
ani	ani	ANI	abvd	EAT	abvd_37_toeat_1
anioŋa	anioa	ANIOA	abvd	FOREST	-
aoi	aoi	AOI	abvd	EGG	abvd_98_egg_1
aoi-na	aoina	AOINA	abvd	EGG	abvd_98_egg_1
apa	apa	APA	abvd	STAND	abvd_52_tostand_42
apa'u	apau	APAU	abvd	ROPE	abvd_65_rope_87
apala	apala	APALA	abvd	BAD OR EVIL	abvd_165_badevil_113
apao	apao	APAO	abvd	BIG	abvd_153_big_10
apaʔu	apaʔu	APAHU	abvd	ROPE	abvd_65_rope_87
